SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603160.SH,603160,汇顶科技,10362298,通用,2026-06-30 00:00:00,中报,2026中报,058001001,2026-08-21 00:00:00,2026-08-21 00:00:00,CNY,2062850458.44,-8.3737853779,2062850458.44,-8.3737853779,,,,,,,,,,,1897033009.76,-3.9984548707,1222471032.17,-4.2617900665,,,,,558249836.85,0.7496497178,,,,,,,,,,,,,9695246.58,-46.1389171439,79843877.98,-14.4120643923,73960596.33,-24.6215063368,,,-47187580.15,26.6696563225,1389223.46,-58.2121010664,53535342.06,-2.1578627219,,,,,,,27136970.87,57.8319000334,8535420.72,-89.9264798496,,,,,,,114974.27,-77.0549715881,-15716792.63,-131.5351620489,1743266.94,1029.3923712249,74410481.95,-33.2766576057,,,0,,262041770.8,-45.6686185761,64402.21,-34.5284497164,,,174713.55,-87.8119340458,,,,,0,,261931459.46,-45.5407358813,10422539.62,-79.3023314719,,,,,,,251508919.84,-41.5926245549,,,251508919.84,-41.5926245549,,,251508811.18,-41.5926808431,108.66,147.4601441363,216196856.05,-36.326835159,,,,,0.55,-41.4893617021,0.54,-41.935483871,-73877751.63,-812.3594147261,-73877751.63,-812.3531422866,,,,,,,,,,,,,,,,,,,,,-73877751.63,-812.3531422866,,,,,,,,,,,,,,,-73877751.63,-812.3531422866,,,,,,,,,177631168.21,-57.9585266122,177631059.55,-57.9585695716,108.66,162.7077562327,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-24 00:00:00,2026-04-24 00:00:00,CNY,969130944.69,-8.9504627337,969130944.69,-8.9504627337,,,,,,,,,,,896174383.59,-5.7070371083,572849967.6,-5.0095650262,,,,,270239951.97,-2.770005735,,,,,,,,,,,,,3731907.13,-24.4690853117,38356618.72,-17.917394488,35041631.43,-27.2745288481,,,-24045693.26,21.0017766794,793682.57,-51.7026177793,27643550.35,36.2259920649,,,,,,,16323250.36,119.0203600206,2518773.31,-95.92659907,,,,,,,134429.46,58.9597653871,-3208182.4,14.5762232112,-64226.58,93.6074926445,39148652.39,37.8370468759,,,0,,127809257.64,-38.2559768791,18388.28,-78.6791748173,,,38044.31,6113.0403540575,,,,,0,,127789601.61,-38.291001022,10600176.34,-9.6770203846,,,,,,,117189425.27,-40.0100305226,,,117189425.27,-40.0100305226,,,117189625.48,-40.0099276101,-200.21,-14607.9710144928,98828514.69,-25.0799499312,,,,,0.25,-41.8604651163,0.25,-40.4761904762,-37982602.12,-249.0213809975,-37982602.12,-249.0215813064,,,,,,,,,,,,,,,,,,,,,-37982602.12,-249.0215813064,,,,,,,,,,,,,,,-37982602.12,-249.0215813064,,,,,,,,,79206823.15,-64.1332554615,79207023.36,-64.1331590132,-200.21,-661.7564534231,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-27 00:00:00,2026-03-27 00:00:00,CNY,4735621058.43,8.2440302829,4735621058.43,8.2440302829,,,,,,,,,,,4120511447.82,8.6656621373,2737356200.06,7.4930791197,,,,,1097912474.47,15.5712305662,,,,,,,,,,,,,32758577.1,2.0127910408,181437086.69,-4.5700869835,180387018.36,1.7252748606,,,-109339908.86,-4.9542699821,10280162.52,-24.1529881787,108788585.68,-3.2120755608,,,,,,,8374183.55,190.0060408271,105128399.92,269.3429831683,,,,,,,-16220916.36,-526.4094770993,-38539225.14,-152.8035053245,-579136.22,-268.9661824439,189039281.67,146.5265832397,,,0,,862312198.03,29.1321529315,1752334.56,388.3662299364,,,1499381.96,749.5598400968,,,,,0,,862565150.63,29.1347744456,25465825.93,-60.3695703138,,,,,,,837099324.7,38.661696698,,,837099324.7,38.661696698,,,837099258.25,38.6617308725,66.45,-66.2193076102,731387329.15,31.0547168104,,,,,1.82,36.8421052632,1.81,37.1212121212,-48802065.24,-363.6149012581,-48802065.24,-363.6149012581,,,,,,,,,,,,,,,,,,,,,-48802065.24,-363.6149012581,,,,,,,,,,,,,,,-48802065.24,-363.6149012581,,,,,,,,,788297259.46,26.6927795259,788297193.01,26.6928088997,66.45,-66.2193076102,,,,,,,,,,,标准无保留意见
603160.SH,603160,汇顶科技,10362298,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-24 00:00:00,2025-10-24 00:00:00,CNY,3520825700.94,9.2543223457,3520825700.94,9.2543223457,,,,,,,,,,,3058311249.88,9.5213395687,2011701649.28,7.1397942439,,,,,837528170.09,16.423494381,,,,,,,,,,,,,24256124.64,-3.4070652268,130476700.38,10.0338345276,142444522.71,12.9894207285,,,-88095917.22,-18.4916372972,4135082.7,-57.42027294,81373503.41,-2.4887834913,,,,,,,20751178.64,65.4782021259,93555377.83,330.5715791871,,,,,,,1404714.9,-62.6306359267,-11760362.05,0.6290599458,-226541.56,-1117.3613992732,167214354.06,150.2467565943,,,0,,733453172.88,40.1868887089,800756.7,1776.8697051974,,,1506697.53,-21.8476021698,,,,,0,,732747232.05,40.5584338881,56136425.62,-23.3086834079,,,,,,,676610806.43,50.9909190539,,,676610806.43,50.9909190539,,,676611266.7,50.9908351381,-460.27,16.9007727306,572364408.8,43.2188917804,,,,,1.48,51.0204081633,1.47,51.5463917526,-25802250.25,1.3733413811,-25802249.82,1.3755009497,-0.43,-100.0751196674,,,,,,,,,,,,,,,,,,,-25802249.82,1.3755009497,,,,,,,,,,,,,,,-25802249.82,1.3755009497,,,,,,,,,650808556.18,54.2375666279,650809016.88,54.2376825879,-460.7,-2584.8975188781,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2026-08-21 00:00:00,CNY,2251375839.27,-0.2048543839,2251375839.27,-0.2048543839,,,,,,,,,,,1976044247.21,0.5728150373,1276889376.79,-2.3336303624,,,,,554096057.32,11.3242256178,,,,,,,,,,,,,18000467.25,-9.1908886343,93288706.42,2.0292640889,98118963.03,1.1643131166,,,-64349323.6,-32.4422887739,3324463.53,-56.9106994656,54716039.07,0.1058844373,,,,,,,17193590.69,75.0152031409,84731261.69,406.4825358584,,,,,,,501085.76,-86.776803568,-6788080.26,-77.8094641719,-187570.61,-166.5104265933,111520914.99,84.9835681939,,,0,,482302794.32,27.4915072206,98366.71,140.7144542155,,,1433480.51,869.6428398698,,,,,0,,480967680.52,27.1745452005,50356104.63,-17.4027416647,,,,,,,430611575.89,35.741512538,,,430611575.89,35.741512538,,,430611804.84,35.7414635378,-228.95,19.1503637263,339541558.19,23.7962937747,,,,,0.94,36.231884058,0.93,34.7826086957,-8097439.5,-368.2479539294,-8097495.17,-368.303159418,55.67,-90.7272303285,,,,,,,,,,,,,,,,,,,-8097495.17,-368.303159418,,,,,,,,,,,,,,,-8097495.17,-368.303159418,,,,,,,,,422514136.39,31.9335272248,422514309.67,31.9337120028,-173.28,-154.6314395611,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2026-04-24 00:00:00,CNY,1064399637.59,-12.6446854216,1064399637.59,-12.6446854216,,,,,,,,,,,950414915.5,-10.7891307625,603060684.75,-16.9887050039,,,,,277938874.74,10.2282210382,,,,,,,,,,,,,4940900.22,-57.5287714345,46729289.94,-1.6748282926,48183436.8,-5.1014506017,,,-30438270.95,-31.1797155082,1643324.2,-46.8216265898,20292419.92,-20.8429242126,,,,,,,7452846.1,111.3400373301,61834652.5,3853.9867623219,,,,,,,84568.23,-87.0560227733,-3755608.24,-4714.5342311146,-1004716.56,-311.9917939247,28402126.48,-12.6703845535,,,0,,206998590.6,8.3430589743,86245.63,474.9708666667,,,612.33,-99.4813827388,,,,,0,,207084223.9,8.4463826815,11735857.68,-58.9020813815,,,,,,,195348366.22,20.2887319427,,,195348366.22,20.2887319427,,,195348364.84,20.2885143582,1.38,100.4716175114,131911970.96,-10.6085833223,,,,,0.43,22.8571428571,0.42,20.0,25488021.83,803.9234757513,25487987.57,803.8065687325,34.26,-94.2572664186,,,,,,,,,,,,,,,,,,,25487987.57,803.8065687325,,,,,,,,,,,,,,,25487987.57,803.8065687325,,,,,,,,,220836388.05,39.0843871671,220836352.41,39.0846309879,35.64,-88.2751587328,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-21 00:00:00,2026-03-27 00:00:00,CNY,4374948942.73,-0.7509751504,4374948942.73,-0.7509751504,,,,,,,,,,,3791916753.44,-6.3240703191,2546541807.6,-2.966184692,,,,,949987699.44,-9.4607581733,,,,,,,,,,,,,32112225.11,11.5921549933,190126010.76,-12.6794054167,177327629.35,-16.1902089052,,,-104178618.82,-24.2812427395,13553813.49,-37.8055849333,112398924.05,14.9368967802,,,,,,,-9304023.9,55.9486727336,28463624.52,16.6965488909,,,,,,,3804070.32,105.4218596333,-15244735.27,95.9483587944,342752.74,121.8531206345,76681094.26,-17.5012874051,,,0,,667774971.96,730.7302862194,358815.67,-81.0114091575,,,176489.27,-97.8045485496,,,,,0,,667957298.36,799.7891755233,64258263.49,170.7568112889,,,,,,,603699034.87,265.7662015721,,,603699034.87,265.7662015721,,,603698838.16,265.7563133484,196.71,104.4622036313,558077837.22,322.3441471028,,,,,1.33,269.4444444444,1.32,266.6666666667,18512635.29,-57.7665793463,18512635.29,-57.7666622539,,,,,,,,,,,,,,,,,,,,,18512635.29,-57.7666622539,,,,,,,,,,,,,,,18512635.29,-57.7666622539,,,,,,,,,622211670.16,197.8733849676,622211473.45,197.8668818228,196.71,104.3767702546,,,,,,,,,,,标准无保留意见
603160.SH,603160,汇顶科技,10362298,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-24 00:00:00,CNY,3222596255.55,0.8189487986,3222596255.55,0.8189487986,,,,,,,,,,,2792434115.51,-5.6623079588,1877641882.25,-0.5134370907,,,,,719380718.25,-8.4732459835,,,,,,,,,,,,,25111696.52,39.269118182,118578708.94,-32.955861019,126068902.55,-17.924886313,,,-74347793.0,-20.3631232139,9711388.46,-41.05889015,83450403.27,18.9542676126,,,,,,,12540128.17,9460.453253864,21728182.34,515.2308020486,,,,,,,3759001.35,-82.3206647608,-11834810.1,97.0378144381,22267.56,101.377464213,66819788.73,9.5652660792,,,0,,523196698.09,763.4798100127,42664.48,-93.4234573438,,,1927896.74,-74.1635312506,,,,,0,,521311465.83,708.5136342182,73197890.08,174.6002354973,,,,,,,448113575.75,3499.1491261225,,,448113575.75,3499.1491261225,,,448114129.63,3499.2999457044,-553.88,-209.3932690788,399643092.95,2041.3832748648,,,,,0.98,3166.6666666667,0.97,3133.3333333333,-26161537.47,-146.6697260038,-26162109.89,-146.6708366562,572.42,432.4341921682,,,,,,,,,,,,,,,,,,,-26162109.89,-146.6708366562,,,,,,,,,,,,,,,-26162109.89,-146.6708366562,,,,,,,,,421952038.28,515.9226974824,421952019.74,515.928189177,18.54,-96.9796197644,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-22 00:00:00,CNY,2255997348.74,11.5816947586,2255997348.74,11.5816947586,,,,,,,,,,,1964789636.72,2.335842117,1307399242.47,10.3509516852,,,,,497731786.81,-6.5541417515,,,,,,,,,,,,,19822314.06,101.8468188274,91433283.63,-29.8138429275,96989699.24,-6.9331436194,,,-48586689.49,-16.3140612901,7715287.76,-38.8599302554,54658164.58,19.8497834816,,,,,,,9824055.5,901.0511181155,16729355.05,1335.5607539217,,,,,,,3789445.03,-82.191401628,-3817614.71,99.0353603885,282016.85,119.3022751225,60286930.39,38.9563034554,,,0,,378301900.13,265.5488421022,40864.48,-85.632729428,,,147835.93,-97.8803897169,,,,,0,,378194928.68,260.79441706,60965830.64,161.4415695116,,,,,,,317229098.04,333.2938929237,,,317229098.04,333.2938929237,,,317229381.22,333.2938406016,-283.18,-286.4498288122,274274413.1,266.2303101133,,,,,0.69,330.0,0.69,330.0,3018639.8,-95.9841691223,3018039.44,-95.9849606926,600.36,350.686885369,,,,,,,,,,,,,,,,,,,3018039.44,-95.9849606926,,,,,,,,,,,,,,,3018039.44,-95.9849606926,,,,,,,,,320247737.84,626.6382544782,320247420.66,626.6352639009,317.18,11.2560945666,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-23 00:00:00,CNY,1218471529.44,44.3836798577,1218471529.44,44.3836798577,,,,,,,,,,,1065357756.99,16.5366416395,726480275.7,48.526582632,,,,,252148562.43,-18.2134663079,,,,,,,,,,,,,11633523.18,302.5474310553,47525256.38,-36.6694841494,50773628.37,3.6978222957,,,-23203489.07,-128.8496322187,3090211.48,-43.2153008951,25635636.13,31.2271225062,,,,,,,3526471.46,19492.1611831506,1563855.83,-92.5792873171,,,,,,,653340.38,633.669567475,-78005.64,99.9450947913,-243868.1,-289.4434574419,32522903.41,51.6921495403,,,0,,191058469.79,212.6566058169,15000.0,400.0,,,118069.73,-98.7272725877,,,,,0,,190955400.06,206.7579750048,28555844.37,171.3327624227,,,,,,,162399555.69,216.9724790862,,,162399555.69,216.9724790862,,,162399848.3,216.9726082391,-292.61,-402.0958083832,147566708.15,194.2184014422,,,,,0.35,216.6666666667,0.35,212.9032258065,-3620851.23,72.1538248387,-3621447.81,72.1495873703,596.58,264.5240131981,,,,,,,,,,,,,,,,,,,-3621447.81,72.1495873703,,,,,,,,,,,,,,,-3621447.81,72.1495873703,,,,,,,,,158778704.46,204.5706129914,158778400.49,204.5702333806,303.97,16.6781820973,,,,,,,,,,,
