SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
603160.SH,603160,汇顶科技,10362298,通用,2026-06-30 00:00:00,中报,2026中报,058001001,2026-08-21 00:00:00,2026-08-21 00:00:00,CNY,2111369168.4,,,,,,,,,,,,106704439.87,116613504.19,,0.0,2334687112.46,1407830959.27,,,,,,599197622.26,78020844.29,166653541.96,,0,2251702967.78,,0,82984144.68,2606730117.77,72526869.26,573939.82,,,,,0.0,2679830926.85,35807981.31,1994335749.02,,,,,,0,2030143730.33,,0.0,649687196.52,36557623.29,,,,6979075.0,,0.0,43536698.29,2495768.67,182405044.54,,,238594319.55,,,0.0,423495132.76,,0,-379958434.47,-11856719.73,,0,340856187.0,627279573.93,,0,968135760.93,251508919.84,15716792.63,22050398.18,22050398.18,,91927619.4,2684334.58,,,,-73640.9,,-27136970.87,5929181.23,-8535420.72,2870887.5,849755.81,2021131.69,,42200137.16,-31152268.26,-327662802.95,37511587.02,,0.0,82984144.68,,,,,968135760.93,627279573.93,,,,,340856187.0,-14.611262261,,,,,,,,,,,,-45.6917342372,58.0704302291,,,-14.8827661,1.0916705288,,,,,,2.2114075957,-7.9037294569,-31.1953474882,,,-2.34574229,,,-81.0155656341,26.8633866817,231.5954903583,-65.7680517995,,,,,,19.2625497735,-12.5608554378,-26.2445459891,,,,,,,-26.0403980683,,,230.4763623889,205.2348425124,,,,-92.0061865143,,,-56.1488170447,-98.6762763414,-0.0553096921,,,2003.5639957807,,,,10.7495631876,,,-34.210161817,-295.8965185859,,,200.8830699631,-30.503295342,,,71.4331435294,-41.5926245549,131.5351620489,-16.6680041872,-16.6680041872,,-4.5680027811,29.1802668416,,,,85.3037332372,,-57.8319000334,158.0779054388,89.9264798496,-93.7483784766,-98.2230309253,206.4744349729,,154.5789216294,52.6558450559,-6105.2441612113,-49.7709038383,,,-81.0155656341,,,,,71.4331435294,-30.503295342,,,,,200.8830699631,,,,,6888657.78,-54.3614774063
603160.SH,603160,汇顶科技,10362298,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-24 00:00:00,2026-04-24 00:00:00,CNY,995833195.05,,,,,,,,,,,,36466849.77,35025612.8,,0.0,1067325657.62,801141666.04,,,,,,197350117.52,34118606.83,78276036.97,,0,1110886427.36,,0,-43560769.74,1375045547.13,16283666.49,190400.0,,,,,0.0,1391519613.62,14178931.43,949517074.49,,,,,,0,963696005.92,,0.0,427823607.7,24234250.61,,,,,,0.0,24234250.61,,978143.73,,,167839519.72,,,0.0,168817663.45,,0,-144583412.84,-6510175.98,,0,233169249.14,627279573.93,,0,860448823.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.430500264,,,,,,,,,,,,5566.713979347,19.111471987,,,-10.5957986638,16.7312952331,,,,,,7.9188174466,-9.6844002702,-24.2947637515,,,9.95015144,,,-123.7432567787,2.5355436521,123.1424192988,-74.9243714301,,,,,,3.1443237334,-46.9919025053,-43.2001661392,,,,,,,-45.1552899546,,,204.8494267219,448.6372153464,,,,,,,448.6372153464,,235.6640356715,,,4034.8012047718,,,,59.6514261099,,,-42.69381246,-304.5735726672,,,172.2529892064,-30.503295342,,,48.381109738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-27 00:00:00,2026-03-27 00:00:00,CNY,5179151867.28,,,,,,,,,,,,422063447.1,124779389.84,,0.0,5725994704.22,3089779378.88,,,,,,987444673.59,190709402.66,370323349.83,,0,4638256804.96,,0,1087737899.26,4076815762.94,42842479.37,112876533.23,254971462.79,,,,0.0,4487506238.33,84870060.42,5507303812.45,,,,,,0,5592173872.87,,0.0,-1104667634.54,196903552.03,,,,196027469.28,,0.0,392931021.31,189991537.34,254687992.64,,,209261436.37,,,0.0,653940966.35,,0,-261009945.04,2615919.29,,0,-275323761.03,902603334.96,,0,627279573.93,837099324.7,38539225.14,51220140.57,51220140.57,,190791212.31,4104435.22,,,,16220916.36,,-8374183.55,-1357159.3,-105128399.92,16272172.78,18346853.47,-2074680.69,,-220521169.35,-17239576.96,187351258.14,75969073.29,,0.0,1087737899.26,,,,,627279573.93,902603334.96,,,,,-275323761.03,7.2690751088,,,,,,,,,,,,280.1164206554,-9.7135132033,,,12.7735626763,20.5581869083,,,,,,9.5040031515,13.8631484539,-0.6178692681,,,15.8187871283,,,1.4044201353,88.4624068044,30.7500722383,2725.7516764109,,,,,,103.98129655,-63.2302218034,84.369949697,,,,,,,73.7828589675,,,-8.5189441666,-11.6169760731,,,,9698.6833824576,,,-35.5623569802,-54.3280282683,164.0801688695,,,132.2267472413,,,,8.5296698086,,,-3705.5542671063,-77.8471372247,,,-473.2113217315,8.9006655792,,,-30.503295342,38.661696698,152.8035053245,25.4495324091,25.4495324091,,0.1088387513,-5.1298091437,,,,531.7383313983,,-190.0060408271,-118.4898480857,-269.3429831683,-33.2437138614,-51.3296674972,84.4251178947,,-1022.1688582839,-160.1465722597,55.102686277,33.841609862,,,1.4044201353,,,,,-30.503295342,8.9006655792,,,,,-473.2113217315,标准无保留意见,,,,22211493.61,-3.3036589664
603160.SH,603160,汇顶科技,10362298,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-24 00:00:00,2025-10-24 00:00:00,CNY,3780193109.2,,,,,,,,,,,,324489945.55,103200186.52,,0.0,4207883241.27,2216949821.98,,,,,,813215354.68,136452737.48,313653830.53,,0,3480271744.67,,0,727611496.6,3372877217.83,31711031.88,20477989.56,256872073.18,,2168342.0,,0.0,3684106654.45,70903989.78,4448968555.52,,,,820660.43,,0,4520693205.73,,0.0,-836586551.28,150725188.51,,,,167651712.27,,0.0,318376900.78,188541517.24,183529828.6,,,65624099.73,,,0.0,437695445.57,,0,-119318544.79,-463417.8,,0,-228757017.27,902603334.96,,0,673846317.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5133385378,,,,,,,,,,,,194.2951286771,47.0695255417,,,11.8196104737,15.9150362518,,,,,,10.2636404578,1.1793585802,-10.6890644101,,,10.9731394457,,,16.0537686379,105.9253599884,5.563659978,421.3485812451,,,,,,120.3571070461,-56.0991929445,95.0544591929,,,,,,,85.092642426,,,-8.5750200554,995.9579215886,,,,210.2526698271,,,-29.6855242291,-54.4030358892,99.390881376,,,-46.4039394324,,,,-30.3013902847,,,31.8931085001,88.8025208892,,,29.1523283296,8.9006655792,,,33.1854052067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2026-08-21 00:00:00,CNY,2472655322.36,,,,,,,,,,,,196479188.52,73773130.13,,0.0,2742907641.01,1392628049.28,,,,,,586233607.73,84716616.46,242212606.09,,0,2305790879.56,,0,437116761.45,2054753688.95,21872091.56,1676620.38,166530459.03,,2168342.0,,0.0,2247001201.92,40951888.87,2703984099.57,,,,,,0,2744935988.44,,0.0,-497934786.52,11976884.09,,,,87305952.44,,0.0,99282836.53,188541517.24,182505988.04,,,11342384.64,,,0.0,382389889.92,,0,-283107053.39,6052542.34,,0,-337872536.12,902603334.96,,0,564730798.84,430611575.89,6788080.26,26460902.52,26460902.52,,96327879.62,2077975.72,,,,-501085.76,,-17193590.69,-10209013.54,-84731261.69,45922285.75,47820517.65,-1898231.9,,-77319477.74,-65799607.78,-5280417.57,74680991.47,,0.0,437116761.45,,,,,564730798.84,902603334.96,,,,,-337872536.12,-4.7697578294,,,,,,,,,,,,93.8532299475,14.0108410421,,,-0.7115230158,3.539908785,,,,,,5.7573069285,-7.6480249847,0.3481751178,,,3.2856831399,,,-17.5444220449,90.8609369893,20.2084795204,-57.3889945208,,,,,,104.514359783,-65.0080521307,58.5956235893,,,,,,,50.656147558,,,31.1566254835,,,,,61.7243927434,,,-77.3835163116,-11.688405623,105.7202627857,,,-85.3758586513,,,,0.6896766654,,,-578.1106835125,-34.6448057178,,,-170.9748478678,8.9006655792,,,-19.7989622009,35.741512538,77.8094641719,25.2551849245,25.2551849245,,-17.8207650377,-48.2295786409,,,,86.7784742251,,-75.0152031409,-307.5436092121,-406.4825358584,136.2830927566,79.7665899999,73.5111956556,,-1089.4292481059,-155.456335963,96.7050402165,-21.4090780756,,,-17.5444220449,,,,,-19.7989622009,8.9006655792,,,,,-170.9748478678,,,,,15093954.38,28.8776477671
603160.SH,603160,汇顶科技,10362298,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2026-04-24 00:00:00,CNY,1163771201.33,,,,,,,,,,,,643527.27,29405742.55,,0.0,1193820471.15,686312667.43,,,,,,182869051.19,37777091.59,103395803.05,,0,1010354613.26,,0,183465857.89,1341042821.01,7297432.08,759303.0,,,,,0.0,1349099556.09,26748614.08,1671689879.97,,,,58697253.63,,0,1757135747.68,,0.0,-408036191.59,4417172.21,,,,,,0.0,4417172.21,101390808.91,291405.58,,,4059192.0,,,0.0,105741406.49,,0,-101324234.28,3182315.24,,0,-322712252.74,902603334.96,,0,579891082.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.3562381765,,,,,,,,,,,,-98.7273655584,-58.5873666535,,100.0,-18.4961470012,5.4344348415,,,,,,-48.5036237651,-22.5150480583,-45.3060705344,,,-18.7717855703,,,-16.9440370961,49.5555198546,100.8537886162,422.923165446,,,,,,49.8227059782,-48.4215536408,180.4848791896,,,,4160.4365149906,,,170.6459442113,,100.0,-262.4178325322,,,,,,,,-98.7379507971,-51.9474839289,-90.3262148363,,,594.3735463685,,,,-50.7255679112,,,-174.8315499668,2109.9966957503,,,-153.1067087965,8.9006655792,,,-59.6316507882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-21 00:00:00,2026-03-27 00:00:00,CNY,4828187305.64,,,,,,,,,,,,111035310.28,138203837.88,,0.0,5077426453.8,2562894696.84,,,,,,901742991.28,167490013.45,372625689.45,,0,4004753391.02,,0,1072673062.78,2163198397.0,32766696.52,3994566.62,,,,,0.0,2199959660.14,230814719.54,2987094058.17,,,,,,0,3217908777.71,,0.0,-1017949117.57,222784357.54,,385000000.0,,2000549.07,,0.0,609784906.61,415991537.34,96443437.51,,,90110824.38,,,0.0,602545799.23,,0,7239107.38,11808493.18,,0,73771545.77,828831789.19,,0,902603334.96,603699034.87,15244735.27,40829279.78,40829279.78,,190583783.3,4326369.73,,,,-3757117.49,,9304023.9,7340024.07,-28463624.52,24375491.39,37696174.5,-13320683.11,,-19651335.69,28662609.21,120791755.86,56760430.01,,0.0,1072673062.78,,,,,902603334.96,828831789.19,,,,,73771545.77,5.3376115203,,,,,,,,,,,,-49.4615153527,-17.9356478438,,,2.1276020947,62.8032179971,,,,,,-9.4884529887,-10.8310117118,-12.8446414926,,,25.7032563556,,,-39.9322074058,70.9761935032,274.6373941037,1017.6139512155,,,,,,72.6395407064,-46.795596819,16.2883521041,,,,,,,7.1734814371,,,41.0982436496,94.1214873632,,-16.4091754393,,-97.4539278961,,,-6.748773365,-43.3423111572,418.7722737586,,,-57.2523530085,,,,-37.4697505359,,,102.3375284035,-13.756929518,,,130.9388540506,-22.3412974401,,,8.9006655792,265.7662015721,-95.9483587944,-16.8297172705,-16.8297172705,,-23.0219132415,-10.3016739559,,,,-102.8863813581,,-55.9486727336,-32.283240783,-16.6965488909,121.1444781248,137.2526146875,5.4597986871,,-102.1242573704,114.7375836974,-51.9507662297,42.1991092137,,,-39.9322074058,,,,,8.9006655792,-22.3412974401,,,,,130.9388540506,标准无保留意见,,,,22970355.83,-20.9141651294
603160.SH,603160,汇顶科技,10362298,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-24 00:00:00,CNY,3582668467.88,,,,,,,,,,,,110260046.44,70171020.23,,0.0,3763099534.55,1912564490.05,,,,,,737519050.98,134862228.22,351193085.66,,0,3136138854.91,,0,626960679.64,1637912502.87,30039723.79,3927888.23,,,,,0.0,1671880114.89,161509536.01,2280885335.27,,,,,,0,2442394871.28,,0.0,-770514756.39,13752826.23,,385000000.0,,54037153.77,,0.0,452789980.0,413495768.67,92045246.67,,,122442020.99,,,0.0,627983036.33,,0,-175193056.33,-4138590.44,,0,-322885723.52,828831789.19,,0,505946065.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0026325511,,,,,,,,,,,,-38.1559122882,-54.2402791727,,,1.3922880431,98.6948037981,,,,,,-13.4219368891,-6.2828650376,2.2646873882,,,36.2509278521,,,-55.5248680571,55.1848640228,26.985263185,1199.5243896536,,,,,,54.8872882153,-49.8928913312,63.084397399,,,,,,,41.9237405773,,,-20.1107954496,-87.9480800715,,-14.363921024,,847.1520620588,,,-20.4787917802,-37.5122821677,492.1379667125,,,-18.0639918404,,,,-24.0377393059,,,31.9132892036,-186.738656215,,,-162.6175357274,-22.3412974401,,,-68.0372137015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603160.SH,603160,汇顶科技,10362298,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-22 00:00:00,CNY,2596502188.8,,,,,,,,,,,,101354611.72,64707118.6,,0.0,2762563919.12,1345015719.66,,,,,,554319720.08,91732327.81,241372208.12,,0,2232439975.67,,0,530123943.45,1076571100.07,18195132.03,3934712.08,,,,,0.0,1098700944.18,117032321.33,1704955053.85,,,,,,0,1821987375.18,,0.0,-723286431.0,,,385000000.0,,53984405.79,,0.0,438984405.79,213495768.67,88715610.98,,,77559320.37,,,0.0,379770700.02,,0,59213705.77,9260996.63,,0,-124687785.15,828831789.19,,0,704144004.04,317229098.04,3817614.71,21125594.55,21125594.55,,117216812.33,4013828.1,,,,-3789923.86,46952.83,-9824055.5,4918972.73,-16729355.05,19435282.15,26601448.94,-7166166.79,,7814553.48,118651199.43,-160257420.94,95024959.17,,0.0,530123943.45,,,,,704144004.04,828831789.19,,,,,-124687785.15,23.4326883159,,,,,,,,,,,,-21.7064965858,-27.5935114213,,,18.9530480745,186.8698043058,,,,,,2.592014957,-7.4979392691,-6.2593564386,,,63.4491820387,,,-44.5805948753,47.3937469871,-14.1332783681,2224.2897844744,,,,,,46.1391819104,-54.6390847457,32.9134343437,,,,,,,18.25262087,,,8.3217875577,,,92.5,,846.7867606533,,,113.4080931574,-22.1401319526,673.8574025947,,,-47.6813936518,,,,-12.4777800605,,,125.9468415572,-57.0924878937,,,-219.7041070777,-22.3412974401,,,-31.5217427967,333.2938929237,-99.0353603885,-15.8438024591,-15.8438024591,,-7.698393837,29.1247954455,,,,82.1891513536,-95.9508073879,-901.0511181155,53.4762154587,-1335.5607539217,116.1902050326,121.9582917083,-750.352815905,,-98.9876123606,238.2792878448,-100.8538863248,69.0173047442,,,-44.5805948753,,,,,-31.5217427967,-22.3412974401,,,,,-219.7041070777,,,,,11711848.13,-29.8982331629
603160.SH,603160,汇顶科技,10362298,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-23 00:00:00,CNY,1343167905.96,,,,,,,,,,,,50566545.19,71006695.72,,-0.01,1464741146.86,650937872.87,,,,,,355110523.42,48754100.82,189044385.84,,0,1243846882.95,,0,220894263.91,896685607.0,3633206.09,145203.55,,,0.0,,0.0,900464016.64,51860061.65,596000000.0,,,,1377728.63,,0,649237790.28,,-0.01,251226226.35,,,300000000.0,,50000000.0,,0.0,350000000.0,211000000.0,3012322.22,,,584583.33,,,0.0,214596905.55,,0,135403094.45,143996.38,,0,607667581.09,828831789.19,,0,1436499370.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6076069013,,,,,,,,,,,,-12.264413289,128.1324660434,,,60.1198059325,147.6555762841,,,,,,-3.7472168834,-23.9089593067,-5.8537578419,,,38.7219725572,,,1118.3304986402,785.6696318231,-35.0085590912,,,,-100.0,,,740.7841406514,-22.5415877074,1390.0,,,,,,,507.0358327674,,,171990.5561808105,,,50.0,,,,,75.0,21.820857465,-47.8805551281,,,-88.4331315821,,,,16.604197256,,,748.3238050714,101.470323668,,,2385.8951025539,-22.3412974401,,,31.581366075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
