报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260630,,11139861224.0,,,,,,,,,,,918035828.0,251113488.0,12309010540.0,7935745511.0,,,,,,2170326727.0,591382742.0,460869369.0,11158324349.0,1150686191.0,,,115042010.0,6585298.0,4225939.0,3649107000.0,,,3774960247.0,3602007575.0,,,198395658.0,,2027933000.0,5828336233.0,-2053375986.0,,,,5804319070.0,,,5804319070.0,1796003694.0,1027510488.0,,11300113.0,2834814295.0,2969504775.0,-92120489.0,1974694491.0,2579103305.0,4553797796.0,2579103305.0,,,4553797796.0,定期报告,未审计,20260826,CNY,合并期末,2026-08-25T09:12:05
20260331,,5173296854.0,,,,,,,,,,,398682622.0,133122995.0,5705102471.0,3701184006.0,,,,,,1026218078.0,249840796.0,216843006.0,5194085886.0,511016585.0,,,58638958.0,3254912.0,4225939.0,2518637000.0,,,2584756809.0,1467227661.0,,,,,1770124000.0,3237351661.0,-652594852.0,,,,2273459420.0,,,2273459420.0,264046362.0,16379343.0,,2345647.0,282771352.0,1990688068.0,-36575517.0,1812534284.0,2579103305.0,,,,,4391637589.0,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T10:26:21
20251231,,18012298631.0,,,,,,,,,,,1317755127.0,369700716.0,19699754474.0,11290435942.0,,,,,,2975813136.0,751704116.0,809833488.0,15827786682.0,3871967792.0,,,86590405.0,16389875.0,,12385815000.0,,,12488795280.0,3198495759.0,4484140.0,,,,11940949000.0,15143928899.0,-2655133619.0,,84291606.0,243121.0,8200728816.0,,21020.0,8285041442.0,7252934374.0,1084406264.0,,157442148.0,8494782786.0,-209741344.0,30255819.0,1037348648.0,1541754657.0,2579103305.0,1541754657.0,,,2579103305.0,定期报告,是,20260325,CNY,合并期末,2026-03-24T11:00:15
20250930,,12954722590.0,,,,,,,,,,,955596680.0,193966279.0,14104285549.0,7947814697.0,,,,,,2212475247.0,534855599.0,513944995.0,11209090538.0,2895195011.0,,,55742279.0,27268570.0,,10547645000.0,,,10630655849.0,2103537976.0,4484140.0,,,,10291940701.0,12399962817.0,-1769306968.0,,79328430.0,243121.0,6370401190.0,,19960.0,6449749580.0,5035613735.0,1053410291.0,,329229.0,6089353255.0,360396325.0,40688241.0,1526972609.0,1541754657.0,,,,,3068727266.0,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T11:22:23
20250630,,8455063035.0,,,,,,,,,,,671449367.0,102963225.0,9229475627.0,4909263408.0,,,,,,1524932934.0,364126351.0,333736266.0,7132058959.0,2097416668.0,,,27260712.0,19180349.0,,8716983000.0,,,8763424061.0,1388250614.0,4484140.0,,,,8733593000.0,10126327754.0,-1362903693.0,,73401401.0,,4126201627.0,,16259.0,4199619287.0,2755992301.0,1016608768.0,,328818.0,3772929887.0,426689400.0,36342491.0,1197544866.0,1541754657.0,2739299523.0,1541754657.0,,,2739299523.0,定期报告,未审计,20260826,CNY,合并期末,2025-08-21T11:14:06
20250331,,4260006671.0,,,,,,,,,,,346234426.0,47900349.0,4654141446.0,2180407233.0,,,,,,772039007.0,147081405.0,133514083.0,3233041728.0,1421099718.0,,,14557186.0,1814864.0,,6336940000.0,,,6353312050.0,658128806.0,3000000.0,,,,6241800000.0,6902928806.0,-549616756.0,,54916665.0,,2064327502.0,,5762.0,2119249929.0,1295875728.0,24243590.0,,3830.0,1320123148.0,799126781.0,15918329.0,1686528072.0,1541754657.0,,,,,3228282729.0,定期报告,未审计,20260423,CNY,合并期末,2025-04-24T11:12:09
20241231,,12181940556.0,,,,,,,,,,,812483852.0,202766860.0,13197191268.0,7562470340.0,,,,,,2163992960.0,634181755.0,511361248.0,10872006303.0,2325184965.0,,,101829802.0,10105133.0,,4107935000.0,,,4219869935.0,2147818176.0,20908536.0,,,,5086014342.0,7254741054.0,-3034871119.0,,154383939.0,7109885.0,5286330371.0,,23148.0,5440737458.0,4280397145.0,1088231364.0,,751770.0,5369380279.0,71357179.0,92653352.0,-545675623.0,2087430280.0,1541754657.0,2087430280.0,,,1541754657.0,定期报告,是,20260325,CNY,合并期末,2025-03-25T12:35:08
20240930,,8785556430.0,,,,,,,,,,,640830889.0,119690659.0,9546077978.0,5328415996.0,,,,,,1594884190.0,432401058.0,330064906.0,7685766150.0,1860311828.0,,,64153849.0,8804113.0,,815800000.0,,,888757962.0,1309603840.0,5332276.0,,,,966650000.0,2281586116.0,-1392828154.0,,107058770.0,7109885.0,3615755607.0,,21280.0,3722835657.0,2749514084.0,1054253959.0,,748470.0,3804516513.0,-81680856.0,42863928.0,428666746.0,2087430280.0,,,,,2516097026.0,定期报告,未审计,20251029,CNY,合并期末,2024-10-24T11:00:07
20240630,,5575468853.0,,,,,,,,,,,420280088.0,95946489.0,6091695430.0,3310793063.0,,,,,,1082984571.0,279152315.0,224830533.0,4897760482.0,1193934948.0,,,14981888.0,4468416.0,,339800000.0,,,359250304.0,717858530.0,4271752.0,,,,670800000.0,1392930282.0,-1033679978.0,,86187545.0,,2502898760.0,,17023.0,2589103328.0,1549211644.0,1020686636.0,,730814.0,2570629094.0,18474234.0,53742447.0,232471651.0,2087430280.0,2319901931.0,2087430280.0,,,2319901931.0,定期报告,未审计,20250822,CNY,合并期末,2024-08-22T18:40:05
20240331,,2857246221.0,,,,,,,,,,,159921142.0,41956998.0,3059124361.0,1389563734.0,,,,,,538742834.0,137466411.0,100984589.0,2166757568.0,892366793.0,,,13475164.0,576304.0,,322400000.0,,,336451468.0,345643047.0,3000000.0,,,,24100000.0,372743047.0,-36291579.0,,60859059.0,7046300.0,1499542623.0,,6217.0,1560407899.0,693144974.0,27046364.0,,63122.0,720254460.0,840153439.0,24518828.0,1720747481.0,2087430280.0,,,,,3808177761.0,定期报告,未审计,20250425,CNY,合并期末,2024-04-22T11:40:06
20231231,,8825489162.0,,,,,,,,,,,525641294.0,118733383.0,9469863839.0,4989844512.0,,,,,,1473766990.0,352567514.0,410373723.0,7226552739.0,2243311100.0,,5876341.0,128128324.0,11979648.0,,1741372000.0,,,1887356313.0,810468280.0,11135544.0,,89361367.0,,2846372000.0,3757337191.0,-1869980878.0,,184098742.0,5953707.0,4480659842.0,,,4664758584.0,3871765544.0,363290896.0,,1354381.0,4236410821.0,428347763.0,13889923.0,815567908.0,1271862372.0,2087430280.0,1271862372.0,,,2087430280.0,定期报告,是,20251128,CNY,合并期末,2024-03-25T13:25:04
20230930,,6452960404.0,,,,,,,,,,,328535988.0,99058154.0,6880554546.0,3557171757.0,,,,,,1065377887.0,256662548.0,280933536.0,5160145728.0,1720408818.0,,5876341.0,125294790.0,3046408.0,,1691374000.0,,,1825591539.0,525174186.0,10871700.0,,89361367.0,,2726427000.0,3351834253.0,-1526242714.0,,129635687.0,,3436498599.0,,1595.0,3566135881.0,2921891323.0,346960814.0,,616121.0,3269468258.0,296667623.0,10963786.0,501797513.0,1271862372.0,,,,,1773659885.0,定期报告,未审计,20241025,CNY,合并期末,2023-10-25T10:05:02
