报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260630,,3262674376.33,,,2192211017.24,,,605491451.1,,605491451.1,10076741.77,24080609.19,,,,,,,,,,21504906.59,21504906.59,691906254.86,,,,233361870.07,285047478.9,7326354706.05,,,,,,,,,202612967.03,44249342.8,820978.0,165184681.67,,756273100.8,253553024.29,502720076.51,,2887257.24,,,502720076.5,,502720076.5,,,,,32788726.49,1246722917.17,,380557336.3,11484979.8,,523776545.37,113070136.58,3226875944.95,10553230651.0,,5000000.0,,,,,,287625176.61,2288449.39,285336727.22,4840320.87,8626350.38,,,170098618.91,24882923.9,,,,,440025032.31,440025032.31,,,,,,,,,,,,,,247760824.65,1060666.38,1189919914.01,,,,,,21613314.66,,,,,,9800989.88,26199088.88,,57613393.42,1247533307.43,,465982755.0,,,,2243176780.14,571716654.38,-100302472.07,,232667996.5,,,7035887278.86,,,9305695684.05,1659.52,9305697343.57,10553230651.0,定期报告,未审计,20260821,CNY,合并期末,2026-08-20T08:32:05
20260331,,3868237069.06,,,1829215269.2,,,511412155.68,3130000.0,508282155.68,,23252747.1,,,,,,,,,,,32429063.18,807005753.84,,,,30761578.2,162564260.92,7264877897.18,,,252635833.33,,,,,,181212595.17,43648887.34,820978.0,165184681.67,,,,,,1463810.78,,,,,530550246.17,,,,,35260016.14,1296442136.41,,386592338.92,12677863.15,,517254491.62,117635581.93,3541379460.63,10806257357.81,,53956250.0,,,,,,304324411.84,3831565.6,300492846.24,3491617.67,8084010.08,,,332900087.62,20814421.44,,,,,,394844129.48,,,,,,,,,,,,,,249934999.4,1034020.94,1369383948.47,,,,,,24415140.92,,,,,,10070496.91,24716510.64,,59202148.47,1428586096.94,,465775431.0,,,,2221657482.73,559969315.14,-64407322.56,,232667996.5,,,7081945568.49,,,9377669841.02,1419.85,9377671260.87,10806257357.81,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T07:50:02
20251231,,3493273256.21,,,2412818913.52,,,592638069.19,,592638069.19,,23805280.21,,,,,,,,,,31606879.51,31606879.51,745653899.61,,,,31909862.11,153820306.15,7485526466.51,,,201102500.0,,,,,,183095511.1,48567099.38,1795978.0,165184681.67,,775675087.92,239043689.94,536631397.98,,,,,536631397.98,,536631397.98,,,,,39087201.67,1348210556.99,,392677401.48,13813293.83,,524626301.18,119089008.34,3573880931.62,11059407398.13,,104956250.0,,,,,,414959108.63,5406054.8,409553053.83,4379711.04,7591083.58,,,294232356.87,27985177.6,,,,,517857472.71,517857472.71,,,,,,,,,,,,,,251570651.9,915786.64,1624447598.97,,,,,,26231213.96,,,,,,10485980.67,24177957.19,,60895151.82,1685342750.79,,465335993.0,,,,2183431755.32,445703897.89,-26424720.44,,232667996.5,,,6964755943.01,,,9374063069.5,1577.84,9374064647.34,11059407398.13,定期报告,是,20260821,CNY,合并期末,2026-03-26T10:48:08
20250930,,3620408514.01,,,2088020271.45,,,652744574.31,,652744574.31,3873515.91,8276286.62,,,,,,,,,,,85501921.07,690159468.26,,,,36349384.61,179394233.69,7364728169.93,,,100000000.0,,,,,,184978427.08,,1795978.0,184149154.57,,,,,,,,,,,648047004.61,,,,,38050172.78,1419826658.45,,396943619.92,10295942.9,,494848437.91,113280250.69,3592215646.91,10956943816.84,,86000000.0,,,,,,447101299.8,46972109.0,400129190.8,2491463.14,8678289.28,,,189261372.52,37983014.97,,69504069.6,,,,537214518.91,,,,,,,,,,,,,,18016359.05,1115584.44,1327861902.11,,234602253.95,,,,26448985.24,,,,,,11173069.57,28315067.02,,300539375.78,1628401277.89,,464581189.0,,,,2172600953.06,341810958.92,-3424905.02,,230932628.0,,,6805662521.46,,,9328541427.58,1111.37,9328542538.95,10956943816.84,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T11:32:17
20250630,,3487760711.33,,,1656807908.13,,,594559810.83,,594559810.83,3873515.91,21595293.52,,,,,,,,,,168095444.79,168095444.79,630009529.34,,,,52531190.09,315055974.83,6930289378.77,,,,,,,,,186861342.98,,3146000.0,184149154.57,,971100344.72,295014746.38,676085598.34,,,,,676085598.34,,676085598.34,,,,,24917693.71,1447668364.19,,399897155.77,10754696.29,,497188864.28,106369031.85,3537037901.98,10467327280.75,,85956250.0,,,,,,397153265.61,46317046.34,350836219.27,12761727.77,10814421.91,,,164276894.68,27960839.52,,896799.16,,,443168685.66,444065484.82,,,,,,,,,,,,,,19315129.87,1358892.7,1163662906.88,,234602253.95,,,,12445825.16,,,,,,10628416.62,26390633.25,,284067128.98,1447730035.86,,462079234.0,,,,2026802169.42,341810958.92,14279849.63,,230932628.0,,,6627312923.97,,,9019595846.1,1398.79,9019597244.89,10467327280.75,定期报告,未审计,20250822,CNY,合并期末,2025-08-21T08:26:05
20250331,,3339496783.54,,,1666968088.28,,,536298347.96,,536298347.96,3670921.55,17007770.19,,,,,,,,,,,217864442.9,563794342.24,,,,57131493.15,379195340.75,6781427530.56,,,,,,,,,188744258.88,,3146000.0,184149154.57,,,,,,,,,,,682391719.15,,,,,28165818.96,1439093427.0,57847502.69,400987349.79,11394786.04,,533470496.95,112218722.55,3641609236.58,10423036767.14,,85045451.39,,,,321226.75,,287957287.1,5535379.32,282421907.78,3818061.92,10578675.85,,,320758058.52,18712752.41,,,,,,413457532.11,,,,,,,,,,,,,,20331353.5,1277251.8,1162257651.35,,237098022.62,,,,14818223.05,,,,,,10971933.37,25804820.02,,288692999.06,1450950650.41,,461944673.0,,,,1999577992.62,341810958.92,47865332.37,,230932628.0,,,6573574841.95,,,8972084509.02,1607.71,8972086116.73,10423036767.14,定期报告,未审计,20250423,CNY,合并期末,2025-04-22T10:10:04
20241231,,3479681529.31,,,1304717700.63,,,515730672.67,,515730672.67,4822795.5,24826163.75,,,,,,,,,,78860332.88,78860332.88,569689205.85,285627354.52,,,60596753.49,252073840.33,6576626348.93,,,,,,,,,190627174.81,,3146000.0,184149154.57,,970477598.7,277129488.3,693348110.4,,,,,693348110.4,,693348110.4,,,,,31284775.46,1189197128.35,355579322.52,401554695.66,6858393.87,,545009381.93,126957146.95,3727711284.52,10304337633.45,,185129555.56,,,,606757.46,,320367579.21,1664987.66,318702591.55,3101372.36,13432125.67,,,270858079.63,23255440.41,,,,,403437071.0,403437071.0,,,,,,,,,,,,46072918.64,,20410197.35,1533281.31,1288204378.6,,237098022.62,,,,18122114.27,,,,,,11127718.99,28288865.15,,294636721.03,1582841099.63,,461865256.0,,,,1969904214.76,341810958.92,22377344.8,,230932628.0,,,6378226477.11,,,8721494961.75,1572.07,8721496533.82,10304337633.45,定期报告,是,20260327,CNY,合并期末,2025-03-20T13:05:10
20240930,,3337144318.67,,,1024462328.16,,,530160935.56,,530160935.56,9222212.32,54710651.56,,,,,,,,,,,2999687.07,619371598.37,,,,68912728.65,121663583.7,5768648044.06,,,,,,,,,48769802.17,,3146000.0,205682076.74,,,,,,532514544.61,,,,,310903256.56,,,,,38879047.44,1296972556.81,339866673.14,506982365.17,8500761.76,,548081518.85,282505864.61,4122804467.86,9891452511.92,,185130833.34,,,,,,304212884.27,2640600.61,301572283.66,3177734.18,20553158.8,,,222288390.61,45061506.85,,,,,,322129623.27,,,,,,,,,,,,,,25022701.25,2405077.25,1129981909.82,,239593791.29,,,,21410154.5,,,,,,12721944.75,57191453.9,,330917344.44,1460899254.26,,458265780.0,,,,1604669285.1,63659662.15,-22297400.38,,229281035.0,,,6224293361.58,,,8430552399.15,858.51,8430553257.66,9891452511.92,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T08:36:40
20240630,,3539999570.48,,,1020690722.16,,,454563414.33,1400000.0,453163414.33,10951422.28,54243992.74,,,,,,,,,,26283326.73,26283326.73,614061296.69,,,,68912728.65,33580078.04,5823286552.1,,,,,,,,,49217459.91,,3146000.0,205682076.74,,594925270.29,275632736.25,319292534.04,,513253824.72,513253824.72,,319292534.04,,319292534.04,,,,,43961036.17,1106738217.49,561700378.39,511188814.45,9717238.81,,558835499.68,268261527.02,4150994607.42,9974281159.52,,385248333.33,,,,,,307312796.97,55152565.5,252160231.47,3443275.41,14817529.31,,,166592550.26,41469400.75,,,,,335037197.74,335037197.74,,,,,,,,,,,,,,25336283.13,714270.31,1279971637.21,,239593791.29,,,,26676016.13,,,,,,13235063.99,59703050.69,,339207922.1,1619179559.31,,458001914.0,,,,1631185794.09,63659662.15,6882748.95,,229281035.0,,,6093408613.17,,,8355100443.06,1157.15,8355101600.21,9974281159.52,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T08:15:07
20240331,,3572208204.3,,,760856688.12,,,644982488.35,29739477.34,615243011.01,,17308083.95,,,,,,,,,,,40688931.41,597122670.92,,,,74974511.72,59819144.1,5767960722.88,,,,,,,,,47339011.3,,,205682076.74,,,,,,503378670.33,,,,,323772869.44,,,,,49514310.33,1135424955.58,509586981.0,509638427.57,10682077.71,,565368424.88,275278974.38,4135666779.26,9903627502.13,,300328309.56,,,,,,416313092.8,117492375.35,298820717.45,7573885.96,10945822.74,,,140925370.47,59849428.3,,,,,,339537088.41,,,,,,,,,,,,,,28391342.31,1166855.51,1305031196.05,,242089559.96,,,,29208887.78,,,,,,16029386.87,62668595.95,,349996430.56,1655027626.61,,458001914.0,,,,1603947149.21,63659662.15,243261.7,,229281035.0,,,6020785033.81,,,8248598731.57,1143.94,8248599875.52,9903627502.13,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T14:20:08
