code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median
603160,汇顶科技,2011-12-31,2014-05-06,2014-05-06,2014-05-06,26524974.91,25110974.91,,86528036.0,,24718333.75,26524974.91,25110974.91,,86528036.0,,24718333.75,0.9318890530102296,0.9466917497642225,,,,
603160,汇顶科技,2012-12-31,2014-05-06,2014-05-06,2014-05-06,224612073.21,263483273.21,1.36,556652577.36,,186490519.36,224612073.21,263483273.21,1.36,556652577.36,,186490519.36,0.8302782512747726,1.173059263665037,,,144297124.06,105604426.555
603160,汇顶科技,2013-12-31,2014-05-06,2014-05-06,2014-05-06,256636871.9,294315271.9,0.64,685620949.63,,251653190.81,256636871.9,294315271.9,0.64,685620949.63,,251653190.81,0.9805808064402299,1.1468160039555095,,1.0,263483273.21,186490519.36
603160,汇顶科技,2014-12-31,2016-03-04,2016-03-04,2016-03-04,383575461.9,376376549.25,0.96,853693634.18,,334658475.7,383575461.9,376376549.25,0.96,853693634.18,,334658475.7,0.8724710231522764,0.9812320824321219,,0.96,278899272.555,219071855.085
603160,汇顶科技,2015-06-30,2016-09-20,2016-09-20,2016-09-20,144655495.79,143497804.96,0.3616,481583310.23,,154483999.39,,,,,,,,,,0.96,294315271.9,251653190.81
603160,汇顶科技,2015-09-30,2016-10-28,2016-10-28,2016-10-28,224513588.55,222625747.72,0.56,732243560.2,,172747805.02,,,,,,,,,,0.8,335345910.575,293155833.255
603160,汇顶科技,2015-12-31,2016-09-20,2016-09-20,2016-09-20,378353104.14,375856261.68,0.95,1119601256.54,,228472711.78,378353104.14,375856261.68,0.95,1119601256.54,,228472711.78,0.6038610739016416,0.9934007612659203,,0.955,376116405.46500003,281565593.74
603160,汇顶科技,2016-03-31,2016-09-20,2016-09-20,2016-09-20,70129164.79,77948378.55,0.1753,384544690.11,,-56678919.02,,,,,,,,,,,,
603160,汇顶科技,2016-06-30,2016-09-20,2016-09-20,2016-09-20,304056350.75,308249080.67,0.7601,1210898160.03,,-118048990.96,537753959.1,540607537.39,1.3485,1848916106.3399997,,-44060278.56999998,-0.08193389899674655,1.0053064756506411,,1.1492499999999999,458231899.53499997,92206216.60500002
603160,汇顶科技,2016-09-30,2016-10-28,2016-10-28,2016-10-28,602259029.09,603871487.3,1.51,2121212358.34,,-57023939.09,756098544.6800001,757102001.26,1.9,2508570054.6800003,,-1299032.330000013,-0.001718072781835331,1.001327150524307,,1.3485,540607537.39,-1299032.330000013
