strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
V31_strategic_resources,2019-01-31,601899,紫金矿业,BUY_STAGED,0.7544840602815425,3.340030800729759,2.52,0.0,0.125,0.125,0.000125
V31_strategic_resources,2019-01-31,603993,洛阳钼业,BUY_FULL_MARGIN,0.5228409001747881,6.407302869534651,3.35,0.0,0.25,0.25,0.00025
V31_strategic_resources,2019-01-31,600549,厦门钨业,BUY_STAGED,0.792944377603297,13.267008755137503,10.52,0.0,0.125,0.125,0.000125
V31_strategic_resources,2019-01-31,000657,中钨高新,BUY_STAGED,0.832129534897463,4.530544635054383,3.77,0.0,0.125,0.125,0.000125
V31_strategic_resources,2019-10-31,600549,厦门钨业,REDUCE_50,1.517174576172887,7.560105593736865,11.47,0.13068305342665862,0.125,-0.005683053426658619,5.683053426658619e-06
V31_strategic_resources,2019-11-29,603993,洛阳钼业,REDUCE_25,1.201619071702815,2.6547514725107093,3.19,0.22910599094064943,0.1875,-0.04160599094064943,4.160599094064943e-05
V31_strategic_resources,2019-12-31,603993,洛阳钼业,REDUCE_50,1.4374656668876893,2.7200649657711042,3.91,0.2079839060940656,0.125,-0.08298390609406561,8.298390609406561e-05
V31_strategic_resources,2020-07-31,601899,紫金矿业,REDUCE_50,1.4592132216910103,3.5567111939854583,5.19,0.19494732428727626,0.125,-0.06994732428727626,6.994732428727627e-05
V31_strategic_resources,2020-08-31,601899,紫金矿业,CORE_ONLY,1.7088465510531134,3.72766062352079,6.37,0.15029516667951978,0.0625,-0.08779516667951978,8.779516667951978e-05
V31_strategic_resources,2020-11-30,601899,紫金矿业,CORE_ONLY,1.918936189252371,4.294045860488125,8.24,0.07853178655593046,0.0625,-0.01603178655593046,1.603178655593046e-05
V31_strategic_resources,2020-12-31,603993,洛阳钼业,REDUCE_50,1.5558111345818333,3.6444012219542103,5.67,0.15112661391695742,0.125,-0.02612661391695742,2.612661391695742e-05
V31_strategic_resources,2021-02-26,601899,紫金矿业,CORE_ONLY,2.4032680535803044,4.498041732754547,10.81,0.07350892859287733,0.0625,-0.011008928592877332,1.1008928592877332e-05
V31_strategic_resources,2021-02-26,603993,洛阳钼业,REDUCE_50,1.6390352899864833,3.7094991408331057,6.08,0.12742809242214168,0.125,-0.0024280924221416755,2.4280924221416755e-06
V31_strategic_resources,2021-07-30,000657,中钨高新,REDUCE_50,1.6391075284502707,6.399824183540902,10.49,0.20243694567472456,0.125,-0.07743694567472456,7.743694567472456e-05
V31_strategic_resources,2021-11-30,000657,中钨高新,REDUCE_50,1.5041272799263157,9.114920115451683,13.71,0.16359614384830698,0.125,-0.03859614384830698,3.859614384830698e-05
V31_strategic_resources,2022-03-31,603993,洛阳钼业,BUY_STAGED,0.7774758090125956,6.1095148491276685,4.75,0.09174862251770521,0.125,0.033251377482294786,3.325137748229479e-05
V31_strategic_resources,2022-03-31,600549,厦门钨业,BUY_A_LEVEL,0.6792558928586209,24.997942864419414,16.98,0.12516256044202378,0.1875,0.062337439557976215,6.233743955797622e-05
V31_strategic_resources,2022-03-31,000657,中钨高新,BUY_STAGED,0.8326385141738614,9.980321422250242,8.31,0.08430990770801439,0.125,0.04069009229198561,4.0690092291985616e-05
V31_strategic_resources,2022-04-29,601899,紫金矿业,BUY_STAGED,0.7813027189127428,12.7223414937458,9.94,0.05732738951994298,0.125,0.06767261048005702,6.767261048005702e-05
V31_strategic_resources,2022-04-29,603993,洛阳钼业,BUY_A_LEVEL,0.650673181880239,6.562434289455505,4.27,0.11930708295817814,0.1875,0.06819291704182186,6.819291704182186e-05
V31_strategic_resources,2022-04-29,600549,厦门钨业,BUY_FULL_MARGIN,0.5636724750070289,25.65319514638299,14.46,0.16953283639208694,0.25,0.08046716360791306,8.046716360791307e-05
V31_strategic_resources,2022-04-29,000657,中钨高新,BUY_A_LEVEL,0.7042313535514253,10.252312629350678,7.22,0.11531030896019082,0.1875,0.07218969103980918,7.218969103980918e-05
V31_strategic_resources,2022-05-31,601899,紫金矿业,BUY_A_LEVEL,0.7095528283140755,12.726325144042654,9.03,0.10080441954049464,0.1875,0.08669558045950536,8.669558045950535e-05
V31_strategic_resources,2022-05-31,603993,洛阳钼业,BUY_A_LEVEL,0.666377266294253,6.527833736271496,4.35,0.16956290493481704,0.1875,0.017937095065182956,1.7937095065182957e-05
V31_strategic_resources,2022-06-30,601899,紫金矿业,BUY_A_LEVEL,0.662548564699854,12.889621161384248,8.54,0.1639382133499745,0.1875,0.023561786650025507,2.356178665002551e-05
V31_strategic_resources,2022-07-29,601899,紫金矿业,BUY_FULL_MARGIN,0.6341434823135809,12.899288927730444,8.18,0.1641366519834137,0.25,0.0858633480165863,8.58633480165863e-05
V31_strategic_resources,2022-07-29,603993,洛阳钼业,BUY_A_LEVEL,0.6952055196879557,7.177733574727328,4.99,0.1817315084770107,0.1875,0.005768491522989305,5.768491522989305e-06
V31_strategic_resources,2022-07-29,000657,中钨高新,REDUCE_25,1.2611213281272364,10.26863927456586,12.95,0.2522433397580139,0.1875,-0.06474333975801388,6.474333975801389e-05
V31_strategic_resources,2022-08-31,601899,紫金矿业,BUY_FULL_MARGIN,0.589750800166746,13.666789426518996,8.06,0.2708787690217903,0.26919237674132995,-0.0016863922804603582,1.6863922804603582e-06
