code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,quality_factor,quality_adjusted_eps,normalized_owner_eps,historical_owner_eps_growth,assumed_growth,neutral_value_fundamental
600584,长电科技,2000-12-31,2003-05-14,,2003-05-14,33897408.84,37222434.97,0.5,427762348.65,,,33897408.84,37222434.97,0.5,427762348.65,,,,1.0980908642809406,,,,,,,,,0.0,
600584,长电科技,2001-12-31,2003-05-14,,2003-05-14,46231756.94,47512151.32,0.36,575482098.19,,,46231756.94,47512151.32,0.36,575482098.19,,,,1.0276951270024566,,0.43,42367293.144999996,,,,,,0.0,
600584,长电科技,2002-06-30,2003-08-07,,2003-08-07,24407374.27,24664210.37,,286655132.56,,,,,,,,,,,,0.43,42367293.144999996,,,,,,0.0,
600584,长电科技,2002-09-30,2003-10-24,,2003-10-24,36032193.99,,,470109044.44,,,,,,,,,,,,0.43,42367293.144999996,,,,,,0.0,
600584,长电科技,2002-12-31,2004-03-16,2003-05-14,2004-03-16,48323627.61,48872768.77,0.38,678721050.38,,77248529.09,48323627.61,48872768.77,0.38,678721050.38,,77248529.09,1.5985664344870985,1.01136382318877,,0.37,48192460.045,,1.0,0.38,,,0.0,
600584,长电科技,2003-03-31,2004-04-22,,2004-04-22,8043543.97,,,182241118.37,,,,,,,,,,,,,,,,,,,0.0,
600584,长电科技,2003-06-30,2004-08-11,2003-08-07,2004-08-11,14497256.79,14311008.49,0.11,402687245.71,,61677627.18,38413510.129999995,38519566.89,,794753163.53,,,,1.0027609234261874,,,43696167.83,,,,,,0.0,
600584,长电科技,2003-09-30,2004-10-25,2003-10-24,2004-10-25,28582785.11,29260848.95,0.19,636213778.67,,171861526.52,40874218.73,,,844825784.6099999,,,,,,,43696167.83,,,,,,0.0,
600584,长电科技,2003-12-31,2005-03-02,2004-03-16,2005-03-02,43713271.35,43928217.3,0.27,894009142.91,,196184605.63,43713271.35,43928217.3,0.27,894009142.91,,196184605.63,4.4879872764315545,1.0049171783159165,,,41223892.095,,1.0,0.27,,,0.0,
600584,长电科技,2004-03-31,2005-04-26,2004-04-22,2005-04-26,8510028.25,8099834.86,,222716028.84,,117085474.41,44179755.63,,,934484053.38,,,,,,,41223892.095,,,,,,0.0,
600584,长电科技,2004-06-30,2005-08-22,2004-08-11,2005-08-22,26146671.82,26054887.94,0.13,532147218.7,,138705421.93,55362686.38,55672096.74999999,0.29000000000000004,1023469115.8999999,,273212400.38,4.934955621638676,1.0055887889521158,,0.28,49800157.02499999,234698503.005,1.0,0.29000000000000004,0.28,,0.0,3.6692898522828163
600584,长电科技,2004-09-30,2005-10-22,2004-10-25,2005-10-22,46618303.17,46629063.63,,857971646.05,,208639149.5,61748789.41000001,61296431.980000004,,1115767010.29,,232962228.60999998,3.7727416332517203,0.992674229983742,,0.28,55672096.74999999,232962228.60999998,,,0.28,,0.0,3.6692898522828163
600584,长电科技,2004-12-31,2006-04-19,2005-03-02,2006-04-19,48821907.31,49164783.72,0.191,1184948623.19,,478393414.39,48821907.31,49164783.72,0.191,1184948623.19,,478393414.39,9.798744882136395,1.0070230031740233,,0.24050000000000002,55672096.74999999,273212400.38,1.0,0.191,0.24050000000000002,,0.0,3.1516578909786332
600584,长电科技,2005-03-31,2006-04-24,2005-04-26,2006-04-24,7127452.97,7720930.72,,268343938.21,,25948500.72,47439332.03,48785879.58,,1230576532.5600002,,387256440.70000005,8.163193369904624,1.028384622893688,,0.24050000000000002,52418440.235,330234420.54,,,0.24050000000000002,,0.0,3.1516578909786332
600584,长电科技,2005-06-30,2006-08-03,2005-08-22,2006-08-03,27009720.53,27641848.86,0.092,653997788.4,,47619116.42,49684956.02,50751744.64,0.15300000000000002,1306799192.89,,387307108.88,7.795259167062456,1.0214710589573748,,0.17200000000000001,49958264.18,387281774.79,1.0,0.15300000000000002,0.17200000000000001,,0.0,2.253992337830873
600584,长电科技,2005-09-30,2006-10-30,2005-10-22,2006-10-30,47941611.81,48454237.46,,1061852373.85,,83097365.02,50145215.95,50989957.550000004,,1388829350.99,,352851629.90999997,7.0365960785138455,1.0168459061147985,,0.17200000000000001,49958264.18,387281774.79,,,0.17200000000000001,,0.0,2.253992337830873
600584,长电科技,2005-12-31,2007-04-16,2006-04-19,2007-04-16,54860204.71,55335855.63,0.187,1474759917.68,,193733304.36,54860204.71,55335855.63,0.187,1474759917.68,,193733304.36,3.5313995889024823,1.008670235966387,,0.17,50870851.095,370054035.305,1.0,0.187,0.17,,0.0,2.2277831246002813
600584,长电科技,2006-03-31,2007-04-30,2007-04-30,2007-04-30,9934124.82,10019884.82,,393831419.12,,25698120.37,57666876.56,57634809.730000004,,1600247398.5900002,,193482924.01000002,3.3551830019558806,0.9994439298274351,,0.17,53162906.59,273292467.135,,,0.17,,0.0,2.2277831246002813
600584,长电科技,2006-06-30,2007-08-18,2007-08-18,2007-08-18,35378435.69,35562861.81,0.121,847681684.62,,164574913.36,63228919.870000005,63256868.58,0.216,1668443813.9,,310689101.3,4.913718310209685,1.0004420241569436,,0.2015,56485332.68000001,252211202.83,1.0,0.216,0.2015,,0.0,2.640578232982098
600584,长电科技,2006-09-30,2007-10-22,2007-10-22,2007-10-22,73064653.63,73487689.17,0.25,1424067919.88,,340445207.87,79983246.53,80369307.34,,1836975463.7100005,,451081147.21000004,5.639695395970319,1.0048267709395267,,0.2015,60445839.155,252211202.83,,,0.2015,,0.0,2.640578232982098
600584,长电科技,2006-12-31,2008-03-28,2008-03-28,2008-03-28,94037561.44,95286097.56,0.32,1971925981.32,,566528098.17,94037561.44,95286097.56,0.32,1971925981.32,,566528098.17,6.024487337769485,1.0132769937978094,,0.268,71813087.96000001,380885124.255,1.0,0.32,0.268,,0.0,3.5120345728992675
600584,长电科技,2007-03-31,2008-04-28,2008-04-28,2008-04-28,13126039.88,13371420.04,0.038,442693901.75,,245192519.31,97229476.5,98637632.78,,2020788463.9499998,,786022497.11,8.084199621397735,1.014482812524451,,0.268,87827702.45,508804622.69,,,0.268,,0.0,3.5120345728992675
600584,长电科技,2007-06-30,2008-08-27,2008-08-27,2008-08-27,48716975.99,49156959.45,0.0654,1017694656.15,,539071812.88,107376101.74000001,108880195.19999999,0.2644,2141938952.85,,941024997.6899999,8.76382158078893,1.0140077115449952,,0.2922,96961865.17,676275297.64,1.0,0.2644,0.2922,0.014327707511354149,0.007163853755677074,3.950555497816727
600584,长电科技,2007-09-30,2008-10-28,2008-10-28,2008-10-28,99748841.93,100169298.46,,1652557086.63,,625003602.47,120721749.74000001,121967706.84999998,,2200415148.0699997,,851086492.7699999,7.04998473434154,1.0103209000257485,,0.2922,103758913.99,818554494.9399999,,,0.2922,0.014327707511354149,0.007163853755677074,3.950555497816727
600584,长电科技,2007-12-31,2009-03-25,2009-03-25,2009-03-25,144190764.84,140496532.8,0.19,2320299821.7,,650472677.95,144190764.84,140496532.8,0.19,2320299821.7,,650472677.95,4.51119514257235,0.9743795516717089,,0.2272,115423951.02499998,818554494.9399999,0.9743795516717089,0.18513211481762468,0.22476605740881234,-0.022316002255347356,0.0,2.9454707628134713
600584,长电科技,2008-03-31,2009-04-25,2009-04-25,2009-04-25,24098451.78,23945200.04,,579318838.2,,196860277.56,155163176.74,151070312.8,,2456924758.1499996,,602140436.2,3.8806915973947853,0.9736221955106125,,0.2272,131232119.82499999,750779585.3599999,,,0.22476605740881234,-0.022295869632838805,0.0,2.9454707628134713
600584,长电科技,2008-06-30,2009-07-28,2009-07-28,2009-07-28,58030601.07,59144542.11,0.0778,1258816791.44,,457427326.22,153504389.92,150484115.46000004,0.20239999999999997,2561421956.99,,568828191.2900001,3.705615139648119,0.9803245075820047,,0.19619999999999999,145490324.13000003,626306557.075,0.9803245075820047,0.19841768033459772,0.19177489757611121,0.03693335323459257,0.018466676617296285,2.7228740235883135
600584,长电科技,2008-09-30,2009-10-28,2009-10-28,2009-10-28,87464920.41,88849408.27,0.1174,1901134152.56,,624795051.04,131906843.32,129176642.61,,2568876887.6299996,,650264126.52,4.929722447701131,0.9793020540763253,,0.19619999999999999,145490324.13000003,626202281.36,,,0.19177489757611121,0.03693335323459257,0.018466676617296285,2.7228740235883135
600584,长电科技,2008-12-31,2010-03-06,2010-03-06,2010-03-06,93092069.44,75753136.83,0.12,2383859683.21,,769118165.9,93092069.44,75753136.83,0.12,2383859683.21,,769118165.9,8.261908565645482,0.8137442564731537,,0.16119999999999998,139830379.03500003,626202281.36,0.8137442564731537,0.09764931077677845,0.1480334955556881,-0.045062547866035474,0.0,1.9399207251444277
600584,长电科技,2009-03-31,2010-04-22,2010-04-22,2010-04-22,-51355117.69,-50347381.74,-0.069,357467749.87,,222598.12,17638499.97,1460555.049999997,,2162008594.88,,572480486.46,32.45630226117239,0.08280494670658761,,0.16119999999999998,102464889.72,611372306.49,,,0.1480334955556881,-0.045062547866035474,0.0,1.9399207251444277
600584,长电科技,2009-06-30,2010-08-28,2010-08-28,2010-08-28,-25856851.33,-24831023.86,-0.0347,956275454.58,,167929551.91,9204617.04,-8222429.140000001,0.007499999999999993,2081318346.35,,479620391.5899999,52.106501498730466,-0.8932939962921045,,0.06375,38606845.94,611372306.49,,,,,0.0,
600584,长电科技,2009-09-30,2010-10-28,2010-10-28,2010-10-28,1104193.49,4224881.05,0.0015,1643172347.87,,278828037.75,6731342.519999996,-8871390.39,0.0040999999999999925,2125897878.52,,423151152.61,62.86281694219897,-1.3179228903657105,,0.007499999999999993,-3380937.045000002,526050439.025,,,,,0.0,
600584,长电科技,2009-12-31,2011-03-18,2011-03-18,2011-03-18,23194854.19,21910020.88,0.03,2369697591.3,,216044506.48,23194854.19,21910020.88,0.03,2369697591.3,,216044506.48,9.314329148623976,0.9446069675853391,,0.007499999999999993,-3380937.045000002,451385772.09999996,0.9446069675853391,0.028338209027560173,,,0.0,
600584,长电科技,2010-03-31,2010-04-22,2010-04-22,2010-04-22,39524562.11,37947252.95,0.053,748242602.06,,175937082.75,114074533.99,110204655.57,0.152,2760472443.4900002,,391758991.11,3.4342370501758297,0.966075877896295,,0.018749999999999996,6843795.869999999,407455071.86,0.966075877896295,0.14684353344023685,0.08759087123389851,-0.31111782838728974,0.0,1.1478439106112668
600584,长电科技,2010-06-30,2010-08-28,2010-08-28,2010-08-28,104575735.19,104211146.41,0.1403,1639470941.14,,445882504.74,153627440.70999998,150952191.14999998,0.20500000000000002,3052893077.8600006,,493997459.31000006,3.2155548320466463,0.9825861216743822,,0.091,66057338.224999994,407455071.86,0.9825861216743822,0.20143015494324837,0.14684353344023685,-0.2049137204133964,0.0,1.9243267397343335
600584,长电科技,2010-09-30,2010-10-28,2010-10-28,2010-10-28,169108713.87,169077624.26,0.2269,2644961484.53,,564989256.95,191199374.57,186762764.08999997,0.2554,3371486727.96,,502205725.68000007,2.6266075755187033,0.9767958943904613,,0.1785,130578423.35999998,442878225.21000004,0.9767958943904613,0.24947367142732385,0.1741368441917426,-0.15843581557716246,0.0,2.2819948403618393
600584,长电科技,2010-12-31,2011-03-18,2011-03-18,2011-03-18,207712102.97,192785343.09,0.27,3616244164.29,,414830134.21,207712102.97,192785343.09,0.27,3616244164.29,,414830134.21,1.9971399272285746,0.9281372646727482,,0.23020000000000002,168857477.61999997,454413796.76,0.9281372646727482,0.250597061461642,0.22545191318528612,0.0010158754801927738,0.0005079377400963869,2.9610176044420804
600584,长电科技,2011-03-31,2011-04-27,2011-04-27,2011-04-27,39592700.53,37806493.03,0.0464,947997690.23,,129163128.49,207780241.39,192644583.17000002,0.2634,3815999252.4600005,,368056179.9499999,1.7713723763520166,0.9271554498216671,,0.2594,189703673.63,454413796.76,0.9271554498216671,0.24421274548302713,0.2468432084551755,0.03174595538877556,0.01587297769438778,3.465712953555606
600584,长电科技,2011-06-30,2011-08-10,2011-08-10,2011-08-10,84696313.27,83368086.25,0.0993,1976632873.81,,357073348.77,187832681.05,171942282.93000004,0.229,3953406096.96,,326020978.24,1.7356989019030988,0.9154013133860873,,0.2594,189703673.63,391443157.0799999,0.9154013133860873,0.20962690076541401,0.2468432084551755,0.08784788227523932,0.04392394113761966,3.801096795660146
600584,长电科技,2011-09-30,2011-10-29,2011-10-29,2011-10-29,100286559.73,97335632.44,0.1176,2938954331.23,,494954611.07,138889948.82999998,121043351.26999998,0.1607,3910237010.9900002,,344795488.3299999,2.4825085705231733,0.8715054781837088,,0.24620000000000003,182293433.05,356425834.1399999,0.8715054781837088,0.14005093034412203,0.22691982312422057,0.05773508648962844,0.02886754324481422,3.3692458103478016
600584,长电科技,2011-12-31,2012-04-20,2012-04-20,2012-04-20,67317066.5,-37726673.19,0.08,3762432529.9,,484593336.14,67317066.5,-37726673.19,0.08,3762432529.9,,484593336.14,7.19866983716529,-0.5604325195899617,,0.19485000000000002,146492817.10000002,356425834.1399999,,,0.20962690076541401,0.12304416176647215,0.061522080883236074,3.3580977980319253
600584,长电科技,2012-03-31,2012-04-26,2012-04-26,2012-04-26,1096515.66,-67411753.97,0.0013,880760452.74,,188477239.5,28820881.629999995,-142944920.19,0.0349,3695195292.4100003,,543907447.15,18.871991985971736,-4.959769171016855,,0.12035000000000001,41658339.03999999,414694412.23499995,,,0.17483891555476802,0.05702974266591232,0.02851487133295616,2.592040999701009
600584,长电科技,2012-06-30,2012-08-21,2012-08-21,2012-08-21,21785591.76,-50445026.65,0.0255,2048973584.32,,409675302.32,4406344.99000001,-171539786.09,0.006199999999999997,3834773240.4100003,,537195289.69,121.91403326547041,-38.930176025549834,,0.05745,-90335796.69,510894312.915,,,,,0.0,
600584,长电科技,2012-09-30,2012-10-30,2012-10-30,2012-10-30,10402123.95,-82687063.76,0.0122,3194046088.09,,484137735.42,-22567369.28,-217749369.39,-0.025399999999999992,4017524286.7599998,,473776460.48999995,-20.993871931270135,9.648859230702497,,0.02055,-157242353.14,510894312.915,,,,,0.0,
