code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
002241,歌尔股份,2005-12-31,2008-05-05,2008-05-05,2008-05-05,14616018.29,14299456.88,0.71,102940251.5,,22843164.78,14616018.29,14299456.88,0.71,102940251.5,,22843164.78,1.5628856181460076,0.9783414741471291,,,,,0.9783414741471291,0.6946224466444616,,,,,,0.9783414741471291,0.6946224466444616,,,0.0,
002241,歌尔股份,2006-12-31,2008-05-05,2008-05-05,2008-05-05,28604977.54,25079146.89,1.38,161450605.72,,83103322.19,28604977.54,25079146.89,1.38,161450605.72,,83103322.19,2.9052049446216763,0.8767406600802387,,1.045,19689301.885,52973243.485,0.8767406600802387,1.2099021109107293,0.9522622787775954,,,,,0.8767406600802387,1.2099021109107293,0.9522622787775954,,0.0,12.479022557965502
002241,歌尔股份,2007-03-31,2008-05-21,2008-05-21,2008-05-21,9617955.57,7547730.01,0.08,86371249.17,,15441476.66,,,,,,,,,,1.045,19689301.885,52973243.485,,,0.9522622787775954,,,,,,,0.9522622787775954,,0.0,12.479022557965502
002241,歌尔股份,2007-06-30,2008-08-19,2008-08-19,2008-08-19,27223501.27,22949617.18,0.45,230550755.52,,26287830.84,,,,,,,,,,1.045,19689301.885,52973243.485,,,0.9522622787775954,,,,,,,0.9522622787775954,,0.0,12.479022557965502
002241,歌尔股份,2007-09-30,2008-10-24,2008-10-24,2008-10-24,48648759.09,,0.54,408979401.18,,10767262.86,,,,,,,,,,,,,,,,,,,,,,,,0.0,
002241,歌尔股份,2007-12-31,2009-03-17,2009-03-17,2009-03-17,77072815.56,75166051.42,0.86,644718100.2,,33865136.25,77072815.56,75166051.42,0.86,644718100.2,,33865136.25,0.43939145084996295,0.9752602246830386,,,,,0.9752602246830386,0.8387237932274132,,,,,,0.43939145084996295,0.37787664773096813,,,0.0,
002241,歌尔股份,2008-03-31,2009-04-22,2009-04-22,2009-04-22,20433281.85,20290034.44,0.23,196671055.96,,23207396.73,87888141.84,87908355.85,1.01,755017906.9900001,,41631056.32000001,0.47368229033433396,1.0002299970118471,,0.935,81537203.63499999,37748096.285000004,1.0,1.01,0.9243618966137066,,,,,0.47368229033433396,0.4784191132376773,0.42814788048432273,,0.0,5.610709546919718
002241,歌尔股份,2008-06-30,2009-08-19,2009-08-19,2009-08-19,50091026.61,50665192.17,0.26,471746759.6,,44618868.86,99940340.9,102881626.41,0.6700000000000002,885914104.2800002,,52196174.269999996,0.5222733262659903,1.0294304130195335,,0.86,87908355.85,41631056.32000001,1.0,0.6700000000000002,0.8387237932274132,,,,,0.5222733262659903,0.3499231285982136,0.37787664773096813,,0.0,4.951924817621035
002241,歌尔股份,2008-09-30,2009-10-24,2009-10-24,2009-10-24,83941229.55,84230396.46,0.41,783752385.2,,58583226.98,112365286.02000001,,0.73,1019491084.22,,81681100.36999999,0.7269246870021894,,,0.7949999999999999,87908355.85,46913615.295,,,0.8387237932274132,,,,,,,0.37787664773096813,,0.0,4.951924817621035
002241,歌尔股份,2008-12-31,2010-01-21,2010-01-21,2010-01-21,122623252.75,117910385.32,0.57,1012441865.85,,53585429.93,122623252.75,117910385.32,0.57,1012441865.85,,53585429.93,0.43699240338411266,0.9615662827048925,,0.7000000000000001,102881626.41,52890802.099999994,0.9615662827048925,0.5480927811417887,0.6700000000000002,,,,,0.43699240338411266,0.24908566992894418,0.3499231285982136,,0.0,4.585604945873143
002241,歌尔股份,2009-03-31,2010-04-15,2010-04-15,2010-04-15,696695.86,662453.73,0.002,132195058.79,,17772211.39,102886666.75999999,98282804.61,0.34199999999999997,947965868.6800001,,48150244.58999999,0.4679930461963388,0.9552530731631218,,0.6200000000000001,102881626.41,52890802.099999994,0.9552530731631218,0.32669655102178763,0.5480927811417887,,,,,0.4679930461963388,0.16005362179914787,0.24908566992894418,,0.0,3.2641697179262206
002241,歌尔股份,2009-06-30,2010-08-19,2010-08-19,2010-08-19,20600351.0,20513016.35,0.06,358752806.98,,30229734.93,93132577.14,87758209.49999999,0.3699999999999999,899447913.2299999,,39196296.0,0.42086557898079874,0.9422933649530487,,0.4699999999999999,98282804.61,50867837.25999999,0.9422933649530487,0.34864854503262793,0.34864854503262793,,,,,0.42086557898079874,0.15572026422289548,0.16005362179914787,,0.0,2.0974397510311604
002241,歌尔股份,2009-09-30,2010-10-23,2010-10-23,2010-10-23,55428136.66,47450813.86,0.15,713763754.08,,29209200.62,94110159.86,81130802.72000001,0.31,942453234.73,,24211403.57,0.25726662887426105,0.8620833589135507,,0.3559999999999999,93020507.05499999,43673270.294999994,0.8620833589135507,0.2672458412632007,0.3376725480272078,,,,,0.25726662887426105,0.07975265495102092,0.15788694301102169,,0.0,2.0690462778510614
002241,歌尔股份,2009-12-31,2011-04-20,2011-04-20,2011-04-20,99876278.03,86146923.98,0.28,1126850226.05,,67926930.45,99876278.03,86146923.98,0.28,1126850226.05,,67926930.45,0.680110750919219,0.8625363868097279,,0.32599999999999996,86952566.74,43673270.294999994,0.8625363868097279,0.24151018830672383,0.2969711961424942,-0.32180009372438,0.9107829009572554,0.0,3.8026704599551127,0.680110750919219,0.19043101025738135,0.15788694301102169,-0.45055712070876974,0.0,2.0690462778510614
002241,歌尔股份,2010-03-31,2010-04-15,2010-04-15,2010-04-15,27040421.67,25792731.95,0.08,360706093.78,,15544332.15,126220003.84,111277202.2,0.35800000000000004,1355361261.04,,65699051.21000001,0.5205121946698873,0.8816130471764054,,0.334,86952566.74,52447673.605000004,0.8816130471764054,0.3156174708891532,0.29143165607617694,-0.3055567516871255,0.9256046860967657,0.0,3.7317375019930394,0.5205121946698873,0.18634336569181967,0.1710318149573576,-0.4357172102816168,0.0,2.241304653716231
002241,歌尔股份,2010-06-30,2010-08-19,2010-08-19,2010-08-19,99317082.34,98208936.44,0.14,1037741244.59,,40781184.15,178593009.37,163842844.07000002,0.36000000000000004,1805838663.6599998,,78478379.66999999,0.43942582045533723,0.9174090556397908,,0.334,98712063.09,66812990.830000006,0.9174090556397908,0.33026726003032475,0.29143165607617694,-0.2872752408656801,0.9949583067234915,0.0,3.7317375019930394,0.43942582045533723,0.15819329536392143,0.17226833052787055,-0.4343609115370791,0.0,2.257508703841491
002241,歌尔股份,2010-09-30,2010-10-23,2010-10-23,2010-10-23,192613107.41,189271979.3,0.27,1845494501.31,,131109549.34,237061248.78,227968089.42000002,0.4,2258580973.2799997,,169827279.17000002,0.7163856600097676,0.9616421519468216,,0.35900000000000004,137560023.13500002,73202655.06,0.9616421519468216,0.3846568607787286,0.322942365459739,-0.25062012526405075,1.0216177346172066,0.0,4.135227285856141,0.7163856600097676,0.28655426400390704,0.18838718797460052,-0.39236023626451655,0.0,2.468739989768918
002241,歌尔股份,2010-12-31,2011-04-20,2011-04-20,2011-04-20,276452510.48,258356329.85,0.38,2644667519.52,,321385206.74,276452510.48,258356329.85,0.38,2644667519.52,,321385206.74,1.162533146043724,0.9345414494569794,,0.37,195905466.745,124152829.42,0.9345414494569794,0.35512575079365216,0.3426965054119885,-0.22546994720167324,1.0117909524865727,0.0,4.3881760075974725,0.9345414494569794,0.35512575079365216,0.23644881484786334,-0.3280193654690343,0.0,3.098568703234155
002241,歌尔股份,2011-03-31,2011-04-25,2011-04-25,2011-04-25,59081885.6,52021757.74,0.08,612009660.44,,26530350.29,308493974.41,284585355.64,0.38,2895971086.1800003,,332371224.88000005,1.0773994063114707,0.9224989116376562,,0.38,243162209.635,245606242.955,0.9224989116376562,0.3505495864223094,0.35283766860798077,-0.2747593449449336,0.5658336405363105,0.0,4.5180320415021225,0.9224989116376562,0.3505495864223094,0.3185519252131082,-0.09392080088269128,0.0,4.174497666462901
002241,歌尔股份,2011-06-30,2011-08-19,2011-08-19,2011-08-19,179524839.27,164861607.53,0.24,1466133873.71,,135220709.22,356660267.40999997,325009000.94,0.48,3073060148.64,,415824731.81000006,1.1658846521639243,0.9112565391714487,,0.39,271470842.745,326878215.81000006,0.9112565391714487,0.43740313880229537,0.3698913057861904,-0.2389663172637696,0.5141996573204326,0.0,4.736401240854552,0.9112565391714487,0.43740313880229537,0.35283766860798077,-0.02260938332798712,0.0,4.623798846165682
002241,歌尔股份,2011-09-30,2011-10-11,2011-10-11,2011-10-11,350369804.47,332826986.48,0.47,2753719950.56,,266449112.52,434209207.5400001,401911337.03000003,0.58,3552892968.77,,456724769.91999996,1.0518541799414185,0.9256167995769073,,0.43,304797178.28999996,374097978.345,0.9256167995769073,0.5368577437546063,0.39626444479797374,-0.2212805262096169,0.5165498384998686,0.0,5.074105226827244,0.9256167995769073,0.5368577437546063,0.39626444479797374,0.015975095100540848,0.007987547550270424,5.376720706552662
002241,歌尔股份,2011-12-31,2012-02-14,2012-02-14,2012-02-14,528017960.16,501549313.02,0.7,4077000282.02,,557393877.38,528017960.16,501549313.02,0.7,4077000282.02,,557393877.38,1.0556343144295668,0.9498716916144679,,0.53,363460168.985,436274750.865,0.9498716916144679,0.6649101841301275,0.48713044127845084,-0.10086434987378068,0.5914573457201475,0.0,6.237630326631535,0.9498716916144679,0.6649101841301275,0.48713044127845084,0.11666698397308028,0.05833349198654014,7.748141425295591
002241,歌尔股份,2012-03-31,2012-04-18,2012-04-18,2012-04-18,114724300.73,111694399.23,0.15,979952086.76,,53236210.58,583660375.29,561221954.51,0.77,4444942708.34,,584099737.6700001,1.0007527706155859,0.9615556893529886,,0.6399999999999999,451730325.025,507059323.65,0.9615556893529886,0.7403978808018012,0.6008839639423669,0.03111983398458129,0.6735555451557971,0.03111983398458129,8.748255132087252,0.9615556893529886,0.7403978808018012,0.6008839639423669,0.3410703016240346,0.15,11.66261880073458
002241,歌尔股份,2012-06-30,2012-07-24,2012-07-24,2012-07-24,314592365.73,310845990.65,0.22,2547890307.87,,150997750.24,663085486.6200001,647533696.14,0.6799999999999999,5158756716.179999,,573170918.4,0.8643997342208031,0.9765463265388697,,0.69,531385633.765,565282397.89,0.9765463265388697,0.6640515020464314,0.6644808430882794,0.2397769922942119,0.7897759411450365,0.2397769922942119,22.047799508339953,0.8643997342208031,0.587791819270146,0.6263510017001368,0.5756957703934427,0.15,12.156911161948718
002241,歌尔股份,2012-09-30,2012-10-23,2012-10-23,2012-10-23,578723052.92,566859400.57,0.39,4531264610.35,,265217668.97,756371208.6099999,735581727.11,0.6199999999999999,5854544941.810001,,556162433.83,0.7353035487060277,0.9725141818417372,,0.69,604377825.325,565282397.89,0.9725141818417372,0.6029587927418769,0.6644808430882794,0.25306389576239385,0.8380223958020558,0.25306389576239385,23.18440485389832,0.7353035487060277,0.45588820019773707,0.6263510017001368,0.5828691538238009,0.15,12.156911161948718
002241,歌尔股份,2012-12-31,2013-03-19,2013-03-19,2013-03-19,907090436.1,883099055.45,0.61,7253205090.54,,551904482.76,907090436.1,883099055.45,0.61,7253205090.54,,551904482.76,0.60843380196234,0.9735512803407453,,0.6499999999999999,691557711.625,564666676.115,0.9735512803407453,0.5938662810078547,0.6335051473941542,0.28722239996845467,0.8599150180372546,0.28722239996845467,25.1230102084685,0.60843380196234,0.3711446191970274,0.5218400097339415,0.4894442184111316,0.15,10.12844654493445
002241,歌尔股份,2013-03-31,2013-04-23,2013-04-23,2013-04-23,190532541.01,189666283.75,0.12,1602889773.94,,182383582.0,982898676.3800001,961070939.97,0.58,7876142777.719999,,681051854.18,0.6929013850016594,0.97779248570118,,0.615,809340391.28,564666676.115,0.97779248570118,0.5671196417066844,0.5984125368748658,0.27095711056886906,0.7976069049474199,0.27095711056886906,22.332406449294915,0.6929013850016594,0.40188280330096243,0.42888550174934975,0.3584942231387951,0.15,8.324282916866467
002241,歌尔股份,2013-06-30,2013-08-16,2013-08-16,2013-08-16,478537023.71,451063332.02,0.31,3667801088.92,,367990501.77,1071035094.0799999,1023316396.82,0.7,8373115871.589999,,768897234.29,0.7179010646242819,0.9554461870355524,,0.615,922084997.71,618607144.005,0.9554461870355524,0.6688123309248867,0.5984125368748658,0.27095711056886906,0.667319118833301,0.27095711056886906,22.332406449294915,0.7179010646242819,0.5025307452369974,0.42888550174934975,0.35523680326296647,0.15,8.324282916866467
002241,歌尔股份,2013-09-30,2013-10-22,2013-10-22,2013-10-22,836547347.95,793578338.53,0.55,6236221085.53,,198917980.98,1164914731.13,1109817993.4099998,0.7700000000000001,8958161565.72,,485604794.77,0.41685866080425443,0.9527032011462719,,0.655,992193668.395,616478168.47,0.9527032011462719,0.7335814648826295,0.6313393059663707,0.25032754560648685,0.5827618645538817,0.25032754560648685,21.80166365169663,0.41685866080425443,0.32098116881927596,0.3865137112489949,0.27061540318530586,0.13530770159265293,7.271926823595482
