population,horizon_months,sell_events_total,complete_observations,mean_forward_return,median_forward_return,positive_forward_return_fraction,mean_max_upside,median_max_upside,maximum_max_upside
all_sell_events,6,69,67,0.10559898343808317,0.0473955889253872,0.582089552238806,0.2959208683265228,0.23876123876123878,1.2196531791907512
all_sell_events,12,69,62,0.37610522930029117,0.20969035777314304,0.8225806451612904,0.6264048763294466,0.4334962950318021,2.999036608863198
all_sell_events,24,69,45,0.7166912628180901,0.38431179082387756,0.8222222222222222,1.1019368004112333,0.8797892720306515,4.181119648737652
sell_regime_entries,6,6,6,0.21523875900745093,0.1055380924179612,0.8333333333333334,0.3516272793577769,0.30829144711200196,0.8529088913282108
sell_regime_entries,12,6,6,0.19507503404690504,0.16981743709062702,0.8333333333333334,0.6186083561135832,0.46642536006640856,1.8660812294182216
sell_regime_entries,24,6,6,0.8179241491495235,0.9213693430037747,0.8333333333333334,1.495516647496568,1.3281652569612117,4.181119648737652
code_002138,6,17,15,0.02943297874192121,-0.017954070981210823,0.4,0.14687478899821146,0.10667183863460039,0.36768935762224353
code_002138,12,17,13,0.06551252338118117,0.05539830165790538,0.6923076923076923,0.2181086787769005,0.19123173277661798,0.4484463276836159
code_002138,24,17,10,0.22324436269107933,0.20233261406837977,1.0,0.34829097174932266,0.34895361315788864,0.5071907957813999
code_002179,6,11,11,0.07891914299783041,0.0473955889253872,0.6363636363636364,0.24242251031884895,0.24636320976067583,0.5427259887005649
code_002179,12,11,11,0.1902842137955159,0.12315270935960587,0.8181818181818182,0.33282115491634534,0.3077301821762679,0.8665254237288136
code_002179,24,11,11,0.5542584146813216,0.40815649867374004,0.7272727272727273,0.7801246425703527,0.7612732095490715,1.6902709359605912
code_002241,6,27,27,0.14283479609615612,0.0006648936170214892,0.5185185185185185,0.4004617646092842,0.335727969348659,1.2196531791907512
code_002241,12,27,25,0.6520502223313517,0.46808510638297873,0.88,0.9690306356076712,0.57201646090535,2.999036608863198
code_002241,24,27,19,1.1651673526749615,1.3277925531914891,0.8421052631578947,1.7675471196354697,1.4951989026063104,4.181119648737652
code_002815,6,14,14,0.13635622440360035,0.14250493793475294,0.8571428571428571,0.29603293463898883,0.2520336806051091,0.563167259786477
code_002815,12,14,13,0.31326765404832496,0.35464535464535474,0.8461538461538461,0.6242223780041856,0.5972727272727274,1.1745049504950495
code_002815,24,14,5,0.3567281875168927,0.6961869618696184,0.6,0.7878959919328924,1.1219806763285027,1.189130434782609
