strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
EXPECTATION_GAP_10Y_single_002241,2018-12-28,002241,歌尔股份,BUY_STAGED,0.8141641864964007,6.743111636517889,5.49,0.0,0.5,0.5,0.0005
EXPECTATION_GAP_10Y_single_002241,2019-01-31,002241,歌尔股份,BUY_STAGED,0.7770893146158724,6.743111636517889,5.24,0.4883504193849021,0.5,0.01164958061509791,1.164958061509791e-05
EXPECTATION_GAP_10Y_single_002241,2019-04-30,002241,歌尔股份,CORE_ONLY,2.140154488967166,4.331463007828786,9.27,0.6388697450034451,0.25,-0.38886974500344507,0.0003888697450034451
EXPECTATION_GAP_10Y_single_002241,2019-07-31,002241,歌尔股份,CORE_ONLY,2.3964189423386393,4.331463007828786,10.38,0.2717989002356639,0.25,-0.021798900235663887,2.1798900235663887e-05
EXPECTATION_GAP_10Y_single_002241,2019-08-30,002241,歌尔股份,CORE_ONLY,3.7328986240100326,3.179834545640235,11.87,0.2759823296907696,0.25,-0.02598232969076958,2.5982329690769578e-05
EXPECTATION_GAP_10Y_single_002241,2019-09-30,002241,歌尔股份,CORE_ONLY,5.1229080526641475,3.179834545640235,16.29,0.31387283236994223,0.25,-0.06387283236994223,6.387283236994223e-05
EXPECTATION_GAP_10Y_single_002241,2019-10-31,002241,歌尔股份,CORE_ONLY,5.437389823852861,3.179834545640235,17.29,0.2613361547762999,0.25,-0.0113361547762999,1.13361547762999e-05
EXPECTATION_GAP_10Y_single_002241,2019-11-29,002241,歌尔股份,CORE_ONLY,5.69212005851572,3.179834545640235,18.1,0.2586822924110331,0.25,-0.008682292411033077,8.682292411033076e-06
EXPECTATION_GAP_10Y_single_002241,2019-12-31,002241,歌尔股份,CORE_ONLY,5.858795397245737,3.179834545640235,18.63,0.25545043192102035,0.25,-0.005450431921020349,5.450431921020349e-06
EXPECTATION_GAP_10Y_single_002241,2020-01-23,002241,歌尔股份,CORE_ONLY,7.019233132932092,3.179834545640235,22.32,0.28538550057537404,0.25,-0.03538550057537404,3.538550057537404e-05
EXPECTATION_GAP_10Y_single_002241,2020-06-30,002241,歌尔股份,CORE_ONLY,6.110967632579046,4.60974459262702,28.17,0.29612109744560017,0.25,-0.04612109744560017,4.612109744560017e-05
EXPECTATION_GAP_10Y_single_002241,2020-07-31,002241,歌尔股份,CORE_ONLY,9.004837288901532,4.60974459262702,41.51,0.3293921599746072,0.25,-0.07939215997460719,7.93921599746072e-05
EXPECTATION_GAP_10Y_single_002241,2020-10-30,002241,歌尔股份,CORE_ONLY,7.498859295208125,5.890229201690081,44.17,0.26182572614107896,0.25,-0.011825726141078963,1.1825726141078964e-05
EXPECTATION_GAP_10Y_single_002241,2021-08-31,002241,歌尔股份,CORE_ONLY,1.9914320036558126,22.84788027734436,45.5,0.25560361777428237,0.25,-0.005603617774282366,5.6036177742823655e-06
EXPECTATION_GAP_10Y_single_002241,2022-03-31,002241,歌尔股份,BUY_A_LEVEL,0.7306577092954847,45.65749402981925,33.36,0.196397032850583,0.75,0.553602967149417,0.000553602967149417
EXPECTATION_GAP_10Y_single_002241,2022-06-30,002241,歌尔股份,BUY_A_LEVEL,0.6836851622736867,47.91679241809523,32.76,0.7465815861440297,0.75,0.0034184138559703037,3.418413855970304e-06
EXPECTATION_GAP_10Y_single_002241,2022-07-29,002241,歌尔股份,BUY_FULL_MARGIN,0.6461200434674402,47.91679241809523,30.96,0.7392550143266475,1.0,0.26074498567335247,0.0002607449856733525
EXPECTATION_GAP_10Y_single_002241,2023-08-31,002241,歌尔股份,CORE_ONLY,3.2163633707920503,4.533069905098932,14.58,1.0,0.25,-0.75,0.00075
EXPECTATION_GAP_10Y_single_002241,2023-09-28,002241,歌尔股份,CORE_ONLY,3.3178398557415933,4.533069905098932,15.04,0.25586934331405237,0.25,-0.0058693433140523665,5.869343314052367e-06
EXPECTATION_GAP_10Y_single_002241,2023-10-31,002241,歌尔股份,CORE_ONLY,6.021706059321126,2.8712793068397024,17.29,0.27703893606793806,0.25,-0.027038936067938057,2.7038936067938058e-05
EXPECTATION_GAP_10Y_single_002241,2023-12-29,002241,歌尔股份,CORE_ONLY,7.059570955606665,2.8712793068397024,20.27,0.28098142500693085,0.25,-0.03098142500693085,3.0981425006930853e-05
EXPECTATION_GAP_10Y_single_002241,2024-07-31,002241,歌尔股份,CORE_ONLY,6.447689748726128,3.2383692165283335,20.88,0.25560044069041493,0.25,-0.005600440690414932,5.600440690414932e-06
EXPECTATION_GAP_10Y_single_002241,2024-09-30,002241,歌尔股份,CORE_ONLY,5.238747896348872,4.214747576494105,22.08,0.2606232294617564,0.25,-0.010623229461756423,1.0623229461756423e-05
EXPECTATION_GAP_10Y_single_002241,2024-10-31,002241,歌尔股份,CORE_ONLY,4.442081017131885,5.14623662014161,22.86,0.2565656565656568,0.25,-0.0065656565656567745,6.5656565656567745e-06
