date,nav,cash_weight,turnover,w_600089
2018-01-02,1.0,1.0,0.0,0.0
2018-01-03,1.0,1.0,0.0,0.0
2018-01-04,1.0,1.0,0.0,0.0
2018-01-05,1.0,1.0,0.0,0.0
2018-01-08,1.0,1.0,0.0,0.0
2018-01-09,1.0,1.0,0.0,0.0
2018-01-10,1.0,1.0,0.0,0.0
2018-01-11,1.0,1.0,0.0,0.0
2018-01-12,1.0,1.0,0.0,0.0
2018-01-15,1.0,1.0,0.0,0.0
2018-01-16,1.0,1.0,0.0,0.0
2018-01-17,1.0,1.0,0.0,0.0
2018-01-18,1.0,1.0,0.0,0.0
2018-01-19,1.0,1.0,0.0,0.0
2018-01-22,1.0,1.0,0.0,0.0
2018-01-23,1.0,1.0,0.0,0.0
2018-01-24,1.0,1.0,0.0,0.0
2018-01-25,1.0,1.0,0.0,0.0
2018-01-26,1.0,1.0,0.0,0.0
2018-01-29,1.0,1.0,0.0,0.0
2018-01-30,1.0,1.0,0.0,0.0
2018-01-31,0.999,0.0,1.0,1.0
2018-02-01,0.9725364238410595,0.0,0.0,1.0
2018-02-02,0.9791523178807946,0.0,0.0,1.0
2018-02-05,0.9758443708609271,0.0,0.0,1.0
2018-02-06,0.9212632450331125,0.0,0.0,1.0
2018-02-07,0.9179552980132449,0.0,0.0,1.0
2018-02-08,0.9229172185430462,0.0,0.0,1.0
2018-02-09,0.8766059602649005,0.0,0.0,1.0
2018-02-12,0.8848758278145692,0.0,0.0,1.0
2018-02-13,0.8832218543046355,0.0,0.0,1.0
2018-02-14,0.8898377483443706,0.0,0.0,1.0
2018-02-22,0.9047235099337745,0.0,0.0,1.0
2018-02-23,0.9063774834437084,0.0,0.0,1.0
2018-02-26,0.9245711920529799,0.0,0.0,1.0
2018-02-27,0.916301324503311,0.0,0.0,1.0
2018-02-28,0.9179552980132448,0.0,0.0,1.0
2018-03-01,0.9278791390728476,0.0,0.0,1.0
2018-03-02,0.9196092715231786,0.0,0.0,1.0
2018-03-05,0.9212632450331126,0.0,0.0,1.0
2018-03-06,0.932841059602649,0.0,0.0,1.0
2018-03-07,0.9179552980132449,0.0,0.0,1.0
2018-03-08,0.92457119205298,0.0,0.0,1.0
2018-03-09,0.9295331125827815,0.0,0.0,1.0
2018-03-12,0.9378029801324503,0.0,0.0,1.0
2018-03-13,0.9311870860927153,0.0,0.0,1.0
2018-03-14,0.9262251655629139,0.0,0.0,1.0
2018-03-15,0.9229172185430464,0.0,0.0,1.0
2018-03-16,0.9146473509933776,0.0,0.0,1.0
2018-03-19,0.9080314569536424,0.0,0.0,1.0
2018-03-20,0.9113394039735099,0.0,0.0,1.0
2018-03-21,0.9163013245033114,0.0,0.0,1.0
2018-03-22,0.9212632450331127,0.0,0.0,1.0
2018-03-23,0.889837748344371,0.0,0.0,1.0
2018-03-26,0.8914917218543047,0.0,0.0,1.0
2018-03-27,0.8981076158940398,0.0,0.0,1.0
2018-03-28,0.8898377483443709,0.0,0.0,1.0
2018-03-29,0.8981076158940398,0.0,0.0,1.0
2018-03-30,0.8981076158940398,0.0,0.0,1.0
2018-04-02,0.9014155629139073,0.0,0.0,1.0
2018-04-03,0.8898377483443709,0.0,0.0,1.0
2018-04-04,0.8881837748344372,0.0,0.0,1.0
2018-04-09,0.8815678807947022,0.0,0.0,1.0
2018-04-10,0.8931456953642387,0.0,0.0,1.0
2018-04-11,0.8914917218543048,0.0,0.0,1.0
2018-04-12,0.883221854304636,0.0,0.0,1.0
2018-04-13,0.883221854304636,0.0,0.0,1.0
2018-04-16,0.883221854304636,0.0,0.0,1.0
2018-04-17,0.8650281456953645,0.0,0.0,1.0
2018-04-18,0.8534503311258279,0.0,0.0,1.0
