strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
ROUND5_5Y_15X_cross_industry8,2018-01-31,600089,特变电工,BUY_FULL_MARGIN,0.6165073066705054,9.797126383820947,6.04,0.0,0.125,0.125,0.000125
ROUND5_5Y_15X_cross_industry8,2018-02-28,600089,特变电工,BUY_FULL_MARGIN,0.5664926410631299,9.797126383820947,5.55,0.11603596069412503,0.125,0.008964039305874971,8.964039305874972e-06
ROUND5_5Y_15X_cross_industry8,2018-03-30,600089,特变电工,BUY_FULL_MARGIN,0.5542441515266298,9.797126383820947,5.43,0.12262872628726297,0.125,0.0023712737127370292,2.371273712737029e-06
ROUND5_5Y_15X_cross_industry8,2018-04-27,600089,特变电工,BUY_FULL_MARGIN,0.5076902174961925,9.631857836686942,4.89,0.11398601398601398,0.125,0.011013986013986024,1.1013986013986025e-05
ROUND5_5Y_15X_cross_industry8,2018-05-31,600089,特变电工,BUY_FULL_MARGIN,0.5004226683704802,9.631857836686942,4.82,0.12343149807938546,0.125,0.0015685019206145429,1.5685019206145428e-06
ROUND5_5Y_15X_cross_industry8,2018-06-29,600089,特变电工,BUY_FULL_MARGIN,0.44332049666845436,9.631857836686942,4.27,0.11233885819521172,0.125,0.012661141804788278,1.2661141804788279e-05
ROUND5_5Y_15X_cross_industry8,2018-11-30,600845,宝信软件,BUY_STAGED,0.8376770578721794,6.971660433000807,5.84,0.0,0.0625,0.0625,6.25e-05
ROUND5_5Y_15X_cross_industry8,2018-12-28,600845,宝信软件,BUY_STAGED,0.8362426793484257,6.971660433000807,5.83,0.062472647373697225,0.0625,2.7352626302774852e-05,2.7352626302774852e-08
ROUND5_5Y_15X_cross_industry8,2019-04-30,600845,宝信软件,REDUCE_50,1.5762957723199815,6.102915562503443,9.62,0.09746048906675962,0.0625,-0.03496048906675962,3.496048906675962e-05
ROUND5_5Y_15X_cross_industry8,2019-06-28,600845,宝信软件,CORE_ONLY,1.7122963431126619,6.102915562503443,10.45,0.0680897456566942,0.03125,-0.036839745656694206,3.6839745656694204e-05
ROUND5_5Y_15X_cross_industry8,2019-07-31,600845,宝信软件,CORE_ONLY,1.8335498640603527,6.102915562503443,11.19,0.03337057463954249,0.03125,-0.0021205746395424885,2.1205746395424887e-06
ROUND5_5Y_15X_cross_industry8,2019-08-30,600845,宝信软件,CORE_ONLY,1.799501385965028,6.762984510552922,12.17,0.03421470398861712,0.03125,-0.002964703988617118,2.964703988617118e-06
ROUND5_5Y_15X_cross_industry8,2019-09-30,600845,宝信软件,CORE_ONLY,1.9414505503468216,6.762984510552922,13.13,0.03368827510352982,0.03125,-0.0024382751035298203,2.4382751035298204e-06
ROUND5_5Y_15X_cross_industry8,2020-01-23,600845,宝信软件,CORE_ONLY,2.0171445433400184,6.846311557392507,13.81,0.032897504903105404,0.03125,-0.001647504903105404,1.647504903105404e-06
ROUND5_5Y_15X_cross_industry8,2020-02-28,600845,宝信软件,CORE_ONLY,2.4334270884898412,6.846311557392507,16.66,0.037540597687457385,0.03125,-0.006290597687457385,6.290597687457384e-06
ROUND5_5Y_15X_cross_industry8,2020-04-30,600845,宝信软件,CORE_ONLY,1.836929175117545,10.131038393904952,18.61,0.03398299994915233,0.03125,-0.002732999949152333,2.732999949152333e-06
ROUND5_5Y_15X_cross_industry8,2020-05-29,600845,宝信软件,CORE_ONLY,2.050135355571811,10.131038393904952,20.77,0.03515737434112345,0.03125,-0.003907374341123447,3.9073743411234475e-06
ROUND5_5Y_15X_cross_industry8,2020-06-30,600845,宝信软件,CORE_ONLY,2.1567384457989447,10.131038393904952,21.85,0.032884099339862215,0.03125,-0.0016340993398622147,1.6340993398622147e-06
ROUND5_5Y_15X_cross_industry8,2020-07-31,600845,宝信软件,CORE_ONLY,2.6009179884119997,10.131038393904952,26.35,0.036070401217826675,0.03125,-0.004820401217826675,4.8204012178266755e-06
ROUND5_5Y_15X_cross_industry8,2020-07-31,600089,特变电工,REDUCE_25,1.2626698077229837,4.609281036421872,5.82,0.15151857614355332,0.09375,-0.057768576143553324,5.776857614355332e-05
ROUND5_5Y_15X_cross_industry8,2020-09-30,600845,宝信软件,CORE_ONLY,1.9820367235042446,13.496218149129927,26.75,0.031694032122767245,0.03125,-0.00044403212276724474,4.4403212276724473e-07
ROUND5_5Y_15X_cross_industry8,2020-09-30,600089,特变电工,REDUCE_25,1.21705171833992,4.806697950338135,5.85,0.09414309310423487,0.09375,-0.0003930931042348679,3.930931042348679e-07
ROUND5_5Y_15X_cross_industry8,2020-12-31,600089,特变电工,REDUCE_50,1.4084513048138905,4.806697950338135,6.77,0.10707009374527009,0.0625,-0.04457009374527009,4.457009374527009e-05
ROUND5_5Y_15X_cross_industry8,2021-01-29,600089,特变电工,CORE_ONLY,1.7683657445964653,4.806697950338135,8.5,0.077315704093334,0.03125,-0.046065704093334006,4.6065704093334004e-05
ROUND5_5Y_15X_cross_industry8,2021-07-30,600845,宝信软件,CORE_ONLY,2.175603510040189,14.970558674727616,32.57,0.03699972823914797,0.03125,-0.005749728239147968,5.749728239147968e-06
ROUND5_5Y_15X_cross_industry8,2021-07-30,600089,特变电工,CORE_ONLY,1.983769293520109,5.1820542003443375,10.28,0.0371924918637138,0.03125,-0.005942491863713803,5.942491863713803e-06
ROUND5_5Y_15X_cross_industry8,2021-08-31,600845,宝信软件,CORE_ONLY,2.2796377115028092,15.037477151315215,34.28,0.032212130677309846,0.03125,-0.0009621306773098456,9.621306773098456e-07
ROUND5_5Y_15X_cross_industry8,2021-08-31,600089,特变电工,CORE_ONLY,2.759201100247073,6.041603853560106,16.67,0.04962938376844756,0.03125,-0.01837938376844756,1.837938376844756e-05
ROUND5_5Y_15X_cross_industry8,2021-10-29,600089,特变电工,CORE_ONLY,1.950359844994291,9.408520200565201,18.35,0.03429604886877557,0.03125,-0.003046048868775568,3.046048868775568e-06
ROUND5_5Y_15X_cross_industry8,2022-03-31,002027,分众传媒,BUY_STAGED,0.815091485175563,5.888909511753917,4.8,0.0,0.0625,0.0625,6.25e-05
ROUND5_5Y_15X_cross_industry8,2022-04-29,002027,分众传媒,BUY_A_LEVEL,0.7260511068066386,6.308095886175327,4.58,0.05990918984718729,0.09375,0.03384081015281271,3.3840810152812716e-05
ROUND5_5Y_15X_cross_industry8,2022-04-29,600089,特变电工,BUY_FULL_MARGIN,0.5033587847417815,26.16423990048389,13.17,0.02292294863156277,0.125,0.10207705136843723,0.00010207705136843723
ROUND5_5Y_15X_cross_industry8,2022-07-29,002027,分众传媒,BUY_A_LEVEL,0.7355626933586906,6.308095886175327,4.64,0.09101358067683399,0.09375,0.0027364193231660117,2.7364193231660118e-06
ROUND5_5Y_15X_cross_industry8,2022-09-30,002027,分众传媒,BUY_A_LEVEL,0.7491580646614868,5.913304827068412,4.43,0.09200209975928274,0.09375,0.0017479002407172622,1.7479002407172623e-06
ROUND5_5Y_15X_cross_industry8,2022-10-31,002027,分众传媒,BUY_A_LEVEL,0.7268215379599183,4.953072813588702,3.6,0.07794001178866418,0.09375,0.01580998821133582,1.580998821133582e-05
