strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
UNIVERSAL_GEOMEAN_cross_industry8,2019-01-31,601100,恒立液压,BUY_STAGED,0.7855406280061383,18.53500567749912,14.56,0.0,0.0625,0.0625,6.25e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-01-31,002747,埃斯顿,BUY_A_LEVEL,0.653923998242767,11.683314912023883,7.64,0.0,0.09375,0.09375,9.375e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-01-31,002050,三花智控,BUY_STAGED,0.7968155213155926,8.948118867247867,7.13,0.0,0.0625,0.0625,6.25e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-01-31,002027,分众传媒,BUY_FULL_MARGIN,0.4941242571583252,8.034416328457944,3.97,0.0,0.125,0.125,0.000125
UNIVERSAL_GEOMEAN_cross_industry8,2019-05-31,002050,三花智控,BUY_STAGED,0.8110571277687212,8.80332562965407,7.14,0.060269284345780584,0.0625,0.002230715654219416,2.230715654219416e-06
UNIVERSAL_GEOMEAN_cross_industry8,2019-10-31,002027,分众传媒,REDUCE_25,1.3250227740898404,3.3735269215055173,4.47,0.12981491036186163,0.09375,-0.03606491036186163,3.606491036186163e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-11-29,601100,恒立液压,REDUCE_25,1.310411850236376,20.9247191980551,27.42,0.10655401910974682,0.09375,-0.012804019109746823,1.2804019109746823e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-12-31,601100,恒立液压,REDUCE_50,1.4158793318431167,22.09227813169739,31.28,0.10120113810224017,0.0625,-0.03870113810224017,3.870113810224017e-05
UNIVERSAL_GEOMEAN_cross_industry8,2019-12-31,002050,三花智控,REDUCE_25,1.3424570951278048,9.177202045944798,12.32,0.0959364727735865,0.09375,-0.0021864727735864953,2.1864727735864953e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-01-23,601100,恒立液压,REDUCE_50,1.4277907944672823,22.23014752791034,31.74,0.06281528505308621,0.0625,-0.00031528505308621446,3.1528505308621447e-07
UNIVERSAL_GEOMEAN_cross_industry8,2020-01-23,002050,三花智控,REDUCE_50,1.588352285041305,9.305240493053244,14.78,0.11139870498615502,0.0625,-0.04889870498615502,4.889870498615502e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-02-28,601100,恒立液压,REDUCE_50,1.6235090730608803,22.457527712647884,36.46,0.07167570563053052,0.0625,-0.009175705630530523,9.175705630530523e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-03-31,601100,恒立液压,REDUCE_50,1.6421521485500878,23.548366108550333,38.67,0.06890583098857965,0.0625,-0.00640583098857965,6.40583098857965e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-04-30,601100,恒立液压,REDUCE_50,1.6227207666044314,26.886942533740083,43.63,0.06756446738190999,0.0625,-0.005064467381909993,5.064467381909993e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-04-30,002747,埃斯顿,REDUCE_25,1.2684397091066963,8.120212514675858,10.3,0.09661664357560483,0.09375,-0.0028666435756048297,2.86664357560483e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-04-30,002050,三花智控,REDUCE_50,1.5685775684419856,9.983567478626219,15.66,0.06584537989547842,0.0625,-0.003345379895478423,3.345379895478423e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-05-29,601100,恒立液压,REDUCE_50,1.6962426357220468,27.272041762060947,46.26,0.06611434896979732,0.0625,-0.0036143489697973152,3.6143489697973154e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-05-29,002050,三花智控,REDUCE_50,1.5799427166046203,10.057326656847689,15.89,0.06327140082490236,0.0625,-0.0007714008249023602,7.714008249023601e-07
UNIVERSAL_GEOMEAN_cross_industry8,2020-06-30,601100,恒立液压,CORE_ONLY,1.7956765316825296,28.078553743060283,50.42,0.0648519344547431,0.03125,-0.033601934454743104,3.36019344547431e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-06-30,002747,埃斯顿,REDUCE_50,1.4381524623176467,8.239738352151619,11.85,0.10244562111662475,0.0625,-0.03994562111662475,3.994562111662475e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-06-30,002050,三花智控,CORE_ONLY,1.9921940298130247,10.224907662187807,20.37,0.07627686831252163,0.03125,-0.04502686831252163,4.5026868312521635e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-06-30,002027,分众传媒,REDUCE_50,1.4189998260582328,2.924595143558314,4.15,0.07561831130485484,0.0625,-0.013118311304854843,1.3118311304854843e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-07-31,601100,恒立液压,CORE_ONLY,1.9795268281764165,28.840225445488183,57.09,0.034192672434388206,0.03125,-0.0029426724343882063,2.942672434388206e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-07-31,002747,埃斯顿,CORE_ONLY,1.9191264512154083,8.342337207566837,16.01,0.08159786982789358,0.03125,-0.05034786982789358,5.0347869827893575e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-07-31,002050,三花智控,CORE_ONLY,2.130390114374506,10.354910986092767,22.06,0.032703205485494456,0.03125,-0.0014532054854944562,1.4532054854944563e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-07-31,002027,分众传媒,REDUCE_50,1.5367705201050241,2.9672615008832715,4.56,0.06636247667527159,0.0625,-0.0038624766752715922,3.862476675271593e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-08-31,601100,恒立液压,CORE_ONLY,1.9020844171582134,32.290890691257445,61.42,0.03291510859547587,0.03125,-0.0016651085954758685,1.6651085954758685e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-08-31,002747,埃斯顿,CORE_ONLY,2.0526288065866063,9.090781509117772,18.66,0.03565872664420225,0.03125,-0.004408726644202249,4.408726644202249e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-08-31,002027,分众传媒,CORE_ONLY,1.7169812044104904,3.3081317287629686,5.68,0.076218256828061,0.03125,-0.04496825682806101,4.496825682806101e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-09-30,601100,恒立液压,CORE_ONLY,1.9696910320840886,33.985025524115926,66.94,0.03385794678485071,0.03125,-0.002607946784850712,2.607946784850712e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-09-30,002747,埃斯顿,CORE_ONLY,2.086244094839022,9.313387655867396,19.43,0.032347884468166915,0.03125,-0.0010978844681669153,1.0978844681669153e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-09-30,002027,分众传媒,CORE_ONLY,1.7230613701623725,3.5286032786093116,6.08,0.03325369933047892,0.03125,-0.0020036993304789197,2.00369933047892e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-10-30,601100,恒立液压,CORE_ONLY,1.931233388984526,36.72782399298521,70.93,0.03266484426706285,0.03125,-0.0014148442670628494,1.4148442670628494e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-10-30,002747,埃斯顿,CORE_ONLY,2.036356238363627,10.78396774900574,21.96,0.03484142228632961,0.03125,-0.0035914222863296097,3.59142228632961e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-11-30,601100,恒立液压,CORE_ONLY,2.314433127361823,37.0760334293232,85.81,0.03746289557838282,0.03125,-0.006212895578382817,6.212895578382817e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-11-30,002747,埃斯顿,CORE_ONLY,2.1751196738441405,10.914341994821708,23.74,0.03347663356164904,0.03125,-0.0022266335616490385,2.2266335616490387e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-11-30,002027,分众传媒,CORE_ONLY,1.7135034241535987,4.26027745092246,7.3,0.03667743862146058,0.03125,-0.005427438621460577,5.427438621460577e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-11-30,600489,中金黄金,BUY_A_LEVEL,0.6723150076529949,12.285907507605828,8.26,0.0,0.09375,0.09375,9.375e-05
UNIVERSAL_GEOMEAN_cross_industry8,2020-12-31,601100,恒立液压,CORE_ONLY,2.663701745870862,39.77171999989223,105.94,0.038196562646242084,0.03125,-0.006946562646242084,6.9465626462420845e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-12-31,002747,埃斯顿,CORE_ONLY,2.614524566808232,11.306070853289533,29.56,0.038523517119466166,0.03125,-0.007273517119466166,7.273517119466166e-06
UNIVERSAL_GEOMEAN_cross_industry8,2020-12-31,600489,中金黄金,BUY_FULL_MARGIN,0.6239193052106018,12.245173271920388,7.64,0.08584930454518414,0.125,0.039150695454815865,3.915069545481586e-05
UNIVERSAL_GEOMEAN_cross_industry8,2021-01-29,601100,恒立液压,CORE_ONLY,2.723682043226989,40.3314330588496,109.85,0.03236884029657063,0.03125,-0.001118840296570632,1.1188402965706322e-06
UNIVERSAL_GEOMEAN_cross_industry8,2021-01-29,002747,埃斯顿,CORE_ONLY,2.9341512950183244,11.437719676207227,33.56,0.035440885935793635,0.03125,-0.004190885935793635,4.1908859357936354e-06
UNIVERSAL_GEOMEAN_cross_industry8,2021-01-29,002027,分众传媒,CORE_ONLY,1.760046549526344,4.6476043501243565,8.18,0.03463137096446282,0.03125,-0.0033813709644628168,3.3813709644628167e-06
UNIVERSAL_GEOMEAN_cross_industry8,2021-01-29,600489,中金黄金,BUY_FULL_MARGIN,0.6010272791077603,12.162509513464801,7.31,0.11947335428295432,0.125,0.005526645717045683,5.526645717045683e-06
UNIVERSAL_GEOMEAN_cross_industry8,2021-02-26,002027,分众传媒,CORE_ONLY,1.7603834697918048,4.680798326840981,8.24,0.03132542715627342,0.03125,-7.542715627342073e-05,7.542715627342073e-08
UNIVERSAL_GEOMEAN_cross_industry8,2021-06-30,002747,埃斯顿,CORE_ONLY,2.063080020292385,18.758361100562325,38.7,0.036151866477115054,0.03125,-0.004901866477115054,4.901866477115054e-06
UNIVERSAL_GEOMEAN_cross_industry8,2021-07-30,002747,埃斯顿,CORE_ONLY,2.1311251826670325,18.14534421277204,38.67,0.03151704134114533,0.03125,-0.00026704134114532985,2.6704134114532987e-07
UNIVERSAL_GEOMEAN_cross_industry8,2021-07-30,002027,分众传媒,BUY_STAGED,0.807965814238559,7.079507448456377,5.72,0.022073422147201153,0.0625,0.04042657785279885,4.042657785279885e-05
