,TRUE_BUYHOLD_single_600845
2018-01-01,1.0
2018-01-02,0.999
2018-01-03,0.9786951219512195
2018-01-04,1.0274268292682927
2018-01-05,1.0842804878048782
2018-01-08,1.0274268292682927
2018-01-09,0.999
2018-01-10,1.035548780487805
2018-01-11,1.2264146341463416
2018-01-12,1.1330121951219514
2018-01-15,1.0639756097560977
2018-01-16,1.080219512195122
2018-01-17,1.0233658536585366
2018-01-18,0.994939024390244
2018-01-19,1.047731707317073
2018-01-22,1.1451951219512195
2018-01-23,1.0233658536585366
2018-01-24,1.2101707317073171
2018-01-25,1.1492560975609756
2018-01-26,1.157378048780488
2018-01-29,1.035548780487805
2018-01-30,1.0599146341463415
2018-01-31,1.0761585365853659
2018-02-01,1.0030609756097562
2018-02-02,1.0924024390243903
2018-02-05,1.1330121951219514
2018-02-06,1.1005243902439024
2018-02-07,1.0842804878048782
2018-02-08,1.1776829268292683
2018-02-09,1.1330121951219514
2018-02-12,1.3482439024390245
2018-02-13,1.4172804878048781
2018-02-14,1.3929146341463414
2018-02-22,1.453829268292683
2018-02-23,1.368548780487805
2018-02-26,1.4741341463414634
2018-02-27,1.6649999999999998
2018-02-28,1.7502804878048779
2018-03-01,2.0670365853658534
2018-03-02,1.916780487804878
2018-03-05,2.0061219512195123
2018-03-06,1.8721097560975613
2018-03-07,1.8802317073170731
2018-03-08,1.8924146341463415
2018-03-09,2.0061219512195123
2018-03-12,1.9776951219512195
2018-03-13,1.8071341463414636
2018-03-14,1.7177926829268295
2018-03-15,1.790890243902439
2018-03-16,1.7746463414634148
2018-03-19,1.8924146341463415
2018-03-20,1.8883536585365854
2018-03-21,1.6771829268292684
2018-03-22,1.6812439024390244
2018-03-23,1.583780487804878
2018-03-26,1.7462195121951218
2018-03-27,1.9695731707317072
2018-03-28,1.9614512195121951
2018-03-29,1.9330243902439024
2018-03-30,2.1482560975609757
2018-04-02,2.2091707317073173
2018-04-03,2.119829268292683
2018-04-04,2.0101829268292684
2018-04-09,2.07109756097561
2018-04-10,1.989878048780488
2018-04-11,2.1645
2018-04-12,2.107646341463415
2018-04-13,2.2335365853658535
2018-04-16,2.582780487804878
2018-04-17,2.481256097560976
2018-04-18,2.741158536585366
2018-04-19,2.615268292682927
2018-04-20,2.4365853658536585
2018-04-23,2.213231707317073
2018-04-24,2.4365853658536585
2018-04-25,2.4650121951219517
2018-04-26,2.371609756097561
2018-04-27,2.331
2018-05-02,2.2416585365853656
2018-05-03,2.4203414634146343
2018-05-04,2.363487804878049
2018-05-07,2.615268292682927
2018-05-08,2.509682926829268
2018-05-09,2.5705975609756098
2018-05-10,2.363487804878049
2018-05-11,2.266024390243903
2018-05-14,2.1563780487804873
2018-05-15,2.245719512195122
2018-05-16,2.140134146341463
2018-05-17,2.0995243902439022
2018-05-18,2.1929268292682926
2018-05-21,2.3269390243902444
2018-05-22,2.2579024390243903
2018-05-23,2.1848048780487805
2018-05-24,1.9370853658536584
2018-05-25,1.8152560975609755
2018-05-28,1.6812439024390244
2018-05-29,1.7624634146341462
2018-05-30,1.7705853658536586
2018-05-31,1.799012195121951
2018-06-01,1.8152560975609755
2018-06-04,1.8802317073170731
2018-06-05,1.9533292682926828
2018-06-06,1.9411463414634147
2018-06-07,1.835560975609756
2018-06-08,1.8518048780487804
2018-06-11,1.8924146341463415
2018-06-12,1.8477439024390243
2018-06-13,1.7827682926829267
2018-06-14,1.6853048780487807
2018-06-15,1.5878414634146343
2018-06-19,1.372609756097561
2018-06-20,1.4822560975609755
2018-06-21,1.4050975609756098
2018-06-22,1.5553536585365852
2018-06-25,1.5512926829268292
2018-06-26,1.6528170731707317
2018-06-27,1.6649999999999998
2018-06-28,1.7299756097560977
2018-06-29,1.998
2018-07-02,1.9614512195121951
2018-07-03,2.0589146341463413
2018-07-04,1.876170731707317
2018-07-05,1.9452073170731707
2018-07-06,1.9614512195121951
2018-07-09,2.079219512195122
2018-07-10,2.0386097560975607
2018-07-11,1.8721097560975613
2018-07-12,2.0101829268292684
2018-07-13,1.9695731707317072
2018-07-16,2.0101829268292684
2018-07-17,2.0629756097560974
2018-07-18,2.1848048780487805
2018-07-19,2.1807439024390245
2018-07-20,2.314756097560976
2018-07-23,2.298512195121951
2018-07-24,2.2051097560975608
2018-07-25,2.2416585365853656
2018-07-26,2.0914024390243906
2018-07-27,1.9817560975609756
2018-07-30,1.9776951219512195
2018-07-31,1.9776951219512195
2018-08-01,1.9655121951219512
2018-08-02,1.7218536585365853
2018-08-03,1.6690609756097563
2018-08-06,1.5431707317073171
2018-08-07,1.7462195121951218
2018-08-08,1.6893658536585368
2018-08-09,1.993939024390244
2018-08-10,1.9817560975609756
2018-08-13,2.107646341463415
2018-08-14,2.0589146341463413
2018-08-15,1.9695731707317072
2018-08-16,1.9492682926829268
2018-08-17,1.6528170731707317
2018-08-20,1.7421585365853658
2018-08-21,1.7502804878048779
2018-08-22,1.7462195121951218
2018-08-23,1.8274390243902439
2018-08-24,1.7705853658536586
2018-08-27,1.912719512195122
2018-08-28,1.9452073170731707
2018-08-29,1.8842926829268292
2018-08-30,1.7624634146341462
2018-08-31,1.73809756097561
2018-09-03,1.8558658536585368
2018-09-04,1.9695731707317072
2018-09-05,1.957390243902439
2018-09-06,2.0101829268292684
2018-09-07,1.8111951219512195
2018-09-10,1.6528170731707317
2018-09-11,1.7462195121951218
2018-09-12,1.620329268292683
2018-09-13,1.7177926829268295
2018-09-14,1.5959634146341464
2018-09-17,1.5472317073170732
2018-09-18,1.620329268292683
2018-09-19,1.6731219512195121
2018-09-20,1.6934268292682926
2018-09-21,1.6446951219512194
2018-09-25,1.656878048780488
2018-09-26,1.701548780487805
2018-09-27,1.6771829268292684
2018-09-28,1.7624634146341462
2018-10-08,1.660939024390244
2018-10-09,1.5675365853658536
2018-10-10,1.3766707317073172
2018-10-11,1.1289512195121951
2018-10-12,1.0720975609756098
2018-10-15,1.0111829268292682
2018-10-16,0.8487439024390243
2018-10-17,1.0720975609756098
2018-10-18,1.157378048780488
2018-10-19,1.3888536585365854
2018-10-22,1.5269268292682925
2018-10-23,1.5025609756097562
2018-10-24,1.4660121951219514
2018-10-25,1.4254024390243902
2018-10-26,1.3847926829268293
2018-10-29,1.3888536585365854
2018-10-30,1.3888536585365854
2018-10-31,1.4700731707317074
2018-11-01,1.4781951219512195
2018-11-02,1.5472317073170732
2018-11-05,1.4863170731707318
2018-11-06,1.4254024390243902
2018-11-07,1.4254024390243902
2018-11-08,1.3401219512195122
2018-11-09,1.372609756097561
2018-11-12,1.5959634146341464
2018-11-13,1.583780487804878
2018-11-14,1.5634756097560978
2018-11-15,1.6365731707317075
2018-11-16,1.6365731707317075
2018-11-19,1.583780487804878
2018-11-20,1.4416463414634146
2018-11-21,1.5634756097560978
2018-11-22,1.506621951219512
2018-11-23,1.4375853658536586
2018-11-26,1.3116951219512194
2018-11-27,1.291390243902439
2018-11-28,1.3116951219512194
2018-11-29,1.206109756097561
2018-11-30,1.2995121951219515
2018-12-03,1.4254024390243902
2018-12-04,1.4254024390243902
2018-12-05,1.380731707317073
2018-12-06,1.3482439024390245
2018-12-07,1.4172804878048781
2018-12-10,1.3401219512195122
2018-12-11,1.372609756097561
2018-12-12,1.380731707317073
2018-12-13,1.4172804878048781
2018-12-14,1.3644878048780487
2018-12-17,1.3360609756097561
2018-12-18,1.3238780487804878
2018-12-19,1.2467195121951218
2018-12-20,1.2792073170731708
