code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
600276,恒瑞医药,1997-12-31,2000-09-05,,2000-09-05,41070678.37,,,303570800.24,,,41070678.37,,,303570800.24,,,,,,,,,,,,,,,,,,,,0.0,
600276,恒瑞医药,1998-12-31,2000-09-05,,2000-09-05,43229968.32,,,363792258.93,,,43229968.32,,,363792258.93,,,,,,,,,,,,,,,,,,,,0.0,
600276,恒瑞医药,1999-12-31,2001-03-01,2000-09-05,2001-03-01,51332467.7,,,413929931.49,,33888942.61,51332467.7,,,413929931.49,,33888942.61,0.6601853393851158,,,,,,,,,,,,,,,,,0.0,
600276,恒瑞医药,2000-06-30,2001-07-30,2000-09-05,2001-07-30,25556945.72,,,230820967.1,,10045678.38,,,,,,,,,,,,,,,,,,,,,,,,0.0,
600276,恒瑞医药,2000-12-31,2002-03-12,2001-03-01,2002-03-12,65271386.36,57032302.16,0.635,484707192.06,,19605766.42,65271386.36,57032302.16,0.635,484707192.06,,19605766.42,0.3003730656472608,0.8737718829111751,,,,26747354.515,0.8737718829111751,0.5548451456485962,,,,,,0.3003730656472608,0.1907368966860106,,,0.0,
600276,恒瑞医药,2001-06-30,2002-08-06,2002-08-06,2002-08-06,42844739.98,39002157.23,0.202,299570386.36,,7538003.7,82559180.62,,,553456611.32,,17098091.740000002,0.20710103481644754,,,,,19605766.42,,,,,,,,,,,,0.0,
600276,恒瑞医药,2001-12-31,2003-04-22,2002-03-12,2003-04-22,81155081.33,62949303.09,0.382,634268947.69,,11487104.94,81155081.33,62949303.09,0.382,634268947.69,,11487104.94,0.1415451103214365,0.7756668104863325,,0.5085,59990802.625,17098091.740000002,0.7756668104863325,0.29630472160577903,0.4255749336271876,,,,,0.1415451103214365,0.05407023214278874,0.12240356441439967,,0.0,1.604050559960724
600276,恒瑞医药,2002-03-31,2002-04-23,,2002-04-23,18223302.64,,,148300121.19,,,,,,,,,,,,0.5085,59990802.625,17098091.740000002,,,0.4255749336271876,,,,,,,0.12240356441439967,,0.0,1.604050559960724
600276,恒瑞医药,2002-06-30,2003-08-18,2002-08-06,2003-08-18,47062146.08,42135246.08,0.185,358278187.91,,13793191.78,85372487.43,66082391.940000005,0.36499999999999994,692976749.2400001,,17742293.02,0.20782213982634098,0.7740478686905234,,0.37349999999999994,64515847.515,17098091.740000002,0.7740478686905234,0.282527472072041,0.28941609683891,,,,,0.20782213982634098,0.07585508103661445,0.0649626565897016,,0.0,0.8513100592925911
600276,恒瑞医药,2002-09-30,2003-10-27,,2003-10-27,61937015.1,57010115.1,,546911569.08,,,,,,,,,,,,0.37349999999999994,64515847.515,14614698.98,,,0.28941609683891,,,,,,,0.0649626565897016,,0.0,0.8513100592925911
600276,恒瑞医药,2002-12-31,2004-02-18,2003-04-22,2004-02-18,78953996.69,72654956.69,0.31,756025462.47,,49835037.83,78953996.69,72654956.69,0.31,756025462.47,,49835037.83,0.6311908189482688,0.9202188582709478,,0.33749999999999997,69368674.315,33788665.425,0.9202188582709478,0.28526784606399386,0.28389765906801745,,,,,0.6311908189482688,0.19566915387396333,0.13576211745528888,,0.0,1.7791091425111403
600276,恒瑞医药,2003-03-31,2004-04-16,2003-04-22,2004-04-16,22556450.96,,,222771972.3,,1380877.93,83287145.01,,,830497313.5799999,,,,,,0.33749999999999997,69368674.315,33788665.425,,,0.28389765906801745,,,,,,,0.13576211745528888,,0.0,1.7791091425111403
600276,恒瑞医药,2003-06-30,2004-08-10,2003-08-18,2004-08-10,35501818.01,35501818.01,0.139,496021562.03,,16920627.12,67393668.61999999,66021528.61999999,0.264,893768836.5899999,,52962473.17,0.7858671927867519,0.9796399271905373,,0.28700000000000003,69338242.655,51398755.5,0.9796399271905373,0.25862494077830184,0.27194639342114785,,,,,0.7858671927867519,0.2074689388957025,0.20156904638483292,,0.0,2.6414830586935416
600276,恒瑞医药,2003-09-30,2004-10-23,2003-10-27,2004-10-23,61482138.24,,,760880018.15,,67828849.99,78499119.83000001,,,969993911.5399998,,,,,,0.28700000000000003,69338242.655,51398755.5,,,0.27194639342114785,,,,,,,0.20156904638483292,,0.0,2.6414830586935416
600276,恒瑞医药,2003-12-31,2005-01-25,2004-02-18,2005-01-25,94519994.87,85011851.78,0.371,1050352311.61,,136820464.68,94519994.87,85011851.78,0.371,1050352311.61,,136820464.68,1.4475293282461432,0.89940601347813,,0.3175,75516690.19999999,94891468.92500001,0.89940601347813,0.3336796310003862,0.29615228588934406,,,,,0.89940601347813,0.3336796310003862,0.27057428494804436,,0.0,3.545769564459065
600276,恒瑞医药,2004-03-31,2005-04-23,2004-04-16,2005-04-23,29287966.11,,,298986595.44,,36555297.03,101251510.02000001,,,1126566934.75,,171994883.78,1.6986895676521387,,,0.3175,75516690.19999999,136820464.68,,,0.29615228588934406,,,,,,,0.27057428494804436,,0.0,3.545769564459065
600276,恒瑞医药,2004-06-30,2005-08-09,2004-08-10,2005-08-09,51404420.05,62371363.85,0.202,614571324.61,,99137752.86,110422596.91000003,111881397.62,0.43399999999999994,1168902074.19,,219037590.42000002,1.9836301314170928,1.0132110704767157,,0.40249999999999997,98446624.7,171994883.78,1.0,0.43399999999999994,0.3838398155001931,,,,,1.0,0.43399999999999994,0.3838398155001931,,0.0,5.030069785417739
600276,恒瑞医药,2004-09-30,2005-10-20,2004-10-23,2005-10-20,90688685.35,90301939.15,,891788555.31,,121145275.46,123726541.97999999,,,1181260848.77,,190136890.14999998,1.5367510245355036,,,0.40249999999999997,98446624.7,181065886.96499997,,,0.3838398155001931,,,,,,,0.3838398155001931,,0.0,5.030069785417739
600276,恒瑞医药,2004-12-31,2006-03-29,2005-01-25,2006-03-29,122620494.64,120720776.83,0.481,1145143619.19,,209412777.54,122620494.64,120720776.83,0.481,1145143619.19,,209412777.54,1.7078122067180725,0.9845073385523573,,0.45749999999999996,116301087.225,199774833.84499997,0.9845073385523573,0.4735480298436838,0.4537740149218419,0.02161142769357305,0.21761314105223772,0.02161142769357305,6.3533045371497385,0.9845073385523573,0.4735480298436838,0.4537740149218419,0.5475282500900425,0.15,8.80734663476538
600276,恒瑞医药,2005-03-31,2006-04-21,2005-04-23,2006-04-21,39813998.8,36195998.8,,290450607.4,,22287754.46,133146527.33,,,1136607631.15,,195145234.97,1.4656426936794071,,,0.45749999999999996,116301087.225,202279006.255,,,0.4537740149218419,0.019955186435213657,0.19679485969137933,0.019955186435213657,6.310121272907498,,,0.4537740149218419,0.5475282500900425,0.15,8.80734663476538
600276,恒瑞医药,2005-06-30,2006-07-19,2005-08-09,2006-07-19,76355047.69,76355047.69,0.299,578158248.02,,139775568.89,147571122.27999997,134704460.67,0.5780000000000001,1108730542.6,,250050593.56999993,1.694441227434433,0.9128104373592354,,0.5295000000000001,127712618.75,202279006.255,0.9128104373592354,0.5276044327936381,0.500576231318661,0.20032197002792151,0.1695539594113027,0.20032197002792151,14.284371376855074,0.9128104373592354,0.5276044327936381,0.500576231318661,0.9748527619826581,0.15,9.715735677608837
600276,恒瑞医药,2005-09-30,2006-10-20,2005-10-20,2006-10-20,129881038.28,,,877084597.39,,179454344.08,161812847.57000002,,,1130439661.27,,267721846.16000003,1.6545153872543026,,,0.5295000000000001,127712618.75,229731685.55499995,,,0.500576231318661,0.18346890523635428,0.1623631909008605,0.18346890523635428,13.383855477978877,,,0.500576231318661,0.9748527619826581,0.15,9.715735677608837
600276,恒瑞医药,2005-12-31,2007-02-08,2006-03-29,2007-02-08,162222057.55,162533883.38,0.636,1179259557.87,,227876230.45,162222057.55,162533883.38,0.636,1179259557.87,,227876230.45,1.4047179150083464,1.0019222159717946,,0.607,148619172.02499998,238963412.00999996,1.0,0.636,0.5818022163968191,0.27012800942538373,0.15969285294689262,0.2096928529468926,17.211220749615723,1.0,0.636,0.5818022163968191,0.6241178375030827,0.15,11.292259195503172
600276,恒瑞医药,2006-03-31,2007-04-10,2007-04-10,2007-04-10,51206619.87,,0.2008,337857264.54,,44702835.95,173614678.62,,,1226666215.0099998,,250291311.93999997,1.4416483325573313,,,0.607,148619172.02499998,250170952.75499994,,,0.5818022163968191,0.27012800942538373,0.13880625728015317,0.18880625728015316,15.880436467447563,,,0.5818022163968191,0.6241178375030827,0.15,11.292259195503172
600276,恒瑞医药,2006-06-30,2007-08-08,2007-08-08,2007-08-08,107470340.17,107034210.04,0.4213,678554572.46,,101791530.56,193337350.03000003,193213045.73000002,0.7583000000000002,1279655882.31,,189892192.12,0.982180587923309,0.9993570600818686,,0.6971500000000002,177873464.555,239083771.195,0.9993570600818686,0.7578124586600812,0.6969062293300405,0.3683565431229303,0.12705249622204584,0.17705249622204583,18.174825901713614,0.982180587923309,0.7447875398222454,0.6903937699111227,0.5072444294923586,0.15,13.39992385226603
600276,恒瑞医药,2006-09-30,2007-10-23,2007-10-23,2007-10-23,155995752.19,155707752.57,0.4704,1048984235.02,,207461084.02,188336771.46,,,1351159195.5,,255882970.39000002,1.3586458364257659,,,0.6971500000000002,177873464.555,239083771.195,,,0.6969062293300405,0.3683565431229303,0.11678154056359702,0.166781540563597,17.46235341368125,,,0.6903937699111227,0.5072444294923586,0.15,13.39992385226603
600276,恒瑞医药,2006-12-31,2008-02-28,2008-02-28,2008-02-28,206967866.95,194212218.36,0.4801,1436608583.3,,266175427.13,206967866.95,194212218.36,0.4801,1436608583.3,,266175427.13,1.2860712682239874,0.9383689421069333,,0.6192000000000001,193712632.04500002,253087141.165,0.9383689421069333,0.4505109291055387,0.6041616938828099,0.26820410872225064,0.1100029837823222,0.1600029837823222,14.742873899771592,0.9383689421069333,0.4505109291055387,0.5976492344638921,0.3022482470704475,0.15,11.59983560282156
600276,恒瑞医药,2007-03-31,2008-04-25,2008-04-25,2008-04-25,73418932.35,,0.1703,401912736.59,,96854971.22,229180179.42999995,,0.4496000000000001,1500664055.35,,318327562.40000004,1.3889838257030818,,,0.4801,193712632.04500002,261029198.76,,,0.6041616938828099,0.26847932359797655,0.10036623965516211,0.1503662396551621,14.196546838500854,,,0.5976492344638921,0.3025623612890951,0.15,11.59983560282156
600276,恒瑞医药,2007-06-30,2008-08-01,2008-08-01,2008-08-01,153755387.59,153640721.86,0.2972,900151178.68,,205558919.11,253252914.36999995,240818730.18,0.3560000000000001,1658205189.52,,369942815.68,1.4607642980152138,0.9509021081912064,,0.4496000000000001,217515474.27,292251494.765,0.9509021081912064,0.33852115051606957,0.39451603981080413,0.009193089359919693,0.12371122245314004,0.009193089359919693,5.247758082535558,0.9509021081912064,0.33852115051606957,0.39451603981080413,0.009193089359919693,0.004596544679959846,5.274635807137367
600276,恒瑞医药,2007-09-30,2008-10-25,2008-10-25,2008-10-25,249459280.55,247726466.6,0.4822,1387117062.94,,302157835.39,300431395.31,286230932.39000005,0.49190000000000006,1774741411.2199998,,360872178.5,1.2011799836286556,0.9527330926737959,,0.4648500000000001,240818730.18,339599870.45000005,0.9527330926737959,0.46864940828624024,0.4505109291055387,0.054874959695675685,0.14543413278282302,0.054874959695675685,7.227407897414894,0.9527330926737959,0.46864940828624024,0.4505109291055387,0.054874959695675685,0.027437479847837842,6.64817740444069
