code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
600188,兖矿能源,1995-12-31,1998-06-27,,1998-06-27,429584047,,,2726994327,,,429584047.0,,,2726994327.0,,,,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1996-12-31,1998-06-27,,1998-06-27,745610595,,,3608985239,,,745610595.0,,,3608985239.0,,,,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1997-12-31,1998-06-27,,1998-06-27,738370805,,,3730668135,,,738370805.0,,,3730668135.0,,,,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1998-06-30,1998-08-25,,1998-08-25,335418000,,0.159,2055153000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1998-12-31,2000-04-18,1999-04-13,2000-04-18,753839827,,0.33,4333226100,,1566098988.0,753839827.0,,0.33,4333226100.0,,1566098988.0,2.0774956853002675,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1999-06-30,2000-08-21,,2000-08-21,384673157,,,2166531984,,,803094984.0,,,4444605084.0,,,,,,,,,,,,,,,,,,,,0.0,
600188,兖矿能源,1999-12-31,2001-04-23,2000-04-18,2001-04-23,780861076,780861000.0,0.3,4069515058,,968389561.0,780861076.0,780861000.0,0.3,4069515058.0,,968389561.0,1.2401560159210703,0.9999999026715477,,0.315,,1267244274.5,0.9999999026715477,0.2999999708014643,,,,,,0.9999999026715477,0.2999999708014643,,,0.0,
600188,兖矿能源,2000-06-30,2001-08-27,2000-08-21,2001-08-27,350313416,372510000.0,,2148897507,,288237279.0,746501335.0,,,4051880581.0,,,,,,0.315,,1267244274.5,,,,,,,,,,,,0.0,
600188,兖矿能源,2000-12-31,2002-04-09,2002-04-09,2002-04-09,738986113,775774000.0,0.29,4780580876,,1075185984.0,738986113.0,775774000.0,0.29,4780580876.0,,1075185984.0,1.4549474815367742,1.0497815674108615,,0.295,778317500.0,1021787772.5,1.0,0.29,0.29499998540073213,,,,,1.0,0.29,0.29499998540073213,,0.0,3.86585876019459
600188,兖矿能源,2001-06-30,2002-08-19,2002-08-19,2002-08-19,344691877,451381164.0,0.165,3086004912,,546899758.0,733364574.0,854645164.0,,5717688281.0,,1333848463.0,1.818806784904775,1.1653755775773265,,0.295,780861000.0,1075185984.0,,,0.29499998540073213,,,,,,,0.29499998540073213,,0.0,3.86585876019459
600188,兖矿能源,2001-09-30,2002-10-30,,2002-10-30,576967640,,,4820955263,,,,,,,,,,,,,815209582.0,1204517223.5,,,,,,,,,,,,0.0,
600188,兖矿能源,2001-12-31,2003-04-14,2003-04-14,2003-04-14,796253265,1008913000.0,0.36,6469352955,,1651679781.0,796253265.0,1008913000.0,0.36,6469352955.0,,1651679781.0,2.074314610188757,1.2670754951315648,,0.32499999999999996,854645164.0,1333848463.0,1.0,0.36,0.32499999999999996,,,,,1.0,0.36,0.32499999999999996,,0.0,4.258997149971125
600188,兖矿能源,2002-03-31,2002-04-30,,2002-04-30,311619179,,,1760361148,,,,,,,,,,,,,931779082.0,1492764122.0,,,,,,,,,,,,0.0,
600188,兖矿能源,2002-06-30,2003-08-18,2003-08-18,2003-08-18,584945912,586786000.0,0.2,3780370046,,1072088558.0,1036507300.0,1144317836.0,0.395,7163718089.0,,2176868581.0,2.100196092203113,1.1040132915609953,,0.3775,1076615418.0,1914274181.0,1.0,0.395,0.3775,,,,,1.0,0.395,0.3775,,0.0,4.946988997274154
600188,兖矿能源,2002-09-30,2003-10-27,,2003-10-27,842600247,850386000.0,,5943134909,,,1061885872.0,,,7591532601.0,,,,,,0.3775,1076615418.0,1914274181.0,,,0.3775,,,,,,,0.3775,,0.0,4.946988997274154
600188,兖矿能源,2002-12-31,2004-04-19,2004-04-19,2004-04-19,1003115498,1016048000.0,0.35,8055258906,,2383359598.0,1003115498.0,1016048000.0,0.35,8055258906.0,,2383359598.0,2.3759573077595895,1.0128923359531228,,0.3725,1080182918.0,2280114089.5,1.0,0.35,0.3725,,,,,1.0,0.35,0.3725,,0.0,4.881465964197675
600188,兖矿能源,2003-03-31,2004-04-29,2004-04-29,2004-04-29,259213850,260880236.0,,2007673447,,235041725.0,950710169.0,,,8302571205.0,,,,,,0.3725,1080182918.0,2280114089.5,,,0.3725,,,,,,,0.3725,,0.0,4.881465964197675
600188,兖矿能源,2003-06-30,2004-08-23,2004-08-23,2004-08-23,576770511,581961000.0,0.2,4427879818,,865045370.0,994940097.0,1011223000.0,0.35000000000000003,8702768678.0,,2176316410.0,2.1873843626989737,1.0163657119148148,,0.35,1013635500.0,2279838004.0,1.0,0.35000000000000003,0.35,,,,,1.0,0.35000000000000003,0.35,,0.0,4.58661231535352
600188,兖矿能源,2003-09-30,2004-10-28,2003-10-27,2004-10-28,858517212,875492348.0,,6584855636,,1437829054.0,1019032463.0,1041154348.0,,8696979633.0,,,,1.0217087146908685,,0.35,1016048000.0,2279838004.0,,,0.35,,,,,,,0.35,,0.0,4.58661231535352
600188,兖矿能源,2003-12-31,2005-04-26,2005-04-26,2005-04-26,1105364647,1100531000.0,0.39,8665232204,,2748060381.0,1105364647.0,1100531000.0,0.39,8665232204.0,,2748060381.0,2.4861120612626215,0.9956271018680408,,0.37,1041154348.0,2462188395.5,0.9956271018680408,0.38829456972853593,0.36914728486426795,0.07765924836503046,0.2194354539751442,0.07765924836503046,6.494723388321136,0.9956271018680408,0.38829456972853593,0.36914728486426795,0.07765924836503046,0.03882962418251523,5.619303912670479
600188,兖矿能源,2004-03-31,2005-04-28,2005-04-28,2005-04-28,391909251,389595062.0,,2350745792,,1142863187.0,1238060048.0,1229245826.0,,9008304549.0,,3655881843.0,2.9529115723472565,0.9928806183397657,,0.37,1070842674.0,2748060381.0,,,0.36914728486426795,0.07149267549411054,0.21546148006850596,0.07149267549411054,6.334975900994096,,,0.36914728486426795,0.07149267549411054,0.03574633774705527,5.580138665539369
600188,兖矿能源,2004-06-30,2005-08-22,2005-08-22,2005-08-22,1058268140,1058188000.0,0.37,5332663629,,2340063547.0,1586862276.0,1576758000.0,0.56,9570016015.0,,4223078558.0,2.661276042584555,0.9936325438238599,,0.47500000000000003,1164888413.0,3655881843.0,0.9936325438238599,0.5564342245413616,0.47236439713494877,0.16986615083200363,0.18726333205852752,0.16986615083200363,11.979222122498523,0.9936325438238599,0.5564342245413616,0.47236439713494877,0.16986615083200363,0.08493307541600181,7.9697135529738
600188,兖矿能源,2004-09-30,2005-10-27,2004-10-28,2005-10-27,1914046832,1912028493.0,,8540636747,,3620738463.0,2160894267.0,2137067145.0,,10621013315.0,,4930969790.0,2.2819116443146172,0.9889734901129246,,0.47500000000000003,1403001913.0,3939480200.5,,,0.47236439713494877,0.1557386479951013,0.20972638097148266,0.1557386479951013,11.335917088140226,,,0.47236439713494877,0.1557386479951013,0.07786932399755064,7.846651030142218
600188,兖矿能源,2004-12-31,2006-04-24,2006-04-24,2006-04-24,2707784846,2780355000.0,0.91,12209163529,,4426245847.0,2707784846.0,2780355000.0,0.91,12209163529.0,,4426245847.0,1.6346372030032403,1.0268005613914275,,0.7350000000000001,1856912572.5,4324662202.5,1.0,0.91,0.7332171122706808,0.3114635074966994,0.23572182210047576,0.28572182210047575,28.915238353945497,1.0,0.91,0.7332171122706808,0.3114635074966994,0.15,14.23108651874181
600188,兖矿能源,2005-03-31,2006-04-24,2006-04-24,2006-04-24,792676426,793251464.0,,3453162112,,1991537608.0,3108552021.0,3184011402.0,,13311579849.0,,5274920268.0,1.696905900999879,1.0242747686029476,,0.7350000000000001,2458711072.5,4678607818.5,,,0.7332171122706808,0.2847547787445148,0.24884211533669665,0.2847547787445148,28.811225361884738,,,0.7332171122706808,0.2847547787445148,0.1423773893722574,14.003563910091287
600188,兖矿能源,2005-06-30,2006-08-21,2006-08-21,2006-08-21,1656623093,1655932000.0,0.54,6676644921,,2685198730.0,3306139799.0,3378099000.0,1.08,13553144821.0,,4771381030.0,1.4431879231008888,1.0217653231184494,,0.9950000000000001,2982183201.0,4851175410.0,1.0,1.08,0.9950000000000001,0.3812428356239286,0.23674304503685129,0.2867430450368513,39.38849208617641,1.0,1.08,0.9950000000000001,0.3812428356239286,0.15,19.31205757363816
600188,兖矿能源,2005-09-30,2006-10-26,2005-10-27,2006-10-26,2041236767,2042220592.0,,9336585713,,2715011904.0,2834974781.0,2910547099.0,,13005112495.0,,3520519288.0,1.241816792020345,1.026657139423774,,0.9950000000000001,3047279250.5,4598813438.5,,,0.9950000000000001,0.3812428356239286,0.19649377011421243,0.24649377011421242,33.86536605932567,,,0.9950000000000001,0.3812428356239286,0.15,19.31205757363816
600188,兖矿能源,2005-12-31,2007-04-23,2007-04-23,2007-04-23,2495481451,2501897527.0,0.65,12705529905,,3992910102.0,2495481451.0,2501897527.0,0.65,12705529905.0,,3992910102.0,1.6000560133997166,1.0025710774157144,,0.865,3047279250.5,4382145566.0,1.0,0.65,0.865,0.3241447309034471,0.16400821361259066,0.21400821361259065,26.015862497191115,1.0,0.65,0.865,0.3241447309034471,0.15,16.788874172057298
600188,兖矿能源,2006-03-31,2007-04-27,2007-04-27,2007-04-27,582494213,581317050.0,0.12,3141412555,,36020259.0,2285299238.0,2289963113.0,,12393780348.0,,2037392753.0,0.8915212148685799,1.0020408158907372,,0.865,2706222313.0,3756714695.0,,,0.865,0.3241447309034471,0.1428357903060269,0.19283579030602688,23.981018512968504,,,0.865,0.3241447309034471,0.15,16.788874172057298
600188,兖矿能源,2006-06-30,2007-08-20,2007-08-20,2007-08-20,1358690008,1357723000.0,0.28,7031703858,,390383805.0,2197548366.0,2203688527.0,0.39,13060588842.0,,1698095177.0,0.7727225499436402,1.0027940959548374,,0.52,2395930320.0,2778956020.5,1.0,0.39,0.52,0.14103428368028492,0.14486699134483105,0.14103428368028492,11.77863044230181,0.7727225499436402,0.3013617944780197,0.47568089723900986,0.10765817603155314,0.05382908801577657,7.490071184018207
600188,兖矿能源,2006-09-30,2007-10-29,2007-10-29,2007-10-29,1806878137,1806320486.0,,10312713675,,1025527935.0,2261122821.0,2265997421.0,,13681657867.0,,2303426133.0,1.018708984583726,1.0021558315871777,,0.52,2277980267.0,2170409443.0,,,0.52,0.14103428368028492,0.16298772187815724,0.14103428368028492,11.77863044230181,,,0.47568089723900986,0.10765817603155314,0.05382908801577657,7.490071184018207
600188,兖矿能源,2006-12-31,2008-04-21,2008-04-21,2008-04-21,1842230024,1799634006.0,0.37,14458419357,,4376821274.0,1842230024.0,1799634006.0,0.37,14458419357.0,,4376821274.0,2.375827783165041,0.9768780133614845,,0.38,2234842974.0,2170409443.0,0.9768780133614845,0.3614448649437493,0.37572243247187465,0.005900983194995435,0.18603261469947863,0.005900983194995435,4.930161883180799,0.9768780133614845,0.3614448649437493,0.3314033297108845,-0.03530663537952494,0.0,4.342910266860303
600188,兖矿能源,2007-03-31,2008-04-29,2008-04-29,2008-04-29,700667193,2207003.0,0.14,3777886890,,1097375867.0,1960403004.0,1220523959.0,0.39,15094893692.0,,5438176882.0,2.7740096658207323,0.622588292565175,,0.39,2001661266.5,3340123703.5,0.622588292565175,0.24280943410041825,0.3614448649437493,-0.00700886931881628,0.1879008245188596,0.0,4.628245865853477,0.622588292565175,0.24280943410041825,0.3013617944780197,-0.06543526741247785,0.0,3.9492277655140615
600188,兖矿能源,2007-06-30,2008-08-25,2008-08-25,2008-08-25,1108918499,1136182899.0,0.23,7778210254,,2035578491.0,1592458515.0,1578093905.0,0.31999999999999995,15204925753.0,,6022015960.0,3.7815842003268765,0.9909796017511954,,0.37,1688863955.5,4907499078.0,0.9909796017511954,0.31711347256038247,0.31711347256038247,-0.12446603152556757,0.16699712604388606,0.0,4.060589209401111,0.9909796017511954,0.31711347256038247,0.31711347256038247,-0.12446603152556757,0.0,4.155647310314202
