strategy,date,code,name,action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v31_1_confidence_gate_only,2018-01-31,002444,巨星科技,BUY_STAGED,HIGH,0,0.8226467495766419,13.067577311321372,10.75,0.0,0.0625,0.0625,6.25e-05
v31_1_confidence_gate_only,2018-02-28,002444,巨星科技,BUY_STAGED,HIGH,0,0.7981586602869185,13.067577311321372,10.43,0.060752562907735314,0.0625,0.0017474370922646865,1.7474370922646864e-06
v31_1_confidence_gate_only,2018-03-30,002444,巨星科技,BUY_STAGED,HIGH,0,0.7637222847232452,13.067577311321372,9.98,0.05996515051372954,0.0625,0.00253484948627046,2.53484948627046e-06
v31_1_confidence_gate_only,2018-03-30,000895,双汇发展,BUY_STAGED,MEDIUM,0,0.8197305666741742,15.273311145144156,12.52,0.0,0.0625,0.0625,6.25e-05
v31_1_confidence_gate_only,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,0,0.607320664900647,18.63924719546941,11.32,0.05744733086146995,0.125,0.06755266913853006,6.755266913853006e-05
v31_1_confidence_gate_only,2018-08-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,0,0.20109414213611865,51.46843110424463,10.35,0.0,0.125,0.125,0.000125
v31_1_confidence_gate_only,2018-09-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,0,0.20109414213611865,51.46843110424463,10.35,0.12160649333825051,0.125,0.003393506661749493,3.393506661749493e-06
v31_1_confidence_gate_only,2018-10-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,0,0.7385863807705773,9.274473749236076,6.85,0.05133020844182872,0.09375,0.04241979155817128,4.241979155817128e-05
v31_1_confidence_gate_only,2018-11-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,0,0.036722027277431055,59.36491423881175,2.18,0.030153120080511065,0.125,0.09484687991948894,9.484687991948894e-05
v31_1_confidence_gate_only,2018-12-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,0,0.02695194662563747,59.36491423881175,1.6,0.09332343005822841,0.125,0.03167656994177159,3.167656994177159e-05
