code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,profile_data_end_date,profile_rule_version,profile_data_version,profile_confidence,recent_2y_sample_count,generated_at,rule
000063,中兴通讯,PASSED,98,7.629,56.1224,-9.6523,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,MEDIUM,6,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000100,TCL科技,FAILED,123,-0.6892,26.8293,-10.0711,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,HIGH,15,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000333,美的集团,FAILED,95,-1.2454,27.3684,-9.5063,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,MEDIUM,0,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000568,泸州老窖,DEGRADED,415,-1.2747,30.6024,-10.6828,reports/genge_industry_evidence_final/20260704_114820/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:7517ae1dc4f363bf3e49065b7a4ea7acfcf2e969db2aeb2171ce7efd7357da0a,HIGH,269,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000625,长安汽车,DEGRADED,92,1.4913,34.7826,-7.1132,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,MEDIUM,75,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000651,格力电器,FAILED,28,0.0028,21.4286,-8.2788,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,LOW,9,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000661,长春高新,FAILED,233,-3.1991,20.1717,-11.624,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,HIGH,139,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000725,京东方A,PASSED,135,0.8791,51.8519,-7.7797,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,HIGH,44,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000807,云铝股份,PASSED,54,6.6076,64.8148,-11.1783,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,MEDIUM,5,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000830,鲁西化工,DEGRADED,153,3.8426,36.6013,-9.3612,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,HIGH,53,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
000831,中国稀土,PASSED,43,8.707,76.7442,-8.584,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-03,genge_opportunity_discovery_v1,sha256:5d630e2f3e75c8c5ee685d0c737dd3eacb73178045b10b2039a8a18e3a45fde1,MEDIUM,31,2026-07-19T14:17:46+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
