scope,code,stock_name,industry,collector,status,issue,detail,original_url,source_domain,title,collected_at,cache_hit
company,600690,海尔智家,家电,sse_company_announcement,FAILED,announcement_fetch_or_parse_failed,"ConnectTimeout: HTTPSConnectionPool(host='static.sse.com.cn', port=443): Max retries exceeded with url: /disclosure/listedinfo/announcement/c/new/2026-03-27/600690_20260327_DDD5.pdf (Caused by ConnectTimeoutError(<HTTPSConnection(host='static.sse.com.cn', port=443) at 0x10b3a0560>, 'Connection to static.sse.com.cn timed out. (connect timeout=12)'))",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600690_20260327_DDD5.pdf,www.sse.com.cn,海尔智家股份有限公司2025年年度报告,2026-07-07T18:28:51+00:00,True
company,600196,复星医药,医药,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/600196_20260325_DX8J.pdf,www.sse.com.cn,复星医药2025年年度报告摘要,2026-07-07T18:28:53+00:00,True
company,002352,顺丰控股,物流,cninfo_company_announcement,MISSING,announcement_not_found,No annual-report announcement found on the official disclosure endpoint.,,,,2026-07-07T18:28:54+00:00,True
company,603288,海天味业,食品饮料,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/603288_20260327_6VCF.pdf,www.sse.com.cn,海天味业2025年年度报告摘要,2026-07-07T18:28:55+00:00,True
company,600018,上港集团,航运,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-01/600018_20260401_M5CH.pdf,www.sse.com.cn,上港集团2025年年度报告摘要,2026-07-07T18:28:56+00:00,True
company,600309,万华化学,化工,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-21/600309_20260421_8AV6.pdf,www.sse.com.cn,万华化学2025年年度报告,2026-07-07T18:28:58+00:00,True
company,600887,伊利股份,食品饮料,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600887_20260430_ENBK.pdf,www.sse.com.cn,内蒙古伊利实业集团股份有限公司2025年年度报告,2026-07-07T18:28:59+00:00,True
company,300760,迈瑞医疗,医药,cninfo_company_announcement,MISSING,announcement_not_found,No annual-report announcement found on the official disclosure endpoint.,,,,2026-07-07T18:29:00+00:00,True
company,300015,爱尔眼科,医药,cninfo_company_announcement,MISSING,announcement_not_found,No annual-report announcement found on the official disclosure endpoint.,,,,2026-07-07T18:29:00+00:00,True
company,600009,上海机场,机场航空,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600009_20260430_BK10.pdf,www.sse.com.cn,上海机场2025年年度报告,2026-07-07T18:29:01+00:00,True
company,600519,贵州茅台,白酒,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf,www.sse.com.cn,贵州茅台2025年年度报告,2026-07-07T18:29:03+00:00,True
company,600104,上汽集团,汽车,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-02/600104_20260402_D40D.pdf,www.sse.com.cn,上汽集团2025年年度报告摘要,2026-07-07T18:29:06+00:00,True
company,600028,中国石化,石油石化,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-23/600028_20260323_D1MG.pdf,www.sse.com.cn,中国石化2025年度报告摘要,2026-07-07T18:29:07+00:00,True
company,002594,比亚迪,汽车,cninfo_company_announcement,MISSING,announcement_not_found,No annual-report announcement found on the official disclosure endpoint.,,,,2026-07-07T18:29:08+00:00,True
company,002230,科大讯飞,UNRESOLVED,cninfo_company_announcement,MISSING,announcement_not_found,No annual-report announcement found on the official disclosure endpoint.,,,,2026-07-07T18:29:08+00:00,True
company,600019,宝钢股份,钢铁,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600019_20260430_LB2P.pdf,www.sse.com.cn,宝钢股份2025年年度报告全文,2026-07-07T18:29:16+00:00,True
company,601186,中国铁建,UNRESOLVED,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/601186_20260331_29U9.pdf,www.sse.com.cn,中国铁建2025年年度报告,2026-07-07T18:29:17+00:00,True
company,600741,华域汽车,汽车,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600741_20260331_1XC0.pdf,www.sse.com.cn,华域汽车2025年年度报告摘要,2026-07-07T18:29:18+00:00,True
company,600029,南方航空,机场航空,sse_company_announcement,FAILED,numeric_value_not_located_in_original,"Original fetched and parsed by html_text, but no numeric context matched required keywords.",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600029_20260331_LY03.pdf,www.sse.com.cn,南方航空2025年度报告,2026-07-07T18:29:20+00:00,True
industry,,,家电,miit_public_data,FAILED,article_publish_date_missing,"Concrete article was fetched, but a publication date was not located.",https://www.miit.gov.cn/gxsj/tjfx/xfpgy/jd/index.html,www.miit.gov.cn,家电,2026-07-07T18:29:21+00:00,True
industry,,,家电,miit_public_data,MISSING,specific_article_not_found,"Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:21+00:00,True
industry,,,家电,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:22+00:00,True
industry,,,医药,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:22+00:00,True
industry,,,医药,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:22+00:00,True
industry,,,物流,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:23+00:00,True
industry,,,物流,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:23+00:00,True
industry,,,食品饮料,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:23+00:00,True
industry,,,食品饮料,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:23+00:00,True
industry,,,航运,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:24+00:00,True
industry,,,航运,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:24+00:00,True
industry,,,化工,miit_public_data,FAILED,article_publish_date_missing,"Concrete article was fetched, but a publication date was not located.",https://www.miit.gov.cn/gxsj/tjfx/yclgy/index.html,www.miit.gov.cn,钢铁 有色 石化化工 建材 稀土,2026-07-07T18:29:25+00:00,True
industry,,,化工,miit_public_data,MISSING,specific_article_not_found,"Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:25+00:00,True
industry,,,机场航空,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:26+00:00,True
industry,,,机场航空,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:26+00:00,True
industry,,,白酒,miit_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.miit.gov.cn/gxsj/index.html,www.miit.gov.cn,工业和信息化部公开数据,2026-07-07T18:29:27+00:00,True
industry,,,白酒,ndrc_public_data,MISSING,industry_keyword_not_found,"Fetched official page with html_text, but industry keyword was not located.",https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,国家发展改革委公开数据,2026-07-07T18:29:27+00:00,True
industry,,,钢铁,miit_public_data,FAILED,article_publish_date_missing,"Concrete article was fetched, but a publication date was not located.",https://www.miit.gov.cn/gxsj/tjfx/yclgy/index.html,www.miit.gov.cn,钢铁 有色 石化化工 建材 稀土,2026-07-07T18:29:28+00:00,True
