code,stock_name,stage,status,issue,detail
600690,海尔智家,auto_evidence_collection,FAILED,announcement_fetch_or_parse_failed,"{""cache_hit"": true, ""code"": ""600690"", ""collected_at"": ""2026-07-07T18:28:51+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""ConnectTimeout: HTTPSConnectionPool(host='static.sse.com.cn', port=443): Max retries exceeded with url: /disclosure/listedinfo/announcement/c/new/2026-03-27/600690_20260327_DDD5.pdf (Caused by ConnectTimeoutError(<HTTPSConnection(host='static.sse.com.cn', port=443) at 0x10b3a0560>, 'Connection to static.sse.com.cn timed out. (connect timeout=12)'))"", ""industry"": ""家电"", ""issue"": ""announcement_fetch_or_parse_failed"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600690_20260327_DDD5.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""海尔智家"", ""title"": ""海尔智家股份有限公司2025年年度报告""}"
600196,复星医药,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600196"", ""collected_at"": ""2026-07-07T18:28:53+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""医药"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/600196_20260325_DX8J.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""复星医药"", ""title"": ""复星医药2025年年度报告摘要""}"
002352,顺丰控股,auto_evidence_collection,MISSING,announcement_not_found,"{""cache_hit"": true, ""code"": ""002352"", ""collected_at"": ""2026-07-07T18:28:54+00:00"", ""collector"": ""cninfo_company_announcement"", ""detail"": ""No annual-report announcement found on the official disclosure endpoint."", ""industry"": ""物流"", ""issue"": ""announcement_not_found"", ""original_url"": """", ""scope"": ""company"", ""source_domain"": """", ""status"": ""MISSING"", ""stock_name"": ""顺丰控股"", ""title"": """"}"
603288,海天味业,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""603288"", ""collected_at"": ""2026-07-07T18:28:55+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""食品饮料"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/603288_20260327_6VCF.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""海天味业"", ""title"": ""海天味业2025年年度报告摘要""}"
600018,上港集团,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600018"", ""collected_at"": ""2026-07-07T18:28:56+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""航运"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-01/600018_20260401_M5CH.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""上港集团"", ""title"": ""上港集团2025年年度报告摘要""}"
600309,万华化学,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600309"", ""collected_at"": ""2026-07-07T18:28:58+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""化工"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-21/600309_20260421_8AV6.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""万华化学"", ""title"": ""万华化学2025年年度报告""}"
600887,伊利股份,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600887"", ""collected_at"": ""2026-07-07T18:28:59+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""食品饮料"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600887_20260430_ENBK.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""伊利股份"", ""title"": ""内蒙古伊利实业集团股份有限公司2025年年度报告""}"
300760,迈瑞医疗,auto_evidence_collection,MISSING,announcement_not_found,"{""cache_hit"": true, ""code"": ""300760"", ""collected_at"": ""2026-07-07T18:29:00+00:00"", ""collector"": ""cninfo_company_announcement"", ""detail"": ""No annual-report announcement found on the official disclosure endpoint."", ""industry"": ""医药"", ""issue"": ""announcement_not_found"", ""original_url"": """", ""scope"": ""company"", ""source_domain"": """", ""status"": ""MISSING"", ""stock_name"": ""迈瑞医疗"", ""title"": """"}"
300015,爱尔眼科,auto_evidence_collection,MISSING,announcement_not_found,"{""cache_hit"": true, ""code"": ""300015"", ""collected_at"": ""2026-07-07T18:29:00+00:00"", ""collector"": ""cninfo_company_announcement"", ""detail"": ""No annual-report announcement found on the official disclosure endpoint."", ""industry"": ""医药"", ""issue"": ""announcement_not_found"", ""original_url"": """", ""scope"": ""company"", ""source_domain"": """", ""status"": ""MISSING"", ""stock_name"": ""爱尔眼科"", ""title"": """"}"
600009,上海机场,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600009"", ""collected_at"": ""2026-07-07T18:29:01+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""机场航空"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600009_20260430_BK10.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""上海机场"", ""title"": ""上海机场2025年年度报告""}"
600519,贵州茅台,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600519"", ""collected_at"": ""2026-07-07T18:29:03+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""白酒"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""贵州茅台"", ""title"": ""贵州茅台2025年年度报告""}"
600104,上汽集团,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600104"", ""collected_at"": ""2026-07-07T18:29:06+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""汽车"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-02/600104_20260402_D40D.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""上汽集团"", ""title"": ""上汽集团2025年年度报告摘要""}"
600028,中国石化,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600028"", ""collected_at"": ""2026-07-07T18:29:07+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""石油石化"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-23/600028_20260323_D1MG.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""中国石化"", ""title"": ""中国石化2025年度报告摘要""}"
002594,比亚迪,auto_evidence_collection,MISSING,announcement_not_found,"{""cache_hit"": true, ""code"": ""002594"", ""collected_at"": ""2026-07-07T18:29:08+00:00"", ""collector"": ""cninfo_company_announcement"", ""detail"": ""No annual-report announcement found on the official disclosure endpoint."", ""industry"": ""汽车"", ""issue"": ""announcement_not_found"", ""original_url"": """", ""scope"": ""company"", ""source_domain"": """", ""status"": ""MISSING"", ""stock_name"": ""比亚迪"", ""title"": """"}"
002230,科大讯飞,auto_evidence_collection,MISSING,announcement_not_found,"{""cache_hit"": true, ""code"": ""002230"", ""collected_at"": ""2026-07-07T18:29:08+00:00"", ""collector"": ""cninfo_company_announcement"", ""detail"": ""No annual-report announcement found on the official disclosure endpoint."", ""industry"": ""UNRESOLVED"", ""issue"": ""announcement_not_found"", ""original_url"": """", ""scope"": ""company"", ""source_domain"": """", ""status"": ""MISSING"", ""stock_name"": ""科大讯飞"", ""title"": """"}"
600019,宝钢股份,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600019"", ""collected_at"": ""2026-07-07T18:29:16+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""钢铁"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600019_20260430_LB2P.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""宝钢股份"", ""title"": ""宝钢股份2025年年度报告全文""}"
601186,中国铁建,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""601186"", ""collected_at"": ""2026-07-07T18:29:17+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""UNRESOLVED"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/601186_20260331_29U9.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""中国铁建"", ""title"": ""中国铁建2025年年度报告""}"
600741,华域汽车,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600741"", ""collected_at"": ""2026-07-07T18:29:18+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""汽车"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600741_20260331_1XC0.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""华域汽车"", ""title"": ""华域汽车2025年年度报告摘要""}"
600029,南方航空,auto_evidence_collection,FAILED,numeric_value_not_located_in_original,"{""cache_hit"": true, ""code"": ""600029"", ""collected_at"": ""2026-07-07T18:29:20+00:00"", ""collector"": ""sse_company_announcement"", ""detail"": ""Original fetched and parsed by html_text, but no numeric context matched required keywords."", ""industry"": ""机场航空"", ""issue"": ""numeric_value_not_located_in_original"", ""original_url"": ""https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600029_20260331_LY03.pdf"", ""scope"": ""company"", ""source_domain"": ""www.sse.com.cn"", ""status"": ""FAILED"", ""stock_name"": ""南方航空"", ""title"": ""南方航空2025年度报告""}"
,,auto_evidence_collection,FAILED,article_publish_date_missing,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:21+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Concrete article was fetched, but a publication date was not located."", ""industry"": ""家电"", ""issue"": ""article_publish_date_missing"", ""original_url"": ""https://www.miit.gov.cn/gxsj/tjfx/xfpgy/jd/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""FAILED"", ""stock_name"": """", ""title"": ""家电""}"
,,auto_evidence_collection,MISSING,specific_article_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:21+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified."", ""industry"": ""家电"", ""issue"": ""specific_article_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""家电"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""医药"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""医药"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""物流"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""物流"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""食品饮料"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""食品饮料"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:24+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""航运"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
