code,stock_name,normalized_industry,previous_industry_evidence_status,current_industry_evidence_status,previous_company_evidence_status,current_company_evidence_status,change_type
600519,贵州茅台,白酒,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000858,五粮液,白酒,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000568,泸州老窖,白酒,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600809,山西汾酒,白酒,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600887,伊利股份,食品饮料,MISSING,MISSING,MISSING,MISSING,UNCHANGED
603288,海天味业,食品饮料,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600036,招商银行,银行,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601398,工商银行,银行,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601288,农业银行,银行,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601166,兴业银行,银行,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000001,平安银行,银行,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601318,中国平安,保险,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601628,中国人寿,保险,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601336,新华保险,保险,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600030,中信证券,证券,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601688,华泰证券,证券,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300059,东方财富,证券,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000776,广发证券,证券,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600276,恒瑞医药,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300760,迈瑞医疗,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000661,长春高新,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
603259,药明康德,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600196,复星医药,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300015,爱尔眼科,医药,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600900,长江电力,公用事业,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600905,三峡能源,公用事业,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601985,中国核电,公用事业,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600011,华能国际,公用事业,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600027,华电国际,公用事业,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601857,中国石油,石油石化,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600028,中国石化,石油石化,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601088,中国神华,煤炭,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601225,陕西煤业,煤炭,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600188,兖矿能源,煤炭,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600309,万华化学,化工,STALE,STALE,MISSING,MISSING,UNCHANGED
600426,华鲁恒升,化工,STALE,STALE,MISSING,MISSING,UNCHANGED
002601,龙佰集团,化工,STALE,STALE,MISSING,MISSING,UNCHANGED
600141,兴发集团,化工,STALE,STALE,MISSING,MISSING,UNCHANGED
000830,鲁西化工,化工,STALE,STALE,MISSING,MISSING,UNCHANGED
601899,紫金矿业,有色,MISSING,MISSING,MISSING,MISSING,UNCHANGED
603993,洛阳钼业,有色,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600362,江西铜业,有色,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000807,云铝股份,有色,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000933,神火股份,有色,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600019,宝钢股份,钢铁,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000932,华菱钢铁,钢铁,MISSING,MISSING,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,UNCHANGED
600010,包钢股份,钢铁,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000100,TCL科技,面板,STALE,STALE,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,UNCHANGED
000725,京东方A,面板,STALE,STALE,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,UNCHANGED
002387,维信诺,面板,STALE,STALE,MISSING,MISSING,UNCHANGED
600111,北方稀土,稀土,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000831,中国稀土,稀土,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000970,中科三环,稀土,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601012,隆基绿能,光伏,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002459,晶澳科技,光伏,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600438,通威股份,光伏,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300274,阳光电源,光伏,MISSING,MISSING,MISSING,MISSING,UNCHANGED
688599,天合光能,光伏,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300750,宁德时代,锂电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002466,天齐锂业,锂电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002594,比亚迪,汽车,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,MISSING,MISSING,UNCHANGED
300014,亿纬锂能,锂电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002812,恩捷股份,锂电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000625,长安汽车,汽车,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,UNCHANGED
601633,长城汽车,汽车,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,MISSING,MISSING,UNCHANGED
600104,上汽集团,汽车,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,MISSING,MISSING,UNCHANGED
600741,华域汽车,汽车,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,MISSING,MISSING,UNCHANGED
002475,立讯精密,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000063,中兴通讯,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002371,北方华创,半导体,MISSING,MISSING,MISSING,MISSING,UNCHANGED
603986,兆易创新,半导体,MISSING,MISSING,MISSING,MISSING,UNCHANGED
688981,中芯国际,半导体,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300782,卓胜微,半导体,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600703,三安光电,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000977,浪潮信息,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002230,科大讯飞,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600570,恒生电子,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300454,深信服,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000333,美的集团,家电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000651,格力电器,家电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600690,海尔智家,家电,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002415,海康威视,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002241,歌尔股份,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601668,中国建筑,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601186,中国铁建,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601390,中国中铁,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600048,保利发展,地产,MISSING,MISSING,MISSING,MISSING,UNCHANGED
000002,万科A,地产,MISSING,MISSING,MISSING,MISSING,UNCHANGED
001979,招商蛇口,地产,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601919,中远海控,航运,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600018,上港集团,航运,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600029,南方航空,机场航空,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601111,中国国航,机场航空,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600009,上海机场,机场航空,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601888,中国中免,UNRESOLVED,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002352,顺丰控股,物流,MISSING,MISSING,MISSING,MISSING,UNCHANGED
600406,国电南瑞,电力设备,MISSING,MISSING,MISSING,MISSING,UNCHANGED
300124,汇川技术,电力设备,MISSING,MISSING,MISSING,MISSING,UNCHANGED
601877,正泰电器,电力设备,MISSING,MISSING,MISSING,MISSING,UNCHANGED
002202,金风科技,电力设备,MISSING,MISSING,MISSING,MISSING,UNCHANGED
