code,stock_name,normalized_industry,previous_tier,current_tier,previous_quant_score,current_quant_score,change_type,detail
600519,贵州茅台,白酒,REJECTED,REJECTED,71.3557,71.3557,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000858,五粮液,白酒,REJECTED,REJECTED,67.1273,67.1273,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000568,泸州老窖,白酒,REJECTED,REJECTED,68.9426,68.9426,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600809,山西汾酒,白酒,REJECTED,REJECTED,70.863,70.863,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600887,伊利股份,食品饮料,REJECTED,REJECTED,74.6752,74.6752,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
603288,海天味业,食品饮料,REJECTED,REJECTED,82.4585,82.4585,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600036,招商银行,银行,REJECTED,REJECTED,59.8384,59.8384,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601398,工商银行,银行,REJECTED,REJECTED,36.849,36.849,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601288,农业银行,银行,REJECTED,REJECTED,32.3626,32.3626,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601166,兴业银行,银行,REJECTED,REJECTED,47.4866,47.4866,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000001,平安银行,银行,REJECTED,REJECTED,55.3974,55.3974,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601318,中国平安,保险,REJECTED,REJECTED,42.2518,42.2518,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601628,中国人寿,保险,REJECTED,REJECTED,60.24,60.24,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601336,新华保险,保险,REJECTED,REJECTED,56.39,56.39,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600030,中信证券,证券,REJECTED,REJECTED,59.83,59.83,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601688,华泰证券,证券,REJECTED,REJECTED,55.1,55.1,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300059,东方财富,证券,REJECTED,REJECTED,67.83,67.83,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000776,广发证券,证券,REJECTED,REJECTED,58.43,58.43,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600276,恒瑞医药,医药,REJECTED,REJECTED,69.92,69.92,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
300760,迈瑞医疗,医药,REJECTED,REJECTED,73.6931,73.6931,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000661,长春高新,医药,REJECTED,REJECTED,73.0216,73.0216,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
603259,药明康德,医药,REJECTED,REJECTED,66.42,66.42,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
600196,复星医药,医药,TIER_C,TIER_C,83.6418,83.6418,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300015,爱尔眼科,医药,REJECTED,REJECTED,71.5533,71.5533,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600900,长江电力,公用事业,REJECTED,REJECTED,65.6564,65.6564,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600905,三峡能源,公用事业,REJECTED,REJECTED,58.1994,58.1994,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601985,中国核电,公用事业,REJECTED,REJECTED,52.445,52.445,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600011,华能国际,公用事业,TIER_C,TIER_C,59.6624,59.6624,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
600027,华电国际,公用事业,REJECTED,REJECTED,66.5316,66.5316,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601857,中国石油,石油石化,REJECTED,REJECTED,43.5225,43.5225,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
