code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
600690,海尔智家,家电,家电,2026-07-07,2026-07-07,20.32,84.6452,PRIORITY_RESEARCH,5年价格分位 0.128；趋势确认 MEDIUM；估值 PASSED；财务 PASSED,90.0,0.12799339388934763,14.4918,MEDIUM,86.0,10.2839,29.3464,87.0,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600196,复星医药,医药,医药,2026-07-07,2026-07-07,23.19,83.6418,PRIORITY_RESEARCH,5年价格分位 0.1272；趋势确认 WEAK；估值 PASSED；财务 PASSED,90.0,0.12716763005780346,12.5564,WEAK,82.0,16.6534,19.8914,87.0,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002352,顺丰控股,物流,物流,2026-07-07,2026-07-07,32.79,83.1837,PRIORITY_RESEARCH,5年价格分位 0.0619；趋势确认 WEAK；估值 PASSED；财务 PASSED,90.0,0.061932287365813375,7.4413,WEAK,82.0,4.3638,20.7293,87.0,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
603288,海天味业,食品饮料,食品饮料,2026-07-07,2026-07-07,34.11,82.4585,PRIORITY_RESEARCH,5年价格分位 0.1305；趋势确认 WEAK；估值 PASSED；财务 PASSED,90.0,0.13047068538398018,10.6749,WEAK,72.0,12.065,17.8969,87.0,78.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600018,上港集团,港口,航运,2026-07-07,2026-07-07,5.01,79.7381,PRIORITY_RESEARCH,5年价格分位 0.4476；趋势确认 WEAK；估值 PASSED；财务 PASSED,55.0,0.4475639966969447,29.3571,WEAK,100.0,11.1629,32.3734,84.69,78.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600309,万华化学,化工,化工,2026-07-07,2026-07-07,71.05,78.2223,PRIORITY_RESEARCH,5年价格分位 0.2618；趋势确认 WEAK；估值 PASSED；财务 PASSED,75.0,0.2617671345995045,38.553,WEAK,82.0,11.404,16.7634,78.54,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence:产品价差;industry_evidence:库存;industry_evidence:开工率;net_profit;operating_cash_flow;ps;roe,industry_and_company_evidence_required;missing_company_evidence;missing_required_evidence;missing_second_low_confirmation;stale_evidence;stale_evidence_blocks_strong,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600887,伊利股份,食品饮料,食品饮料,2026-07-07,2026-07-07,25.07,74.6752,PRIORITY_RESEARCH,5年价格分位 0.3774；趋势确认 WEAK；估值 PASSED；财务 PASSED,55.0,0.37737407101568954,33.5642,WEAK,82.0,8.3577,31.5213,87.0,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300760,迈瑞医疗,医药,医药,2026-07-07,2026-07-07,138.17,73.6931,PRIORITY_RESEARCH,5年价格分位 0.005；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.00495458298926507,3.1273,NONE,33.0,6.3386,18.99,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300015,爱尔眼科,医疗服务,医药,2026-07-07,2026-07-07,8.24,71.5533,PRIORITY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.0016515276630883566,3.0,NONE,23.0,8.6979,18.1352,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;deep_below_5y_high_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600009,上海机场,机场,机场航空,2026-07-07,2026-07-07,22.83,71.4915,PRIORITY_RESEARCH,5年价格分位 0.0033；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.003305785123966942,2.4686,NONE,23.0,9.8919,15.3953,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600519,贵州茅台,白酒,白酒,2026-07-07,2026-07-07,1188.8,71.3557,PRIORITY_RESEARCH,5年价格分位 0.0099；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.00990916597853014,3.4878,NONE,23.0,5.8028,16.0897,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000932,华菱钢铁,钢铁,钢铁,2026-07-07,2026-07-07,3.47,70.5693,PRIORITY_RESEARCH,5年价格分位 0.0289；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.028901734104046242,10.8272,NONE,33.0,5.6621,3.1805,78.54,70.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;trend_confirmation,industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;industry_and_company_evidence_required;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600104,上汽集团,汽车,汽车,2026-07-07,2026-07-07,10.13,69.0463,PRIORITY_RESEARCH,5年价格分位 0.0074；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.007431874483897605,4.111,NONE,33.0,-2.1424,4.5492,69.5,70.0,0.0,good,33.0,,trend_not_stabilized,company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;industry_and_company_evidence_required;missing_company_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600028,中国石化,石油石化,石油石化,2026-07-07,2026-07-07,4.8,66.679,PRIORITY_RESEARCH,5年价格分位 0.4121；趋势确认 WEAK；估值 DEGRADED；财务 PASSED,55.0,0.412056151940545,109.2415,WEAK,72.0,9.7909,16.4353,49.5,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002594,比亚迪,汽车,汽车,2026-07-07,2026-07-07,86.26,66.5786,PRIORITY_RESEARCH,5年价格分位 0.4525；趋势确认 WEAK；估值 PASSED；财务 DEGRADED,55.0,0.45251857968620973,61.8113,WEAK,82.0,4.1339,18.5819,69.5,50.0,0.0,good,55.0,,,company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;industry_and_company_evidence_required;missing_company_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
