code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
600519,贵州茅台,白酒,白酒,2026-07-07,2026-07-07,1188.8,71.3557,PRIORITY_RESEARCH,5年价格分位 0.0099；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.00990916597853014,3.4878,NONE,23.0,5.8028,16.0897,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000858,五粮液,白酒,白酒,2026-07-07,2026-07-07,71.72,67.1273,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 DEGRADED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,25.0,-0.7649,2.1973,59.5,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000568,泸州老窖,白酒,白酒,2026-07-07,2026-07-07,76.2,68.9426,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016515276630883566,1.3298,NONE,15.0,-0.3462,5.9123,87.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600809,山西汾酒,白酒,白酒,2026-07-07,2026-07-07,108.06,70.863,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016515276630883566,2.2231,NONE,23.0,1.1398,8.4345,87.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600887,伊利股份,食品饮料,食品饮料,2026-07-07,2026-07-07,25.07,74.6752,PRIORITY_RESEARCH,5年价格分位 0.3774；趋势确认 WEAK；估值 PASSED；财务 PASSED,55.0,0.37737407101568954,33.5642,WEAK,82.0,8.3577,31.5213,87.0,70.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
603288,海天味业,食品饮料,食品饮料,2026-07-07,2026-07-07,34.11,82.4585,PRIORITY_RESEARCH,5年价格分位 0.1305；趋势确认 WEAK；估值 PASSED；财务 PASSED,90.0,0.13047068538398018,10.6749,WEAK,72.0,12.065,17.8969,87.0,78.0,0.0,good,33.0,,,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600036,招商银行,银行,银行,2026-07-07,2026-07-07,37.55,59.8384,HARD_REJECT,量化层硬拒绝：financial_safety_failed;value_trap_high,35.0,0.5912469033856317,86.8438,WEAK,82.0,7.0727,28.1369,79.5,35.0,0.0,good,68.0,financial_safety_failed;value_trap_high,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601398,工商银行,银行,银行,2026-07-07,2026-07-07,7.26,36.849,HARD_REJECT,量化层硬拒绝：financial_safety_failed;price_position_overheated;value_trap_high,15.0,0.8926507018992568,156.3559,NONE,43.0,6.3402,34.8858,12.0,35.0,0.0,good,68.0,financial_safety_failed;price_position_overheated;value_trap_high,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized;valuation_failed,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;valuation_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;extended_from_5y_low_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601288,农业银行,银行,银行,2026-07-07,2026-07-07,6.05,32.3626,HARD_REJECT,量化层硬拒绝：financial_safety_failed;price_position_overheated;value_trap_high,15.0,0.8183319570602807,245.9119,NONE,25.0,1.6255,26.4385,12.0,35.0,0.0,good,68.0,financial_safety_failed;price_position_overheated;value_trap_high,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized;valuation_failed,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;valuation_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;extended_from_5y_low_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601166,兴业银行,银行,银行,2026-07-07,2026-07-07,17.07,47.4866,HARD_REJECT,量化层硬拒绝：financial_safety_failed;value_trap_high,35.0,0.6969446738232865,59.8913,NONE,33.0,4.1685,26.7474,69.5,35.0,0.0,good,68.0,financial_safety_failed;value_trap_high,price_not_low_enough;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
