code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
000661,长春高新,医药,医药,2026-07-07,2026-07-07,66.06,73.0216,SECONDARY_RESEARCH,5年价格分位 0.0091；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.009083402146985962,5.1911,NONE,33.0,9.4344,9.6063,84.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600809,山西汾酒,白酒,白酒,2026-07-07,2026-07-07,108.06,70.863,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016515276630883566,2.2231,NONE,23.0,1.1398,8.4345,87.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600570,恒生电子,计算机,UNRESOLVED,2026-07-07,2026-07-07,20.26,69.1946,SECONDARY_RESEARCH,5年价格分位 0.0818；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.08175061932287365,34.7074,NONE,15.0,1.3807,10.4838,87.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000568,泸州老窖,白酒,白酒,2026-07-07,2026-07-07,76.2,68.9426,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016515276630883566,1.3298,NONE,15.0,-0.3462,5.9123,87.0,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000651,格力电器,家电,家电,2026-07-07,2026-07-07,38.4,68.45,SECONDARY_RESEARCH,5年价格分位 0.7176；趋势确认 MEDIUM；估值 PASSED；财务 PASSED；待确认：price_not_low_enough,15.0,0.717588769611891,94.7459,MEDIUM,100.0,10.3012,34.9489,87.0,70.0,0.0,good,33.0,,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601633,长城汽车,汽车,汽车,2026-07-07,2026-07-07,15.51,67.8896,SECONDARY_RESEARCH,5年价格分位 0.0058；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.005780346820809248,3.4,NONE,15.0,4.0558,7.1835,87.0,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;deep_below_5y_high_risk;falling_knife_risk;industry_and_company_evidence_required;missing_company_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300059,东方财富,证券,证券,2026-07-07,2026-07-07,20.29,67.83,SECONDARY_RESEARCH,5年价格分位 0.5747；趋势确认 MEDIUM；估值 PASSED；财务 DEGRADED；待确认：price_not_low_enough,35.0,0.5747316267547481,107.0408,MEDIUM,100.0,24.0436,38.0031,79.5,50.0,0.0,good,55.0,,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600426,华鲁恒升,化工,化工,2026-07-07,2026-07-07,25.26,67.6907,SECONDARY_RESEARCH,5年价格分位 0.3006；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,75.0,0.30057803468208094,32.1752,NONE,33.0,3.2346,-0.8572,78.54,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence:产品价差;industry_evidence:库存;industry_evidence:开工率;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;industry_and_company_evidence_required;missing_company_evidence;missing_required_evidence;missing_second_low_confirmation;stale_evidence;stale_evidence_blocks_strong,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601012,隆基绿能,光伏,光伏,2026-07-07,2026-07-07,12.21,67.482,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,15.0,7.6914,3.8581,84.0,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:产业链库存;industry_evidence:硅料价格;industry_evidence:组件排产;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002601,龙佰集团,化工,化工,2026-07-07,2026-07-07,16.15,67.2146,SECONDARY_RESEARCH,5年价格分位 0.2675；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,75.0,0.2675474814203138,29.5628,NONE,33.0,24.4868,23.1836,62.77,70.0,0.0,good,18.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence:产品价差;industry_evidence:库存;industry_evidence:开工率;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;industry_and_company_evidence_required;missing_company_evidence;missing_required_evidence;stale_evidence;stale_evidence_blocks_strong,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
