code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,tier,research_label,quant_score,opportunity_quality_score,opportunity_quality_rank,opportunity_proximity_rank,a_condition_pass_count,a_condition_fail_count,a_condition_failed,hard_blockers,soft_blockers,opportunity_logic,top_risks,upgrade_conditions,downgrade_conditions,improvement_flags,deterioration_flags,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,industry_cycle_phase,industry_evidence_status,industry_evidence_score,industry_evidence_confidence,industry_evidence_quality,company_evidence_status,company_evidence_score,company_evidence_confidence,hard_logic_level,balanced_exit_historical_profile,next_review_trigger,evidence_items,missing_evidence,disclaimer
600196,复星医药,医药,医药,2026-07-07,2026-07-07,23.19,TIER_C,证据不完整研究对象,83.6418,49.3363,7,7,7,5,trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;industry_evidence_missing,TIER_C：5年价格分位约 0.1272，趋势 WEAK，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,balanced_exit_profile_degraded;industry_evidence_missing;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.12716763005780346,12.5564,WEAK,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600011,华能国际,电力,公用事业,2026-07-07,2026-07-07,6.8,TIER_C,证据不完整研究对象,59.6624,32.8143,26,21,6,6,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.46，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;industry_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.4599504541701073,134.4828,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600028,中国石化,石油石化,石油石化,2026-07-07,2026-07-07,4.8,TIER_C,证据不完整研究对象,66.679,40.0068,13,15,6,6,price_low_or_reasonable;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_not_available;company_evidence_missing;industry_evidence_missing,TIER_C：5年价格分位约 0.4121，趋势 WEAK，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.412056151940545,109.2415,WEAK,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,NOT_AVAILABLE,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600426,华鲁恒升,化工,化工,2026-07-07,2026-07-07,25.26,TIER_C,证据不完整研究对象,67.6907,44.7299,11,14,6,6,no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;industry_evidence_stale;trend_not_stabilized,TIER_C：5年价格分位约 0.3006，趋势 NONE，硬逻辑 WEAK，行业证据 STALE，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;balanced_exit_profile_degraded,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.30057803468208094,32.1752,NONE,,STALE,50.0,LOW,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""【2024年3月主要化工产品生产情况】-国家发展和改革委员会"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2024-05-07"", ""source"": ""https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/202405/t20240510_1377050.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 791, ""weight"": 0.378, ""note"": """"}], ""company"": []}",industry:STALE;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002601,龙佰集团,化工,化工,2026-07-07,2026-07-07,16.15,TIER_C,证据不完整研究对象,67.2146,44.468,12,9,7,5,no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;falling_knife_not_cleared;industry_evidence_stale;trend_not_stabilized,TIER_C：5年价格分位约 0.2675，趋势 NONE，硬逻辑 WEAK，行业证据 STALE，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;industry_evidence_stale,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.2675474814203138,29.5628,NONE,,STALE,50.0,LOW,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""【2024年3月主要化工产品生产情况】-国家发展和改革委员会"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2024-05-07"", ""source"": ""https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/202405/t20240510_1377050.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 791, ""weight"": 0.378, ""note"": """"}], ""company"": []}",industry:STALE;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000830,鲁西化工,化工,化工,2026-07-07,2026-07-07,12.39,TIER_C,证据不完整研究对象,55.8064,38.1935,14,30,5,7,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;industry_evidence_stale;price_not_low_enough;trend_not_stabilized,TIER_C：5年价格分位约 0.6261，趋势 NONE，硬逻辑 WEAK，行业证据 STALE，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.6261448792672772,51.6524,NONE,,STALE,50.0,LOW,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""【2024年3月主要化工产品生产情况】-国家发展和改革委员会"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2024-05-07"", ""source"": ""https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/202405/t20240510_1377050.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 791, ""weight"": 0.378, ""note"": """"}], ""company"": []}",industry:STALE;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600019,宝钢股份,钢铁,钢铁,2026-07-07,2026-07-07,5.56,TIER_C,证据不完整研究对象,62.3855,34.312,23,10,7,5,price_low_or_reasonable;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.3749，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,trend_not_stabilized;industry_evidence_missing;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.374896779521057,42.5276,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000932,华菱钢铁,钢铁,钢铁,2026-07-07,2026-07-07,3.47,TIER_C,证据不完整研究对象,70.5693,50.4798,5,4,8,4,trend_medium;industry_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.0289，趋势 NONE，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,trend_not_stabilized;balanced_exit_profile_degraded;industry_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.028901734104046242,10.8272,NONE,,MISSING,50.0,LOW,MISSING,PARTIALLY_VERIFIED,50.0,MEDIUM,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": [{""evidence_name"": ""定期报告原文数值"", ""evidence_value"": ""营业收入（元） 121,137,836,576.22 144,111,823,748.32 -15.94% 163,896,801,679.06"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-03-30"", ""source"": ""http://static.cninfo.com.cn/finalpage/2026-03-31/1225061884.PDF"", ""source_type"": ""EXCHANGE_DISCLOSURE"", ""freshness_days"": 99, ""weight"": 1.08, ""note"": """"}]}",industry:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600010,包钢股份,钢铁,钢铁,2026-07-07,2026-07-07,2.23,TIER_C,证据不完整研究对象,46.9163,25.804,33,33,4,8,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;valuation_not_failed;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;price_not_low_enough;trend_not_stabilized;valuation_failed,TIER_C：5年价格分位约 0.6656，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.6655656482246077,61.8287,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002466,天齐锂业,锂电,锂电,2026-07-07,2026-07-07,59.19,TIER_C,证据不完整研究对象,50.272,27.6496,32,31,5,7,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;valuation_not_failed,,company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;price_not_low_enough;trend_not_stabilized;valuation_failed,TIER_C：5年价格分位约 0.5178，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.5177539223781998,137.4248,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
