quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
1,002739,儒意电影,R 文化传播,2026-07-07,9.91,0.076,0.252,24.3413,8.79,9.3,10.1,10.81,2.0783,-0.0895,MEDIUM,0.59,12.7759,-8.7235,575581518.0,78.6052,PRIORITY_RESEARCH,,,
2,002049,紫光国微,C 制造业,2026-07-07,82.0,0.488,0.824,32.4717,80.57,77.8,77.18,76.22,2.627,1.8349,STRONG,4.87,14.451,10.4017,3357973306.75,77.1853,PRIORITY_RESEARCH,,,
3,000567,海德股份,J 金融业,2026-07-07,6.0,0.1744,0.344,19.0476,5.9,5.95,5.83,6.31,1.0098,1.3714,MEDIUM,0.27,5.3828,5.6468,150093885.6,73.0167,PRIORITY_RESEARCH,,,
4,002367,康力电梯,C 制造业,2026-07-07,6.43,0.128,0.2,22.7099,6.13,6.11,6.96,7.09,5.3664,0.6089,MEDIUM,0.43,14.825,-9.3461,162708051.7,72.8531,PRIORITY_RESEARCH,,,
5,002179,中航光电,C 制造业,2026-07-07,43.16,0.544,0.98,33.7465,41.11,38.9,37.17,37.5,4.1982,2.045,STRONG,2.6,19.4372,12.4747,2300011399.95,71.0912,PRIORITY_RESEARCH,,,
6,002129,TCL中环,C 制造业,2026-07-07,11.02,0.408,0.972,49.3225,10.54,9.61,9.61,9.16,4.0472,2.0882,MEDIUM,0.79,20.8173,19.4206,3770661033.5,70.3238,PRIORITY_RESEARCH,,,
7,000818,航锦科技,C 制造业,2026-07-07,15.56,0.0584,0.184,27.1242,13.6,14.82,18.32,20.26,2.6297,-1.9801,WEAK,1.15,17.7081,-8.8058,560776208.15,69.2902,PRIORITY_RESEARCH,,,
8,002714,牧原股份,A 农林牧渔,2026-07-07,38.49,0.1296,0.116,18.9431,35.05,39.39,43.05,46.42,1.6087,-1.1765,WEAK,1.72,9.9834,-21.6152,2401076659.25,67.2368,PRIORITY_RESEARCH,,,
9,002180,奔图科技,C 制造业,2026-07-07,16.59,0.028,0.14,25.3968,15.0,16.65,18.32,20.35,1.1937,-0.055,WEAK,0.98,1.6143,-11.0053,463004443.85,66.8857,PRIORITY_RESEARCH,,,
10,000021,深科技,C 制造业,2026-07-07,54.07,0.996,0.98,200.2221,48.68,38.62,34.23,28.32,10.5506,6.9092,STRONG,5.06,50.1444,85.8651,9477220449.2,66.1,HARD_REJECT,price_too_high,,price_too_high
11,000551,创元科技,C 制造业,2026-07-07,19.2,0.9952,0.976,82.3362,17.37,16.27,15.4,13.44,7.724,3.6638,STRONG,1.48,30.1467,29.3115,665915350.6,66.1,HARD_REJECT,price_too_high,,price_too_high
12,000593,德龙汇能,D 水电煤气,2026-07-07,26.25,0.9968,0.984,338.9632,23.08,22.09,18.57,13.15,3.7589,2.5587,STRONG,2.22,28.5904,35.7299,592640761.85,66.1,HARD_REJECT,price_too_high,,price_too_high
13,000672,上峰材料,C 制造业,2026-07-07,20.61,0.928,0.964,160.8861,19.68,16.94,15.36,12.53,7.3074,4.3413,STRONG,1.55,28.8839,43.234,667001421.1,66.1,HARD_REJECT,price_too_high,,price_too_high
14,000725,京东方Ａ,C 制造业,2026-07-07,7.58,0.9944,0.972,98.4293,7.18,5.47,4.88,4.45,8.842,7.0993,STRONG,0.7,17.7835,79.6677,27095079705.8,66.1,HARD_REJECT,price_too_high,,price_too_high
15,000811,冰轮环境,C 制造业,2026-07-07,52.6,0.9952,0.976,489.0258,44.3,33.19,25.52,19.41,14.1629,9.8259,STRONG,4.92,77.2884,176.9826,2256031133.15,66.1,HARD_REJECT,price_too_high,,price_too_high
16,001309,德明利,C 制造业,2026-07-07,851.0,0.9928,0.972,975.4455,782.59,654.19,471.89,310.35,8.6631,6.8504,STRONG,81.29,41.978,107.9526,12532286879.45,66.1,HARD_REJECT,price_too_high,,price_too_high
17,002056,横店东磁,C 制造业,2026-07-07,30.95,0.9992,0.996,124.6009,28.49,23.65,22.3,20.26,3.2119,4.7209,STRONG,2.68,14.0672,57.6191,2667489789.6,66.1,HARD_REJECT,price_too_high,,price_too_high
18,002068,黑猫股份,C 制造业,2026-07-07,12.35,0.8192,0.948,50.7937,12.35,10.43,9.8,10.12,7.6695,4.5735,STRONG,1.25,17.1776,37.0436,773518507.7,66.1,HARD_REJECT,price_too_high,,price_too_high
19,002079,苏州固锝,C 制造业,2026-07-07,14.36,0.844,0.98,56.087,13.59,12.32,11.36,10.7,4.2458,3.3573,STRONG,0.85,22.4709,39.1631,805034071.7,66.1,HARD_REJECT,price_too_high,,price_too_high
20,002119,康强电子,C 制造业,2026-07-07,34.98,0.9944,0.972,122.6607,34.29,26.61,24.35,20.59,11.0566,5.6624,STRONG,3.67,41.8799,51.0859,2819815196.8,66.1,HARD_REJECT,price_too_high,,price_too_high
21,002141,贤丰控股,C 制造业,2026-07-07,5.85,0.9264,1.0,93.0693,4.59,3.93,3.92,3.93,12.5322,3.3516,STRONG,0.56,90.344,45.5257,758332665.35,66.1,HARD_REJECT,price_too_high,,price_too_high
22,002156,通富微电,C 制造业,2026-07-07,68.21,0.988,0.94,176.1538,67.79,60.76,53.78,43.5,0.4601,3.7282,STRONG,5.61,6.8314,44.3443,10266923278.55,66.1,HARD_REJECT,price_too_high,,price_too_high
23,002158,汉钟精机,C 制造业,2026-07-07,35.12,0.9944,0.972,105.9824,32.97,30.35,27.65,25.09,5.9511,3.9346,STRONG,3.0,26.1554,43.7447,715563707.05,66.1,HARD_REJECT,price_too_high,,price_too_high
24,002167,东方锆业,C 制造业,2026-07-07,22.33,0.996,0.98,110.8593,19.17,15.08,14.29,13.57,16.0693,7.2645,STRONG,2.22,72.412,68.9413,2577334385.85,66.1,HARD_REJECT,price_too_high,,price_too_high
25,002185,华天科技,C 制造业,2026-07-07,21.93,0.9976,0.988,150.9153,19.74,16.55,14.95,12.79,3.1022,4.751,STRONG,1.83,27.8104,71.9237,8827551201.65,66.1,HARD_REJECT,price_too_high,,price_too_high
