code,stock_name,exchange,board,security_type,listing_status,listing_date,is_st,is_suspended,latest_trade_date,latest_close,avg_turnover_20d,industry,universe_source,exclusion_reason
000001,平安银行,SZSE,主板,A_SHARE,listed,1991-04-03,False,False,2026-07-07,10.47,1258193351.55,J 金融业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000002,万  科Ａ,SZSE,主板,A_SHARE,listed,1991-01-29,False,False,2026-07-07,2.99,428135234.95,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000004,国华退,SZSE,主板,A_SHARE,delisting_risk,1990-12-01,False,,,,,I 信息技术,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000006,深振业Ａ,SZSE,主板,A_SHARE,listed,1992-04-27,False,False,2026-07-07,6.8,194788544.2,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000007,全新好,SZSE,主板,A_SHARE,listed,1992-04-13,False,False,2026-07-07,11.59,134498974.25,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000008,神州高铁,SZSE,主板,A_SHARE,listed,1992-05-07,False,True,2026-07-06,2.36,71891443.4,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,suspended_or_no_latest_trade
000009,中国宝安,SZSE,主板,A_SHARE,listed,1991-06-25,False,False,2026-07-07,6.26,168512055.5,J 金融业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000010,*ST美丽,SZSE,主板,A_SHARE,listed,1995-10-27,True,,,,,E 建筑业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000011,深物业A,SZSE,主板,A_SHARE,listed,1992-03-30,False,False,2026-07-07,6.37,34716956.55,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000012,南  玻Ａ,SZSE,主板,A_SHARE,listed,1992-02-28,False,False,2026-07-07,4.23,498023895.65,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000014,沙河股份,SZSE,主板,A_SHARE,listed,1992-06-02,False,False,2026-07-07,8.99,52963700.95,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000016,*ST康佳A,SZSE,主板,A_SHARE,listed,1992-03-27,True,,,,,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000017,深中华A,SZSE,主板,A_SHARE,listed,1992-03-31,False,False,2026-07-07,6.03,71429263.1,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000019,深粮控股,SZSE,主板,A_SHARE,listed,1992-10-12,False,False,2026-07-07,5.9,47784545.85,F 批发零售,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000020,深华发Ａ,SZSE,主板,A_SHARE,listed,1992-04-28,False,False,2026-07-07,10.63,45334367.3,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000021,深科技,SZSE,主板,A_SHARE,listed,1994-02-02,False,False,2026-07-07,54.07,9477220449.2,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000025,特  力Ａ,SZSE,主板,A_SHARE,listed,1993-06-21,False,False,2026-07-07,13.55,130490229.1,F 批发零售,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000026,飞亚达,SZSE,主板,A_SHARE,listed,1993-06-03,False,False,2026-07-07,20.51,274420396.55,F 批发零售,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000027,深圳能源,SZSE,主板,A_SHARE,listed,1993-09-03,False,False,2026-07-07,6.03,306252078.8,D 水电煤气,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000028,国药一致,SZSE,主板,A_SHARE,listed,1993-08-09,False,False,2026-07-07,20.44,56415361.1,F 批发零售,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000029,深深房Ａ,SZSE,主板,A_SHARE,listed,1993-09-15,False,False,2026-07-07,22.29,243447744.95,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000030,富奥股份,SZSE,主板,A_SHARE,listed,1993-09-29,False,False,2026-07-07,4.0,63355036.25,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000031,大悦城,SZSE,主板,A_SHARE,listed,1993-10-08,False,False,2026-07-07,2.09,88825030.0,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000032,深桑达Ａ,SZSE,主板,A_SHARE,listed,1993-10-28,False,False,2026-07-07,21.36,1849117490.45,E 建筑业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000034,神州数码,SZSE,主板,A_SHARE,listed,1994-05-09,False,False,2026-07-07,26.82,1318334235.5,F 批发零售,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000035,中国天楹,SZSE,主板,A_SHARE,listed,1994-04-08,False,False,2026-07-07,4.64,175081283.85,N 公共环保,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000036,华联控股,SZSE,主板,A_SHARE,listed,1994-06-17,False,False,2026-07-07,4.16,117488220.55,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000037,深南电A,SZSE,主板,A_SHARE,listed,1994-07-01,False,False,2026-07-07,8.25,316285705.45,D 水电煤气,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000039,中集集团,SZSE,主板,A_SHARE,listed,1994-04-08,False,False,2026-07-07,7.96,413637380.7,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000042,中洲控股,SZSE,主板,A_SHARE,listed,1994-09-21,False,False,2026-07-07,7.3,71852823.25,K 房地产,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000045,深纺织Ａ,SZSE,主板,A_SHARE,listed,1994-08-15,False,False,2026-07-07,9.62,66593362.6,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000048,京基智农,SZSE,主板,A_SHARE,listed,1994-11-01,False,False,2026-07-07,21.52,672548756.25,A 农林牧渔,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000049,德赛电池,SZSE,主板,A_SHARE,listed,1995-03-20,False,False,2026-07-07,24.61,195286328.95,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000050,深天马Ａ,SZSE,主板,A_SHARE,listed,1995-03-15,False,False,2026-07-07,8.33,904585448.55,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000055,方大集团,SZSE,主板,A_SHARE,listed,1996-04-15,False,False,2026-07-07,3.23,71784298.5,C 制造业,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000056,*ST皇庭,SZSE,主板,A_SHARE,listed,1996-07-08,True,,,,,L 商务服务,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
