a_condition_fail_count,a_condition_failed,a_condition_pass_count,actionability_rank,actionability_score,as_of_date,atr14,avg_turnover_20d,balanced_exit_historical_profile,breakout_initial_position_pct,breakout_logic_invalidation_price,breakout_max_chase_price,breakout_max_position_pct,breakout_real_reward_risk,breakout_required_volume,breakout_status,breakout_stop_price,breakout_target_1,breakout_target_2,breakout_trigger_price,cancel_conditions,classification,close,code,company_evidence_confidence,company_evidence_items,company_evidence_negative_count,company_evidence_neutral_count,company_evidence_positive_count,company_evidence_score,company_evidence_source_type,company_evidence_stale_count,company_evidence_status,company_evidence_summary,company_evidence_warning_flags,deterioration_flags,disclaimer,distance_from_10y_high_pct,distance_from_10y_low_pct,distance_from_52w_low_pct,distance_from_5y_high_pct,distance_from_5y_low_pct,distance_to_ma250_pct,downgrade_conditions,downtrend_exhaustion_score,dynamic_stop_loss,entry_date,entry_mode,entry_price,evidence_items,evidence_urls,execution_risk_quality,execution_risk_score,exit_profile_status,explanation,financial_safety_score,hard_blockers,hard_logic_level,hard_logic_reason,hard_logic_score,hard_reject_blockers,history_sufficiency_quality,history_sufficiency_score,improvement_flags,industry,industry_cycle_phase,industry_cycle_quality,industry_cycle_score,industry_evidence_confidence,industry_evidence_items,industry_evidence_missing_fields,industry_evidence_negative_count,industry_evidence_neutral_count,industry_evidence_positive_count,industry_evidence_quality,industry_evidence_score,industry_evidence_source_type,industry_evidence_stale_count,industry_evidence_status,industry_evidence_summary,industry_evidence_warning_flags,invalidation_level,invalidation_reason,latest_close,latest_price_date,latest_trade_date,long_term_position_risk_score,ma120,ma20,ma20_slope_pct,ma250,ma250_slope_pct,ma60,ma60_slope_pct,main_logic,market_environment_score,market_environment_state,max_loss_pct_of_risk_capital,max_position_pct,missing_conditions,missing_evidence,missing_fields,next_evidence_needed,next_review_trigger,no_falling_knife_filter,normalized_industry,opportunity_logic,opportunity_proximity_rank,opportunity_quality_rank,opportunity_quality_score,preferred_plan,price_percentile_10y,price_percentile_1y,price_percentile_3y,price_percentile_5y,price_percentile_score,price_position_score,proximity_rank,pullback_entry_high,pullback_entry_low,pullback_initial_position_pct,pullback_logic_invalidation_price,pullback_max_position_pct,pullback_real_reward_risk,pullback_status,pullback_stop_price,pullback_target_1,pullback_target_2,quant_rank,quant_reason,quant_score,quant_screen_status,quant_status,raw_industry,real_resistance_target_1,real_resistance_target_2,real_reward_risk_ratio,reclaim_ma_score,rejection_reasons,relative_strength_20d,relative_strength_60d,research_label,risk_flags,second_low_confirmation,signal_type,soft_blockers,stabilization_days,stock_name,stop_loss,stop_loss_distance_pct,take_profit,theoretical_target_1,theoretical_target_2,tier,tomorrow_status,top_risks,total_score,trend_confirmation_level,trend_stabilization_score,upgrade_conditions,valuation_repair_signal,valuation_score,value_trap_flag,value_trap_score
,,,,,,0.59,575581518.0,,,,,,,,,,,,,,,,002739,,,,,,,,,,,,,,,,24.3413,,,,,,,,,,,,,,,,,,,,,,,,,R 文化传播,,,,,,,,,,,,,,,,,,,9.91,,2026-07-07,,10.1,8.79,2.0783,10.81,,9.3,-0.0895,,,,,,,,,,,,,,,,,,,0.252,,0.076,,,,,,,,,,,,,,1,,78.6052,,PRIORITY_RESEARCH,,,,,,,12.7759,-8.7235,,,,,,,儒意电影,,,,,,,,,,MEDIUM,,,,,,
,,,,,,4.87,3357973306.75,,,,,,,,,,,,,,,,002049,,,,,,,,,,,,,,,,32.4717,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,82.0,,2026-07-07,,77.18,80.57,2.627,76.22,,77.8,1.8349,,,,,,,,,,,,,,,,,,,0.824,,0.488,,,,,,,,,,,,,,2,,77.1853,,PRIORITY_RESEARCH,,,,,,,14.451,10.4017,,,,,,,紫光国微,,,,,,,,,,STRONG,,,,,,
,,,,,,0.27,150093885.6,,,,,,,,,,,,,,,,000567,,,,,,,,,,,,,,,,19.0476,,,,,,,,,,,,,,,,,,,,,,,,,J 金融业,,,,,,,,,,,,,,,,,,,6.0,,2026-07-07,,5.83,5.9,1.0098,6.31,,5.95,1.3714,,,,,,,,,,,,,,,,,,,0.344,,0.1744,,,,,,,,,,,,,,3,,73.0167,,PRIORITY_RESEARCH,,,,,,,5.3828,5.6468,,,,,,,海德股份,,,,,,,,,,MEDIUM,,,,,,
,,,,,,0.43,162708051.7,,,,,,,,,,,,,,,,002367,,,,,,,,,,,,,,,,22.7099,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,6.43,,2026-07-07,,6.96,6.13,5.3664,7.09,,6.11,0.6089,,,,,,,,,,,,,,,,,,,0.2,,0.128,,,,,,,,,,,,,,4,,72.8531,,PRIORITY_RESEARCH,,,,,,,14.825,-9.3461,,,,,,,康力电梯,,,,,,,,,,MEDIUM,,,,,,
,,,,,,2.6,2300011399.95,,,,,,,,,,,,,,,,002179,,,,,,,,,,,,,,,,33.7465,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,43.16,,2026-07-07,,37.17,41.11,4.1982,37.5,,38.9,2.045,,,,,,,,,,,,,,,,,,,0.98,,0.544,,,,,,,,,,,,,,5,,71.0912,,PRIORITY_RESEARCH,,,,,,,19.4372,12.4747,,,,,,,中航光电,,,,,,,,,,STRONG,,,,,,
,,,,,,0.79,3770661033.5,,,,,,,,,,,,,,,,002129,,,,,,,,,,,,,,,,49.3225,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,11.02,,2026-07-07,,9.61,10.54,4.0472,9.16,,9.61,2.0882,,,,,,,,,,,,,,,,,,,0.972,,0.408,,,,,,,,,,,,,,6,,70.3238,,PRIORITY_RESEARCH,,,,,,,20.8173,19.4206,,,,,,,TCL中环,,,,,,,,,,MEDIUM,,,,,,
,,,,,,1.15,560776208.15,,,,,,,,,,,,,,,,000818,,,,,,,,,,,,,,,,27.1242,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,15.56,,2026-07-07,,18.32,13.6,2.6297,20.26,,14.82,-1.9801,,,,,,,,,,,,,,,,,,,0.184,,0.0584,,,,,,,,,,,,,,7,,69.2902,,PRIORITY_RESEARCH,,,,,,,17.7081,-8.8058,,,,,,,航锦科技,,,,,,,,,,WEAK,,,,,,
,,,,,,1.72,2401076659.25,,,,,,,,,,,,,,,,002714,,,,,,,,,,,,,,,,18.9431,,,,,,,,,,,,,,,,,,,,,,,,,A 农林牧渔,,,,,,,,,,,,,,,,,,,38.49,,2026-07-07,,43.05,35.05,1.6087,46.42,,39.39,-1.1765,,,,,,,,,,,,,,,,,,,0.116,,0.1296,,,,,,,,,,,,,,8,,67.2368,,PRIORITY_RESEARCH,,,,,,,9.9834,-21.6152,,,,,,,牧原股份,,,,,,,,,,WEAK,,,,,,
,,,,,,0.98,463004443.85,,,,,,,,,,,,,,,,002180,,,,,,,,,,,,,,,,25.3968,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,16.59,,2026-07-07,,18.32,15.0,1.1937,20.35,,16.65,-0.055,,,,,,,,,,,,,,,,,,,0.14,,0.028,,,,,,,,,,,,,,9,,66.8857,,PRIORITY_RESEARCH,,,,,,,1.6143,-11.0053,,,,,,,奔图科技,,,,,,,,,,WEAK,,,,,,
,,,,,,7.93,2804348172.3,,,,,,,,,,,,,,,,002192,,,,,,,,,,,,,,,,221.0526,,,,,,,,,,,,,,,,,,,,,,,,,B 采矿业,,,,,,,,,,,,,,,,,,,97.6,,2026-07-07,,72.91,88.6,4.834,56.65,,87.27,2.1637,,,,,,,,,,,,,,,,,,,0.972,,0.6864,,,,,,,,,,,,,,26,,66.1,,PRIORITY_RESEARCH,,,,,,,28.9886,27.7391,,,,,,,融捷股份,,,,,,,,,,STRONG,,,,,,
