quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
1,002739,儒意电影,R 文化传播,2026-07-07,9.91,0.076,0.252,24.3413,8.79,9.3,10.1,10.81,2.0783,-0.0895,MEDIUM,0.59,12.7759,-8.7235,575581518.0,78.6052,PRIORITY_RESEARCH,,,
2,002049,紫光国微,C 制造业,2026-07-07,82.0,0.488,0.824,32.4717,80.57,77.8,77.18,76.22,2.627,1.8349,STRONG,4.87,14.451,10.4017,3357973306.75,77.1853,PRIORITY_RESEARCH,,,
3,000567,海德股份,J 金融业,2026-07-07,6.0,0.1744,0.344,19.0476,5.9,5.95,5.83,6.31,1.0098,1.3714,MEDIUM,0.27,5.3828,5.6468,150093885.6,73.0167,PRIORITY_RESEARCH,,,
4,002367,康力电梯,C 制造业,2026-07-07,6.43,0.128,0.2,22.7099,6.13,6.11,6.96,7.09,5.3664,0.6089,MEDIUM,0.43,14.825,-9.3461,162708051.7,72.8531,PRIORITY_RESEARCH,,,
5,002179,中航光电,C 制造业,2026-07-07,43.16,0.544,0.98,33.7465,41.11,38.9,37.17,37.5,4.1982,2.045,STRONG,2.6,19.4372,12.4747,2300011399.95,71.0912,PRIORITY_RESEARCH,,,
6,002129,TCL中环,C 制造业,2026-07-07,11.02,0.408,0.972,49.3225,10.54,9.61,9.61,9.16,4.0472,2.0882,MEDIUM,0.79,20.8173,19.4206,3770661033.5,70.3238,PRIORITY_RESEARCH,,,
7,000818,航锦科技,C 制造业,2026-07-07,15.56,0.0584,0.184,27.1242,13.6,14.82,18.32,20.26,2.6297,-1.9801,WEAK,1.15,17.7081,-8.8058,560776208.15,69.2902,PRIORITY_RESEARCH,,,
8,002714,牧原股份,A 农林牧渔,2026-07-07,38.49,0.1296,0.116,18.9431,35.05,39.39,43.05,46.42,1.6087,-1.1765,WEAK,1.72,9.9834,-21.6152,2401076659.25,67.2368,PRIORITY_RESEARCH,,,
9,002180,奔图科技,C 制造业,2026-07-07,16.59,0.028,0.14,25.3968,15.0,16.65,18.32,20.35,1.1937,-0.055,WEAK,0.98,1.6143,-11.0053,463004443.85,66.8857,PRIORITY_RESEARCH,,,
26,002192,融捷股份,B 采矿业,2026-07-07,97.6,0.6864,0.972,221.0526,88.6,87.27,72.91,56.65,4.834,2.1637,STRONG,7.93,28.9886,27.7391,2804348172.3,66.1,PRIORITY_RESEARCH,,,
41,002805,丰元股份,C 制造业,2026-07-07,26.33,0.6672,0.952,107.9779,25.77,22.7,19.85,17.4,6.9987,4.0021,STRONG,2.33,30.5912,45.555,708400360.1,66.1,PRIORITY_RESEARCH,,,
42,002821,凯莱英,C 制造业,2026-07-07,153.1,0.7016,0.976,85.239,137.48,126.01,114.05,107.19,8.6969,2.5799,STRONG,13.06,33.2911,20.5372,1661401621.25,66.1,PRIORITY_RESEARCH,,,
50,002841,视源股份,C 制造业,2026-07-07,43.08,0.4816,0.988,33.8304,35.17,36.47,37.0,37.66,2.0263,1.314,MEDIUM,1.87,21.7115,19.5261,215811407.85,65.9251,PRIORITY_RESEARCH,,,
51,000963,华东医药,F 批发零售,2026-07-07,29.23,0.0664,0.108,10.6778,28.7,30.95,33.67,37.98,1.3438,-1.7421,WEAK,1.47,2.8363,-27.7872,629619417.75,65.9049,PRIORITY_RESEARCH,,,
55,002458,益生股份,A 农林牧渔,2026-07-07,8.67,0.1792,0.38,11.583,8.31,9.28,9.37,9.04,3.0316,-0.2811,WEAK,0.51,6.0576,-17.3502,380549007.2,65.6712,PRIORITY_RESEARCH,,,
62,002617,露笑科技,C 制造业,2026-07-07,9.7,0.7112,0.94,36.0449,9.23,8.74,8.62,8.46,2.3975,2.1593,STRONG,0.64,17.9215,21.2575,2260604452.8,65.0179,PRIORITY_RESEARCH,,,
64,002120,韵达股份,G 运输仓储,2026-07-07,6.88,0.1168,0.316,10.789,6.53,7.01,6.94,7.2,0.6469,0.2,WEAK,0.26,2.1528,-6.7968,246250206.4,64.1013,PRIORITY_RESEARCH,,,
74,000519,中兵红箭,C 制造业,2026-07-07,20.44,0.712,0.796,30.2741,20.32,18.85,18.74,19.14,1.1928,1.6058,STRONG,1.38,7.7015,11.6724,1900627137.65,63.0374,PRIORITY_RESEARCH,,,
75,002223,鱼跃医疗,C 制造业,2026-07-07,25.99,0.056,0.064,5.1375,25.7,28.18,33.03,34.83,0.1676,-2.08,WEAK,0.96,0.002,-30.5607,300222953.6,62.5199,PRIORITY_RESEARCH,,,
78,002038,双鹭药业,C 制造业,2026-07-07,5.83,0.0192,0.096,15.9046,5.61,6.25,6.61,7.17,3.2962,-2.6211,WEAK,0.55,4.0513,-34.4369,266541416.05,61.929,PRIORITY_RESEARCH,,,
79,002311,海大集团,C 制造业,2026-07-07,47.15,0.2424,0.164,14.4417,44.05,46.09,49.64,54.2,0.6121,-0.9034,WEAK,1.76,4.1181,-15.8072,483900321.9,61.7877,PRIORITY_RESEARCH,,,
80,002182,宝武镁业,C 制造业,2026-07-07,14.35,0.344,0.424,21.1993,13.92,15.09,16.62,15.18,1.9627,-0.5547,WEAK,0.93,6.5664,-21.8194,519684559.5,61.7747,PRIORITY_RESEARCH,,,
81,002312,川发龙蟒,C 制造业,2026-07-07,9.34,0.3352,0.088,12.9383,9.19,10.01,11.05,11.21,1.9191,-1.6269,WEAK,0.55,10.213,-27.7653,485205430.95,61.2155,PRIORITY_RESEARCH,,,
82,000513,丽珠集团,C 制造业,2026-07-07,30.48,0.0232,0.072,7.2107,30.11,31.43,33.26,35.82,-0.1178,-1.1222,WEAK,0.96,-0.7173,-20.1506,185254242.5,61.0551,PRIORITY_RESEARCH,,,
83,002268,电科网安,I 信息技术,2026-07-07,14.54,0.0784,0.116,18.2114,13.27,14.86,17.11,17.56,0.257,-1.4471,WEAK,0.66,5.4592,-22.8419,159469350.45,60.669,PRIORITY_RESEARCH,,,
84,002415,海康威视,C 制造业,2026-07-07,33.86,0.596,0.924,23.4415,32.56,32.84,32.09,31.1,2.4543,0.8631,MEDIUM,1.73,9.0239,1.2286,3023328595.3,60.5252,PRIORITY_RESEARCH,,,
