code,detail,reason,stage,stock_name
000004,,st_or_delisting_risk,universe_filter,国华退
000008,,suspended_or_no_latest_trade,universe_filter,神州高铁
000010,,st_or_delisting_risk,universe_filter,*ST美丽
000016,,st_or_delisting_risk,universe_filter,*ST康佳A
000056,,st_or_delisting_risk,universe_filter,*ST皇庭
000078,,st_or_delisting_risk,universe_filter,ST海王
000488,,st_or_delisting_risk,universe_filter,ST晨鸣
000524,,suspended_or_no_latest_trade,universe_filter,岭南控股
000609,,st_or_delisting_risk,universe_filter,*ST中迪
000610,,st_or_delisting_risk,universe_filter,*ST西旅
000615,,st_or_delisting_risk,universe_filter,*ST美谷
000632,,st_or_delisting_risk,universe_filter,ST三木
000639,,st_or_delisting_risk,universe_filter,ST西王
000669,,st_or_delisting_risk,universe_filter,ST金鸿
000677,,st_or_delisting_risk,universe_filter,ST海龙
000698,,st_or_delisting_risk,universe_filter,ST沈化
000711,,st_or_delisting_risk,universe_filter,ST京蓝
000752,,st_or_delisting_risk,universe_filter,*ST西发
000789,,insufficient_liquidity,universe_filter,万年青
000793,,st_or_delisting_risk,universe_filter,*ST华闻
000820,,st_or_delisting_risk,universe_filter,*ST节能
000821,,st_or_delisting_risk,universe_filter,ST京机
000826,,st_or_delisting_risk,universe_filter,*ST启环
000838,,st_or_delisting_risk,universe_filter,*ST发展
000869,,insufficient_liquidity,universe_filter,张  裕Ａ
000903,,st_or_delisting_risk,universe_filter,ST云动
000909,,st_or_delisting_risk,universe_filter,*ST数源
000911,,st_or_delisting_risk,universe_filter,*ST广糖
001220,,insufficient_history,universe_filter,世盟股份
001221,,insufficient_history,universe_filter,悍高集团
001233,,insufficient_history,universe_filter,海安集团
001237,,insufficient_history,universe_filter,惠康科技
001239,,insufficient_history,universe_filter,永达股份
001248,,insufficient_history,universe_filter,C华润新能源
001257,,insufficient_history,universe_filter,盛龙股份
001277,,insufficient_history,universe_filter,速达股份
001279,,insufficient_history,universe_filter,强邦新材
001280,,insufficient_history,universe_filter,中国铀业
001282,,insufficient_history,universe_filter,三联锻造
001285,,insufficient_history,universe_filter,瑞立科密
001286,,insufficient_history,universe_filter,陕西能源
001287,,insufficient_history,universe_filter,中电港
001306,,insufficient_history,universe_filter,夏厦精密
001312,,insufficient_history,universe_filter,福恩股份
001324,,insufficient_history,universe_filter,长青科技
001325,,insufficient_history,universe_filter,元创股份
001326,,insufficient_history,universe_filter,联域股份
001328,,insufficient_history,universe_filter,登康口腔
001335,,insufficient_history,universe_filter,信凯科技
001356,,insufficient_history,universe_filter,富岭股份
001358,,insufficient_history,universe_filter,兴欣新材
001359,,insufficient_history,universe_filter,平安电工
001360,,insufficient_history,universe_filter,南矿集团
001365,,insufficient_history,universe_filter,天海电子
001367,,insufficient_history,universe_filter,海森药业
001369,,insufficient_history,universe_filter,双欣材料
001373,,insufficient_history,universe_filter,翔腾新材
001376,,insufficient_history,universe_filter,百通能源
001378,,insufficient_history,universe_filter,德冠新材
001379,,insufficient_history,universe_filter,腾达科技
001380,,insufficient_history,universe_filter,华纬科技
001382,,insufficient_history,universe_filter,新亚电缆
001386,,insufficient_history,universe_filter,马可波罗
001387,,insufficient_history,universe_filter,雪祺电气
001388,,insufficient_history,universe_filter,信通电子
001389,,insufficient_history,universe_filter,广合科技
001390,,insufficient_history,universe_filter,古麒绒材
001391,,insufficient_history,universe_filter,国货航
001393,,insufficient_history,universe_filter,维通利
001395,,insufficient_history,universe_filter,亚联机械
001396,,insufficient_history,universe_filter,誉帆科技
001399,,insufficient_history,universe_filter,惠科股份
001400,,insufficient_history,universe_filter,江顺科技
002005,,st_or_delisting_risk,universe_filter,ST德豪
002024,,st_or_delisting_risk,universe_filter,ST易购
002055,,st_or_delisting_risk,universe_filter,ST得润
002082,,st_or_delisting_risk,universe_filter,ST万邦
002102,,st_or_delisting_risk,universe_filter,ST能特
002109,,st_or_delisting_risk,universe_filter,ST兴化
002122,,st_or_delisting_risk,universe_filter,ST汇洲
002168,,st_or_delisting_risk,universe_filter,ST惠程
002175,,st_or_delisting_risk,universe_filter,*ST东智
002193,,st_or_delisting_risk,universe_filter,ST如意
002198,,st_or_delisting_risk,universe_filter,ST嘉应
002199,,st_or_delisting_risk,universe_filter,*ST东晶
002207,,st_or_delisting_risk,universe_filter,*ST准油
002211,,st_or_delisting_risk,universe_filter,ST宏达
002214,,st_or_delisting_risk,universe_filter,*ST大立
002217,,st_or_delisting_risk,universe_filter,ST合力泰
002227,,st_or_delisting_risk,universe_filter,*ST特迅
002305,,st_or_delisting_risk,universe_filter,*ST南置
002306,,st_or_delisting_risk,universe_filter,ST云网
002323,,st_or_delisting_risk,universe_filter,*ST雅博
002360,,st_or_delisting_risk,universe_filter,ST同德
002424,,st_or_delisting_risk,universe_filter,ST百灵
002431,,st_or_delisting_risk,universe_filter,ST棕榈
002485,,st_or_delisting_risk,universe_filter,ST雪发
002501,,st_or_delisting_risk,universe_filter,*ST利源
002512,,st_or_delisting_risk,universe_filter,ST达华
002514,,st_or_delisting_risk,universe_filter,*ST宝馨
002528,,st_or_delisting_risk,universe_filter,*ST英飞
002538,,st_or_delisting_risk,universe_filter,ST司特
002542,,st_or_delisting_risk,universe_filter,*ST中岩
002547,,st_or_delisting_risk,universe_filter,*ST春兴
002569,,st_or_delisting_risk,universe_filter,*ST步森
002581,,st_or_delisting_risk,universe_filter,*ST未名
002586,,st_or_delisting_risk,universe_filter,ST围海
002592,,st_or_delisting_risk,universe_filter,ST八菱
002598,,st_or_delisting_risk,universe_filter,ST章鼓
002620,,st_or_delisting_risk,universe_filter,*ST瑞和
002630,,st_or_delisting_risk,universe_filter,*ST华西
002634,,st_or_delisting_risk,universe_filter,*ST棒杰
002650,,st_or_delisting_risk,universe_filter,ST加加
002656,,st_or_delisting_risk,universe_filter,*ST摩登
002667,,st_or_delisting_risk,universe_filter,*ST威领
002689,,st_or_delisting_risk,universe_filter,ST远智
002691,,st_or_delisting_risk,universe_filter,*ST冀凯
002694,,st_or_delisting_risk,universe_filter,*ST顾地
002713,,st_or_delisting_risk,universe_filter,*ST东易
002717,,st_or_delisting_risk,universe_filter,*ST岭南
002719,,st_or_delisting_risk,universe_filter,ST麦趣
002726,,st_or_delisting_risk,universe_filter,ST龙大
002731,,st_or_delisting_risk,universe_filter,*ST萃华
002789,,st_or_delisting_risk,universe_filter,*ST建艺
002808,,st_or_delisting_risk,universe_filter,恒久退
002816,,st_or_delisting_risk,universe_filter,*ST和科
002822,,st_or_delisting_risk,universe_filter,ST中装
002856,,st_or_delisting_risk,universe_filter,*ST美芝
002872,,st_or_delisting_risk,universe_filter,ST天圣
002883,,st_or_delisting_risk,universe_filter,*ST中设
002898,,st_or_delisting_risk,universe_filter,赛隆退
002932,,st_or_delisting_risk,universe_filter,*ST明德
002977,,st_or_delisting_risk,universe_filter,*ST天箭
