industry,stock_count,priority_research_count,secondary_research_count,low_priority_count,hard_reject_count
C39计算机、通信和其他电子设备制造业,146,6,21,44,75
C26化学原料和化学制品制造业,103,4,21,59,19
C38电气机械和器材制造业,93,1,16,42,34
C27医药制造业,79,12,27,24,16
C36汽车制造业,56,1,11,28,16
C34通用设备制造业,54,1,8,25,20
C35专用设备制造业,53,1,9,22,21
I65软件和信息技术服务业,52,2,19,23,8
C32有色金属冶炼和压延加工业,40,0,7,10,23
K70房地产业,37,0,15,14,8
C30非金属矿物制品业,36,0,8,20,8
C33金属制品业,36,0,8,13,15
D44电力、热力生产和供应业,36,0,14,13,9
F51批发业,35,2,14,16,3
C29橡胶和塑料制品业,33,0,9,16,8
C13农副食品加工业,30,4,9,16,1
L72商务服务业,29,1,14,10,4
F52零售业,24,1,7,11,5
C14食品制造业,19,1,8,9,1
I64互联网和相关服务,19,1,7,6,5
E48土木工程建筑业,17,0,6,8,3
J67资本市场服务,17,0,8,7,2
C18纺织服装、服饰业,16,1,5,8,2
C15酒、饮料和精制茶制造业,14,1,9,4,0
C22造纸和纸制品业,14,0,2,6,6
C37铁路、船舶、航空航天和其他运输设备制造业,13,0,5,5,3
C17纺织业,12,0,3,6,3
C24文教、工美、体育和娱乐用品制造业,12,0,2,7,3
B09有色金属矿采选业,11,0,2,1,8
C40仪器仪表制造业,11,0,0,4,7
A03畜牧业,10,2,6,1,1
C28化学纤维制造业,10,0,2,4,4
C31黑色金属冶炼和压延加工业,10,0,9,1,0
G54道路运输业,10,0,0,8,2
J66货币金融服务,10,0,5,4,1
N78公共设施管理业,10,0,2,8,0
D45燃气生产和供应业,9,0,0,7,2
N77生态保护和环境治理业,9,0,0,7,2
C23印刷和记录媒介复制业,8,0,1,6,1
E50建筑装饰、装修和其他建筑业,8,0,3,1,4
G55水上运输业,8,0,3,2,3
C42废弃资源综合利用业,7,0,5,1,1
M74专业技术服务业,7,0,3,3,1
Q84卫生,7,1,4,1,1
R87广播、电视、电影和录音制作业,6,1,2,3,0
B06煤炭开采和洗选业,5,0,3,0,2
C20木材加工和木、竹、藤、棕、草制品业,5,0,0,3,2
C25石油、煤炭及其他燃料加工业,5,0,3,2,0
D46水的生产和供应业,5,0,0,4,1
J69其他金融业,5,1,2,1,1
B11开采专业及辅助性活动,4,0,0,3,1
C21家具制造业,4,0,1,2,1
C41其他制造业,4,0,1,2,1
I63电信、广播电视和卫星传输服务,4,0,1,3,0
P83教育,4,0,2,2,0
A04渔业,3,0,1,2,0
A05农、林、牧、渔专业及辅助性活动,3,0,2,1,0
B08黑色金属矿采选业,3,0,1,1,1
G56航空运输业,3,0,2,1,0
G60邮政业,3,1,1,0,1
A02林业,2,0,0,2,0
C19皮革、毛皮、羽毛及其制品和制鞋业,2,0,0,1,1
G53铁路运输业,2,0,0,2,0
G58多式联运和运输代理业,2,0,0,2,0
G59装卸搬运和仓储业,2,0,1,1,0
H62餐饮业,2,0,0,2,0
M75科技推广和应用服务业,2,0,1,1,0
S91综合,2,0,1,0,1
A01农业,1,0,0,0,1
B07石油和天然气开采业,1,0,1,0,0
C43金属制品、机械和设备修理业,1,0,0,1,0
E47房屋建筑业,1,0,0,1,0
E49建筑安装业,1,0,0,1,0
H61住宿业,1,0,0,1,0
J68保险业,1,0,0,1,0
L71租赁业,1,0,0,0,1
R86新闻和出版业,1,0,0,1,0
R89体育,1,0,0,1,0
