quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
1,002739,儒意电影,R87广播、电视、电影和录音制作业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.43,0.1128,0.356,30.8657,9.03,9.31,10.07,10.8,3.7861,0.0107,MEDIUM,0.66,26.0396,0.8135,766563018.95,80.8853,PRIORITY_RESEARCH,,,
2,002129,TCL中环,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.66,0.3888,0.928,40.448,10.66,9.71,9.65,9.2,2.4074,1.8559,STRONG,0.82,3.9211,16.0182,3793434970.5,76.6939,PRIORITY_RESEARCH,,,
3,002841,视源股份,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,52.45,0.5456,1.0,62.9388,37.66,37.31,37.25,37.86,8.9331,3.0711,STRONG,2.74,56.6711,49.4688,516839874.95,72.9,PRIORITY_RESEARCH,,,
4,002049,紫光国微,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,85.83,0.5136,0.928,38.6591,82.49,78.61,77.41,76.5,3.6704,1.7016,STRONG,5.3,18.8656,17.7094,3990795234.35,71.5575,PRIORITY_RESEARCH,,,
5,000810,创维数字,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.84,0.56,0.808,27.8884,12.21,12.14,11.85,12.14,2.7733,0.2063,STRONG,0.81,26.5776,3.8293,404844725.05,69.6634,PRIORITY_RESEARCH,,,
6,002415,海康威视,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,34.45,0.648,0.956,25.5924,33.23,32.99,32.21,31.19,3.015,0.7985,STRONG,1.74,13.5991,1.0793,3370829552.25,69.3678,PRIORITY_RESEARCH,,,
7,002180,奔图科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.54,0.0288,0.144,25.0189,15.23,16.62,18.19,20.27,2.1767,-0.1801,WEAK,0.93,13.3909,-5.7464,476245977.0,68.7373,PRIORITY_RESEARCH,,,
8,000818,航锦科技,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.23,0.02,0.092,16.2582,13.8,14.77,18.17,20.16,3.1083,-0.5342,WEAK,1.31,13.3547,-10.1329,640441968.05,68.7222,PRIORITY_RESEARCH,,,
9,002714,牧原股份,A03畜牧业,baostock.query_stock_industry,2026-07-06,2026-07-10,38.14,0.1136,0.12,17.8616,35.52,39.08,42.71,46.36,2.48,-1.2446,WEAK,1.86,10.3402,-18.0856,2632285521.9,67.6255,PRIORITY_RESEARCH,,,
10,002311,海大集团,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,44.91,0.1544,0.076,9.0049,44.15,45.9,49.41,54.04,0.9201,-0.6684,WEAK,1.84,-1.2886,-11.0269,484757611.7,66.8343,PRIORITY_RESEARCH,,,
11,000661,长春高新,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,69.5,0.02,0.1,10.6688,66.43,75.76,83.76,96.14,0.3869,-1.9795,WEAK,3.78,6.7426,-23.0044,657379462.85,66.7738,PRIORITY_RESEARCH,,,
12,002038,双鹭药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.38,0.0536,0.232,26.839,5.72,6.19,6.57,7.15,3.2089,-2.0453,WEAK,0.64,18.8398,-15.6994,327573348.9,66.3382,PRIORITY_RESEARCH,,,
13,000963,华东医药,F52零售业,baostock.query_stock_industry,2026-07-06,2026-07-10,29.38,0.0712,0.12,11.2457,28.77,30.62,33.41,37.84,0.8819,-1.7295,WEAK,1.49,-0.4526,-20.3227,654719663.75,66.3225,PRIORITY_RESEARCH,,,
14,000021,深科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,57.91,0.9976,0.988,221.5436,51.18,39.98,34.93,28.76,8.9363,5.9529,STRONG,5.52,46.8723,100.5574,10547289251.1,66.1,HARD_REJECT,price_too_high,,price_too_high
15,000551,创元科技,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,18.65,0.9944,0.972,77.113,17.85,16.48,15.48,13.51,5.6618,2.5966,STRONG,1.65,23.1054,26.9043,729064700.2,66.1,HARD_REJECT,price_too_high,,price_too_high
16,000725,京东方Ａ,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.59,0.9928,0.964,98.6911,7.43,5.66,4.96,4.5,5.4006,5.8248,STRONG,0.72,28.8778,83.9037,28112160784.15,66.1,HARD_REJECT,price_too_high,,price_too_high
17,000811,冰轮环境,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,53.47,0.996,0.98,429.4059,47.49,34.9,26.43,19.93,13.0562,9.0476,STRONG,5.32,68.9758,183.0394,2541483514.0,66.1,HARD_REJECT,price_too_high,,price_too_high
