code,stock_name,exchange,board,security_type,listing_status,listing_date,is_st,is_suspended,latest_trade_date,latest_close,avg_turnover_20d,industry,industry_source,industry_update_date,universe_source,exclusion_reason
000001,平安银行,SZSE,主板,A_SHARE,listed,1991-04-03,False,False,2026-07-10,10.45,1181144218.1,J66货币金融服务,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000002,万  科Ａ,SZSE,主板,A_SHARE,listed,1991-01-29,False,False,2026-07-10,3.11,430852926.5,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000004,国华退,SZSE,主板,A_SHARE,delisting_risk,1990-12-01,False,,,,,I65软件和信息技术服务业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000006,深振业Ａ,SZSE,主板,A_SHARE,listed,1992-04-27,False,False,2026-07-10,7.08,185547147.85,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000007,全新好,SZSE,主板,A_SHARE,listed,1992-04-13,False,False,2026-07-10,11.1,114891146.35,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000008,神州高铁,SZSE,主板,A_SHARE,listed,1992-05-07,False,True,2026-07-06,2.36,71891443.4,C37铁路、船舶、航空航天和其他运输设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,suspended_or_no_latest_trade
000009,中国宝安,SZSE,主板,A_SHARE,listed,1991-06-25,False,False,2026-07-10,6.17,167345531.25,J69其他金融业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000010,*ST美丽,SZSE,主板,A_SHARE,listed,1995-10-27,True,,,,,E48土木工程建筑业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000011,深物业A,SZSE,主板,A_SHARE,listed,1992-03-30,False,False,2026-07-10,6.43,34280757.25,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000012,南  玻Ａ,SZSE,主板,A_SHARE,listed,1992-02-28,False,False,2026-07-10,4.17,493382521.0,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000014,沙河股份,SZSE,主板,A_SHARE,listed,1992-06-02,False,False,2026-07-10,9.2,53232147.8,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000016,*ST康佳A,SZSE,主板,A_SHARE,listed,1992-03-27,True,,,,,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,st_or_delisting_risk
000017,深中华A,SZSE,主板,A_SHARE,listed,1992-03-31,False,False,2026-07-10,5.99,93341569.35,C24文教、工美、体育和娱乐用品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000019,深粮控股,SZSE,主板,A_SHARE,listed,1992-10-12,False,False,2026-07-10,5.9,42710088.3,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000020,深华发Ａ,SZSE,主板,A_SHARE,listed,1992-04-28,False,False,2026-07-10,10.6,45737690.65,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000021,深科技,SZSE,主板,A_SHARE,listed,1994-02-02,False,False,2026-07-10,57.91,10547289251.1,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000025,特  力Ａ,SZSE,主板,A_SHARE,listed,1993-06-21,False,False,2026-07-10,13.34,111939898.4,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000026,飞亚达,SZSE,主板,A_SHARE,listed,1993-06-03,False,False,2026-07-10,19.54,284115904.5,F52零售业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000027,深圳能源,SZSE,主板,A_SHARE,listed,1993-09-03,False,False,2026-07-10,6.02,277870699.5,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000028,国药一致,SZSE,主板,A_SHARE,listed,1993-08-09,False,False,2026-07-10,20.22,58329499.8,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000029,深深房Ａ,SZSE,主板,A_SHARE,listed,1993-09-15,False,False,2026-07-10,22.62,231296548.95,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000030,富奥股份,SZSE,主板,A_SHARE,listed,1993-09-29,False,False,2026-07-10,3.98,42496089.4,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000031,大悦城,SZSE,主板,A_SHARE,listed,1993-10-08,False,False,2026-07-10,2.18,84026479.5,K70房地产业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000032,深桑达Ａ,SZSE,主板,A_SHARE,listed,1993-10-28,False,False,2026-07-10,21.68,2016606295.95,E49建筑安装业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
000034,神州数码,SZSE,主板,A_SHARE,listed,1994-05-09,False,False,2026-07-10,29.62,1624179184.65,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
