technology_sector,technology_scope,quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons,deep_reviewed,deep_quant_status,valuation_score,financial_safety_score,industry_evidence_status,company_evidence_status,company_evidence_score,company_evidence_summary,hard_logic_level,tier,top_risks,research_status,disclaimer
电气设备与新能源链,EXTENDED,2,002129,TCL中环,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.66,0.3888,0.928,40.448,10.66,9.71,9.65,9.2,2.4074,1.8559,STRONG,0.82,3.9211,16.0182,3793434970.5,76.6939,PRIORITY_RESEARCH,,,,True,PRIORITY_RESEARCH,29.0,70.0,MISSING,PARTIALLY_VERIFIED,50.0,公司证据分 50.0，正/负/中性证据 0/0/1，置信度 MEDIUM。,WEAK,TIER_C,valuation_failed;balanced_exit_profile_not_available;industry_evidence_missing,行业证据不足，仅作研究观察,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,3,002841,视源股份,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,52.45,0.5456,1.0,62.9388,37.66,37.31,37.25,37.86,8.9331,3.0711,STRONG,2.74,56.6711,49.4688,516839874.95,72.9,PRIORITY_RESEARCH,,,,True,SECONDARY_RESEARCH,32.0,70.0,MISSING,MISSING,50.0,缺少截至评估日的公司层证据，按中性低置信度处理。,NONE,TIER_C,price_not_low_enough;valuation_failed;balanced_exit_profile_not_available,行业证据不足，仅作研究观察,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,4,002049,紫光国微,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,85.83,0.5136,0.928,38.6591,82.49,78.61,77.41,76.5,3.6704,1.7016,STRONG,5.3,18.8656,17.7094,3990795234.35,71.5575,PRIORITY_RESEARCH,,,,True,SECONDARY_RESEARCH,52.0,78.0,MISSING,MISSING,50.0,缺少截至评估日的公司层证据，按中性低置信度处理。,NONE,TIER_C,price_not_low_enough;balanced_exit_profile_not_available;industry_evidence_missing,行业证据不足，仅作研究观察,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,5,000810,创维数字,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.84,0.56,0.808,27.8884,12.21,12.14,11.85,12.14,2.7733,0.2063,STRONG,0.81,26.5776,3.8293,404844725.05,69.6634,PRIORITY_RESEARCH,,,,False,,,,,,,,,,,量化观察，未进入证据复核队列,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,6,002415,海康威视,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,34.45,0.648,0.956,25.5924,33.23,32.99,32.21,31.19,3.015,0.7985,STRONG,1.74,13.5991,1.0793,3370829552.25,69.3678,PRIORITY_RESEARCH,,,,True,SECONDARY_RESEARCH,79.5,78.0,MISSING,MISSING,50.0,缺少截至评估日的公司层证据，按中性低置信度处理。,NONE,TIER_C,price_not_low_enough;balanced_exit_profile_degraded;industry_evidence_missing,行业证据不足，仅作研究观察,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,7,002180,奔图科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.54,0.0288,0.144,25.0189,15.23,16.62,18.19,20.27,2.1767,-0.1801,WEAK,0.93,13.3909,-5.7464,476245977.0,68.7373,PRIORITY_RESEARCH,,,,True,PRIORITY_RESEARCH,84.0,78.0,MISSING,CONFLICTING,40.28,公司证据分 40.3，正/负/中性证据 0/1/0，置信度 MEDIUM。,WEAK,TIER_C,balanced_exit_profile_not_available;industry_evidence_missing;company_evidence_conflicting,公司证据冲突或恶化，仅作风险观察,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,14,000021,深科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,57.91,0.9976,0.988,221.5436,51.18,39.98,34.93,28.76,8.9363,5.9529,STRONG,5.52,46.8723,100.5574,10547289251.1,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,16,000725,京东方Ａ,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.59,0.9928,0.964,98.6911,7.43,5.66,4.96,4.5,5.4006,5.8248,STRONG,0.72,28.8778,83.9037,28112160784.15,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电气设备与新能源链,EXTENDED,18,002137,实益达,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.02,0.9984,0.996,55.2972,10.74,9.48,9.18,8.99,2.9962,3.0822,STRONG,0.94,19.9808,41.44,954934347.5,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电气设备与新能源链,EXTENDED,19,002141,贤丰控股,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.15,0.856,0.968,69.967,4.88,4.01,3.96,3.94,12.8279,3.8251,STRONG,0.55,50.1597,31.8096,848437789.6,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,20,002156,通富微电,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,70.95,0.9912,0.956,184.8254,68.93,61.98,54.52,44.03,2.0778,3.3823,STRONG,6.02,16.762,50.9879,10917700405.8,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
互联网服务,CORE,22,002174,游族网络,I64互联网和相关服务,baostock.query_stock_industry,2026-07-06,2026-07-10,12.74,0.7392,0.76,41.8708,12.12,11.19,11.1,12.12,3.6556,2.0726,STRONG,0.75,26.9872,28.1365,576437225.8,66.1,PRIORITY_RESEARCH,,,,False,,,,,,,,,,,量化观察，未进入证据复核队列,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电子与通信设备,CORE,23,002185,华天科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,25.31,1.0,1.0,188.9269,20.7,17.12,15.25,12.96,6.7296,5.3465,STRONG,2.1,49.7936,100.3397,10101310560.45,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
互联网服务,CORE,26,002354,天娱数科,I64互联网和相关服务,baostock.query_stock_industry,2026-07-06,2026-07-10,8.54,0.9912,0.964,57.8558,8.44,7.16,6.91,6.9,1.7365,3.2214,STRONG,0.85,5.7067,46.7167,3628281793.05,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电气设备与新能源链,EXTENDED,27,002364,中恒电气,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,56.05,0.9968,0.984,284.1672,52.69,49.68,40.72,31.79,0.5074,3.6028,STRONG,4.82,13.147,40.6607,2490329094.1,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
电气设备与新能源链,EXTENDED,33,002745,木林森,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.84,0.844,1.0,62.7376,11.76,10.33,9.73,9.33,5.7147,3.0394,STRONG,0.95,37.8007,47.6989,1232494393.95,66.1,HARD_REJECT,price_too_high,,price_too_high,False,,,,,,,,,,,量化硬拒绝,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
