quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
1,002739,儒意电影,R87广播、电视、电影和录音制作业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.43,0.1128,0.356,30.8657,9.03,9.31,10.07,10.8,3.7861,0.0107,MEDIUM,0.66,26.0396,0.8135,766563018.95,80.8853,PRIORITY_RESEARCH,,,
2,002129,TCL中环,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.66,0.3888,0.928,40.448,10.66,9.71,9.65,9.2,2.4074,1.8559,STRONG,0.82,3.9211,16.0182,3793434970.5,76.6939,PRIORITY_RESEARCH,,,
3,002841,视源股份,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,52.45,0.5456,1.0,62.9388,37.66,37.31,37.25,37.86,8.9331,3.0711,STRONG,2.74,56.6711,49.4688,516839874.95,72.9,PRIORITY_RESEARCH,,,
4,002049,紫光国微,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,85.83,0.5136,0.928,38.6591,82.49,78.61,77.41,76.5,3.6704,1.7016,STRONG,5.3,18.8656,17.7094,3990795234.35,71.5575,PRIORITY_RESEARCH,,,
5,000810,创维数字,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.84,0.56,0.808,27.8884,12.21,12.14,11.85,12.14,2.7733,0.2063,STRONG,0.81,26.5776,3.8293,404844725.05,69.6634,PRIORITY_RESEARCH,,,
6,002415,海康威视,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,34.45,0.648,0.956,25.5924,33.23,32.99,32.21,31.19,3.015,0.7985,STRONG,1.74,13.5991,1.0793,3370829552.25,69.3678,PRIORITY_RESEARCH,,,
7,002180,奔图科技,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.54,0.0288,0.144,25.0189,15.23,16.62,18.19,20.27,2.1767,-0.1801,WEAK,0.93,13.3909,-5.7464,476245977.0,68.7373,PRIORITY_RESEARCH,,,
8,000818,航锦科技,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.23,0.02,0.092,16.2582,13.8,14.77,18.17,20.16,3.1083,-0.5342,WEAK,1.31,13.3547,-10.1329,640441968.05,68.7222,PRIORITY_RESEARCH,,,
9,002714,牧原股份,A03畜牧业,baostock.query_stock_industry,2026-07-06,2026-07-10,38.14,0.1136,0.12,17.8616,35.52,39.08,42.71,46.36,2.48,-1.2446,WEAK,1.86,10.3402,-18.0856,2632285521.9,67.6255,PRIORITY_RESEARCH,,,
10,002311,海大集团,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,44.91,0.1544,0.076,9.0049,44.15,45.9,49.41,54.04,0.9201,-0.6684,WEAK,1.84,-1.2886,-11.0269,484757611.7,66.8343,PRIORITY_RESEARCH,,,
11,000661,长春高新,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,69.5,0.02,0.1,10.6688,66.43,75.76,83.76,96.14,0.3869,-1.9795,WEAK,3.78,6.7426,-23.0044,657379462.85,66.7738,PRIORITY_RESEARCH,,,
12,002038,双鹭药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.38,0.0536,0.232,26.839,5.72,6.19,6.57,7.15,3.2089,-2.0453,WEAK,0.64,18.8398,-15.6994,327573348.9,66.3382,PRIORITY_RESEARCH,,,
13,000963,华东医药,F52零售业,baostock.query_stock_industry,2026-07-06,2026-07-10,29.38,0.0712,0.12,11.2457,28.77,30.62,33.41,37.84,0.8819,-1.7295,WEAK,1.49,-0.4526,-20.3227,654719663.75,66.3225,PRIORITY_RESEARCH,,,
22,002174,游族网络,I64互联网和相关服务,baostock.query_stock_industry,2026-07-06,2026-07-10,12.74,0.7392,0.76,41.8708,12.12,11.19,11.1,12.12,3.6556,2.0726,STRONG,0.75,26.9872,28.1365,576437225.8,66.1,PRIORITY_RESEARCH,,,
35,002821,凯莱英,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,165.41,0.7392,0.992,91.4025,144.37,127.89,115.53,108.08,8.4164,2.5337,STRONG,14.67,44.2837,32.3139,1925107016.75,66.1,PRIORITY_RESEARCH,,,
41,000876,新 希 望,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.14,0.0176,0.088,20.0,6.59,7.68,8.18,8.96,0.8726,-1.3088,WEAK,0.38,6.7073,-20.925,431033990.15,66.0283,PRIORITY_RESEARCH,,,
44,002563,森马服饰,C18纺织服装、服饰业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.54,0.3232,0.608,9.9206,5.36,5.53,5.49,5.53,0.7707,0.4572,MEDIUM,0.17,-1.491,1.2914,97076504.7,64.7498,PRIORITY_RESEARCH,,,
45,002120,韵达股份,G60邮政业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.72,0.0584,0.136,8.2126,6.56,7.01,6.93,7.2,0.799,0.1285,WEAK,0.25,1.7566,-2.9232,254565915.55,64.6173,PRIORITY_RESEARCH,,,
